date,open,high,low,close,volume
1997-05-16,23.62,23.75,20.5,20.75,14700000.0
1997-05-19,21.13,21.25,19.5,20.5,6106800.0
1997-05-20,20.75,21.0,19.63,19.63,5467200.0
1997-05-21,19.63,19.75,16.5,17.12,18853200.0
1997-05-22,17.25,17.38,15.75,16.75,11776800.0
1997-05-23,16.88,18.25,16.0,18.0,15937200.0
1997-05-27,18.12,19.75,17.5,19.0,8697600.0
1997-05-28,19.5,19.63,18.38,18.38,4574400.0
1997-05-29,18.5,18.5,17.75,18.06,3472800.0
1997-05-30,18.0,18.12,17.75,18.0,2594400.0
1997-06-02,18.12,18.38,18.0,18.12,591600.0
1997-06-03,18.38,18.38,17.75,17.75,1183200.0
1997-06-04,17.75,17.88,16.75,17.0,3080400.0
1997-06-05,17.0,18.5,16.5,18.5,5672400.0
1997-06-06,18.19,20.5,18.12,19.87,7807200.0
1997-06-09,19.87,20.5,19.87,20.25,2352000.0
1997-06-10,20.5,20.5,18.38,19.0,5458800.0
1997-06-11,19.12,19.25,18.38,18.5,1188000.0
1997-06-12,19.0,19.75,18.62,19.25,1632000.0
1997-06-13,19.5,19.5,19.0,19.0,693600.0
1997-06-16,19.25,19.25,18.75,18.88,913200.0
1997-06-17,19.19,19.19,17.94,18.06,4706400.0
1997-06-18,18.25,18.44,18.0,18.12,2464800.0
1997-06-19,18.12,18.38,18.0,18.12,1003200.0
1997-06-20,18.38,18.62,18.0,18.31,3387600.0
1997-06-23,18.5,18.5,17.75,18.0,1047600.0
1997-06-24,18.06,18.31,17.75,18.12,751200.0
1997-06-25,18.31,18.31,17.88,18.12,2106000.0
1997-06-26,18.25,18.25,18.06,18.12,3189600.0
1997-06-27,18.19,18.19,17.75,17.88,1188000.0
1997-06-30,18.12,19.19,17.75,18.5,2746800.0
1997-07-01,18.5,18.5,18.12,18.19,1292400.0
1997-07-02,18.19,19.12,18.12,19.06,3882000.0
1997-07-03,19.19,23.0,19.12,22.94,12577200.0
1997-07-07,22.0,24.25,22.0,24.0,8053200.0
1997-07-08,24.5,28.0,24.5,27.62,15517200.0
1997-07-09,27.62,28.63,27.25,27.88,8262000.0
1997-07-10,28.0,30.88,28.0,30.75,9051600.0
1997-07-11,30.25,30.25,26.5,27.5,10531200.0
1997-07-14,27.88,28.0,25.37,25.63,4604400.0
1997-07-15,25.63,29.75,25.63,29.25,9274800.0
1997-07-16,29.37,29.94,27.62,28.0,3024000.0
1997-07-17,28.12,28.12,25.88,26.62,3169200.0
1997-07-18,26.25,26.62,25.88,25.88,780000.0
1997-07-21,26.12,26.38,25.75,26.19,574800.0
1997-07-22,26.0,26.25,24.75,25.63,1563600.0
1997-07-23,26.25,28.0,26.12,27.5,3259200.0
1997-07-24,27.62,27.75,26.62,27.12,1216800.0
1997-07-25,26.62,27.0,26.62,26.75,620400.0
1997-07-28,26.75,28.75,26.62,27.88,2574000.0
1997-07-29,28.37,30.0,28.0,29.75,4814400.0
1997-07-30,30.0,30.06,29.13,29.37,2517600.0
1997-07-31,29.25,29.25,28.0,28.75,1454400.0
1997-08-01,28.12,29.0,27.0,29.0,3588000.0
1997-08-04,28.5,28.94,27.62,27.75,2671200.0
1997-08-05,28.0,28.0,25.75,26.5,3032400.0
1997-08-06,26.5,27.75,26.25,27.0,1243200.0
1997-08-07,27.0,27.12,25.5,26.12,2034000.0
1997-08-08,26.0,27.62,25.25,27.5,2211600.0
1997-08-11,27.5,28.0,27.0,27.94,1239600.0
1997-08-12,27.38,27.62,26.38,26.38,571200.0
1997-08-13,26.75,26.75,26.0,26.38,590400.0
1997-08-14,26.12,27.0,25.44,25.88,1041600.0
1997-08-15,25.63,25.88,23.25,25.37,1597200.0
1997-08-18,24.63,24.63,23.62,24.5,1784400.0
1997-08-19,25.13,26.5,24.63,26.0,1003200.0
1997-08-20,26.25,26.25,24.87,26.0,999600.0
1997-08-21,25.63,26.06,24.87,25.37,624000.0
1997-08-22,25.25,25.5,25.13,25.5,712800.0
1997-08-25,25.25,27.12,25.25,26.62,1126800.0
1997-08-26,26.88,28.25,26.75,28.12,2574000.0
1997-08-27,27.69,27.88,27.0,27.81,1392000.0
1997-08-28,27.62,28.75,27.38,28.5,1147200.0
1997-08-29,28.37,28.5,27.88,28.06,722400.0
1997-09-02,28.12,28.5,28.0,28.25,732000.0
1997-09-03,28.12,29.0,27.75,28.0,1964400.0
1997-09-04,28.37,30.62,28.12,30.62,3348000.0
1997-09-05,31.0,32.0,29.5,30.0,1908000.0
1997-09-08,30.38,36.25,30.0,36.0,5648400.0
1997-09-09,37.69,40.62,36.31,38.87,8971200.0
1997-09-10,39.75,39.94,37.5,39.62,3866400.0
1997-09-11,40.0,40.0,36.5,37.87,4262400.0
1997-09-12,38.25,44.38,37.87,44.25,3333600.0
1997-09-15,44.0,44.12,36.62,37.12,5583600.0
1997-09-16,37.5,42.5,37.44,40.25,6432000.0
1997-09-17,41.5,42.0,40.0,40.88,2607600.0
1997-09-18,41.25,41.62,39.38,39.5,2128800.0
1997-09-19,40.56,49.0,40.5,47.37,8929200.0
1997-09-22,48.0,56.13,47.37,54.0,16938000.0
1997-09-23,53.88,55.75,52.75,55.5,7682400.0
1997-09-24,55.75,57.75,51.5,52.5,8200800.0
1997-09-25,52.13,52.25,48.62,48.94,4968000.0
1997-09-26,48.88,51.13,48.62,50.0,2731200.0
1997-09-29,49.75,50.25,47.5,48.5,2371200.0
1997-09-30,48.0,52.19,45.62,52.06,5254800.0
1997-10-01,53.25,54.0,47.25,48.25,4999200.0
1997-10-02,48.5,50.12,47.87,48.13,1876800.0
1997-10-03,49.0,49.5,47.75,48.19,1164000.0
1997-10-06,48.0,49.5,47.31,49.5,2028000.0
1997-10-07,49.0,50.25,48.5,48.69,1742400.0
1997-10-08,49.75,50.0,47.81,48.06,2806800.0
1997-10-09,48.0,48.25,44.88,45.0,3950400.0
1997-10-10,44.75,48.75,44.0,46.81,3787200.0
1997-10-13,47.13,48.5,47.13,48.0,814800.0
1997-10-14,48.75,49.25,46.0,47.75,1546800.0
1997-10-15,47.63,47.63,45.25,47.06,2355600.0
1997-10-16,47.75,47.75,43.25,43.5,3481200.0
1997-10-17,43.37,43.88,42.25,43.5,2534400.0
1997-10-20,44.12,46.5,44.0,45.88,4912800.0
1997-10-21,47.5,53.25,46.25,53.12,12096000.0
1997-10-22,53.0,55.44,52.5,54.25,5208000.0
1997-10-23,50.75,54.75,50.25,54.0,5656800.0
1997-10-24,57.0,60.75,54.5,60.31,9492000.0
1997-10-27,57.62,60.13,50.75,51.25,6091200.0
1997-10-28,47.0,60.0,46.5,59.38,11719200.0
1997-10-29,61.75,66.0,60.0,64.69,7126800.0
1997-10-30,62.5,64.25,60.5,61.5,4770000.0
1997-10-31,64.37,65.5,59.62,61.0,5026800.0
1997-11-03,62.62,62.62,59.38,60.87,1999200.0
1997-11-04,60.0,60.63,57.88,59.5,2365200.0
1997-11-05,59.75,61.44,58.5,58.5,3093600.0
1997-11-06,59.0,59.0,55.63,55.94,2913600.0
1997-11-07,53.0,55.69,52.63,53.75,2626800.0
