date,open,high,low,close,volume
2001-01-02,2.81,2.95,2.81,2.94,132800.0
2001-01-03,2.98,3.0,2.91,2.98,236000.0
2001-01-04,2.97,3.05,2.97,3.02,134000.0
2001-01-05,3.0,3.12,2.94,3.02,106000.0
2001-01-08,3.0,3.0,2.52,2.55,116000.0
2001-01-09,2.62,2.73,2.53,2.53,38400.0
2001-01-10,2.62,2.62,2.53,2.55,285600.0
2001-01-11,2.53,2.66,2.53,2.66,125200.0
2001-01-12,2.62,2.69,2.55,2.61,78800.0
2001-01-16,2.66,2.84,2.65,2.83,84800.0
2001-01-17,2.84,3.02,2.84,2.98,135200.0
2001-01-18,3.0,3.03,2.94,2.94,100800.0
2001-01-19,2.97,3.02,2.69,2.75,42000.0
2001-01-22,2.75,2.75,2.62,2.7,499200.0
2001-01-23,2.69,2.69,2.61,2.62,54000.0
2001-01-24,2.66,2.69,2.62,2.66,166000.0
2001-01-25,2.69,2.72,2.66,2.69,316000.0
2001-01-26,2.7,2.72,2.67,2.69,271600.0
2001-01-29,2.67,2.69,2.67,2.69,256800.0
2001-01-30,2.67,2.67,2.66,2.66,131200.0
2001-01-31,2.63,2.73,2.59,2.66,242000.0
2001-02-01,2.64,2.73,2.62,2.66,24800.0
2001-02-02,2.73,2.86,2.73,2.86,56800.0
2001-02-05,2.84,2.88,2.84,2.86,68000.0
2001-02-06,3.0,3.2,2.97,3.16,998400.0
2001-02-07,3.17,3.47,3.16,3.41,798800.0
2001-02-08,3.41,3.45,3.34,3.34,1022000.0
2001-02-09,3.41,3.41,3.22,3.27,622800.0
2001-02-12,3.26,3.28,3.12,3.14,832000.0
2001-02-13,3.12,3.22,3.09,3.16,353600.0
2001-02-14,3.19,3.19,3.16,3.17,77600.0
2001-02-15,3.19,3.3,3.0,3.16,112400.0
2001-02-16,3.11,3.11,3.0,3.0,52000.0
2001-02-20,3.09,3.12,3.03,3.08,89600.0
2001-02-21,3.03,3.03,2.84,2.88,246800.0
2001-02-22,2.91,2.91,2.78,2.84,246000.0
2001-02-23,2.78,2.78,2.47,2.67,2797600.0
2001-02-26,2.69,2.69,2.41,2.56,527600.0
2001-02-27,2.58,2.72,2.56,2.7,236400.0
2001-02-28,2.67,2.78,2.62,2.75,238000.0
2001-03-01,2.69,2.84,2.69,2.81,149200.0
2001-03-02,2.75,2.97,2.72,2.97,945200.0
2001-03-05,2.97,3.06,2.97,3.03,497600.0
2001-03-06,3.05,3.05,2.97,3.0,129600.0
2001-03-07,2.94,3.17,2.91,3.09,30000.0
2001-03-08,3.19,3.19,3.0,3.0,69200.0
2001-03-09,3.0,3.22,2.86,2.94,1152800.0
2001-03-12,2.98,3.27,2.97,3.25,884000.0
2001-03-13,3.31,3.42,3.27,3.34,701200.0
2001-03-14,3.22,3.31,3.16,3.28,622000.0
2001-03-15,3.28,3.28,3.12,3.27,166400.0
2001-03-16,3.26,3.31,3.22,3.31,145200.0
2001-03-19,3.2,3.59,3.17,3.5,283600.0
2001-03-20,3.47,3.5,3.12,3.16,854000.0
2001-03-21,3.12,3.16,3.09,3.09,182000.0
2001-03-22,3.08,3.12,3.0,3.11,68400.0
2001-03-23,3.06,3.16,3.0,3.02,45200.0
2001-03-26,3.0,3.16,3.0,3.16,306400.0
2001-03-27,3.12,3.25,3.09,3.19,247600.0
2001-03-28,3.22,3.31,3.12,3.12,67600.0
2001-03-29,3.14,3.14,3.12,3.14,42000.0
2001-03-30,3.12,3.16,3.09,3.16,58800.0
2001-04-02,3.19,3.19,3.12,3.16,92800.0
2001-04-03,3.16,3.16,3.05,3.06,96000.0
2001-04-04,3.15,3.15,2.94,2.95,112800.0
2001-04-05,2.98,3.0,2.94,3.0,167600.0
2001-04-06,3.06,3.08,2.94,3.0,250800.0
2001-04-09,3.01,3.01,2.95,2.95,19200.0
2001-04-10,2.95,3.0,2.92,2.92,554000.0
2001-04-11,3.0,3.19,2.94,3.15,1236400.0
2001-04-12,3.25,3.26,3.16,3.2,86400.0
2001-04-16,3.21,3.21,3.0,3.0,205600.0
2001-04-17,3.0,3.05,2.97,3.02,155600.0
2001-04-18,3.02,3.19,3.0,3.19,212000.0
2001-04-19,3.16,3.38,3.15,3.33,1102400.0
2001-04-20,3.35,3.46,3.34,3.39,889200.0
2001-04-23,3.41,3.41,3.23,3.25,2062400.0
2001-04-24,3.25,3.37,3.24,3.26,1225200.0
2001-04-25,3.26,3.56,3.25,3.47,1026800.0
2001-04-26,3.49,3.49,3.38,3.38,194000.0
2001-04-27,3.37,3.4,3.35,3.37,296800.0
2001-04-30,3.38,3.39,3.28,3.31,342400.0
2001-05-01,3.28,3.48,3.28,3.4,159600.0
2001-05-02,3.4,3.4,3.34,3.38,130400.0
2001-05-03,3.38,3.5,3.35,3.5,276800.0
2001-05-04,3.47,3.74,3.42,3.71,715600.0
2001-05-07,3.62,3.76,3.54,3.69,562000.0
2001-05-08,3.66,3.7,3.56,3.69,389600.0
2001-05-09,3.66,3.81,3.6,3.79,908400.0
2001-05-10,3.8,3.81,3.56,3.75,626000.0
2001-05-11,3.75,3.79,3.65,3.78,661200.0
2001-05-14,3.7,3.79,3.66,3.74,354800.0
2001-05-15,3.74,3.74,3.04,3.46,1171200.0
2001-05-16,3.4,3.49,3.4,3.42,620400.0
2001-05-17,3.42,3.45,3.25,3.36,603600.0
2001-05-18,3.33,3.54,3.3,3.52,384800.0
2001-05-21,3.55,4.06,3.55,4.06,1494400.0
2001-05-22,4.06,4.08,3.79,3.83,905200.0
2001-05-23,3.81,3.88,3.8,3.85,564000.0
2001-05-24,3.87,4.24,3.84,4.13,802000.0
2001-05-25,4.16,4.16,4.0,4.08,469600.0
2001-05-29,4.08,4.12,3.67,3.78,287600.0
2001-05-30,3.48,3.9,3.48,3.69,290400.0
2001-05-31,4.0,4.01,3.74,4.01,312000.0
