date,open,high,low,close,volume
2001-01-02,22.12,22.12,20.56,20.75,1284900.0
2001-01-03,19.66,24.5,19.62,24.38,4402600.0
2001-01-04,23.53,25.25,23.5,24.12,3100600.0
2001-01-05,26.41,26.44,24.25,24.62,3233200.0
2001-01-08,24.22,24.38,23.25,23.94,3714900.0
2001-01-09,24.47,25.19,24.25,25.12,2105900.0
2001-01-10,23.88,25.44,23.62,25.12,1671500.0
2001-01-11,24.94,27.75,24.88,27.62,3393800.0
2001-01-12,27.97,28.25,27.12,27.44,2568700.0
2001-01-16,26.0,26.12,25.38,25.75,2985300.0
2001-01-17,27.69,28.12,27.38,28.12,4473800.0
2001-01-18,28.38,29.81,27.56,29.56,7821800.0
2001-01-19,29.75,29.75,28.56,28.81,4384600.0
2001-01-22,27.03,28.31,27.0,28.12,1617100.0
2001-01-23,27.69,28.75,27.25,28.56,2508200.0
2001-01-24,28.75,30.0,28.12,28.56,3656800.0
2001-01-25,28.31,29.31,28.02,28.5,1621600.0
2001-01-26,27.38,28.12,27.06,27.88,1032300.0
2001-01-29,27.19,27.88,27.0,27.81,1449600.0
2001-01-30,27.84,28.69,27.81,28.31,2047300.0
2001-01-31,28.19,29.38,28.0,28.5,2601600.0
2001-02-01,28.98,29.0,27.62,28.06,1821800.0
2001-02-02,27.12,27.5,26.5,26.75,3933000.0
2001-02-05,25.75,25.88,25.06,25.69,2112800.0
2001-02-06,24.62,25.25,24.56,25.0,3151800.0
2001-02-07,24.12,24.94,23.88,24.12,3915400.0
2001-02-08,24.5,25.0,24.31,24.5,2361700.0
2001-02-09,23.62,24.25,23.38,23.38,2765100.0
2001-02-12,23.12,24.25,23.12,24.19,1522900.0
2001-02-13,24.38,24.94,23.38,23.5,1538500.0
2001-02-14,23.06,25.19,22.88,24.62,6779100.0
2001-02-15,25.31,25.75,25.06,25.06,2705100.0
2001-02-16,24.12,24.75,23.88,24.69,1475300.0
2001-02-20,24.69,24.81,23.5,23.62,886300.0
2001-02-21,22.81,23.88,22.31,22.62,3091600.0
2001-02-22,22.25,22.94,21.56,22.19,1898400.0
2001-02-23,21.0,23.62,20.81,23.5,5147600.0
2001-02-26,23.06,23.5,22.33,23.19,3246400.0
2001-02-27,23.0,23.12,21.88,21.94,951400.0
2001-02-28,22.12,22.19,20.81,21.19,2685300.0
2001-03-01,20.5,21.69,19.88,21.38,2720700.0
2001-03-02,20.12,22.31,19.94,21.75,9152700.0
2001-03-05,22.0,22.69,21.75,22.56,4345900.0
2001-03-06,23.84,26.38,23.84,25.25,6476900.0
2001-03-07,25.5,25.88,24.81,25.5,3701400.0
2001-03-08,25.25,25.56,24.38,24.88,2482100.0
2001-03-09,23.88,24.31,23.0,23.38,3044000.0
2001-03-12,22.56,24.06,22.31,22.5,5092400.0
2001-03-13,23.12,24.5,22.94,24.38,3208700.0
2001-03-14,22.88,24.5,22.75,23.81,2483200.0
2001-03-15,24.0,24.31,22.94,23.0,2610900.0
2001-03-16,20.75,21.25,20.12,20.25,6768400.0
2001-03-19,20.44,21.75,19.81,21.44,2378400.0
2001-03-20,21.31,21.69,20.56,20.56,1354500.0
2001-03-21,20.44,21.06,20.12,20.31,1594400.0
2001-03-22,21.03,23.06,20.25,22.94,3086700.0
2001-03-23,23.5,23.88,22.19,23.31,2553500.0
2001-03-26,23.81,24.06,23.25,23.31,1498700.0
2001-03-27,23.62,24.88,23.44,24.56,3059400.0
2001-03-28,22.62,23.12,21.75,21.88,2611400.0
2001-03-29,22.0,23.5,21.56,21.88,2522400.0
2001-03-30,22.31,22.5,21.25,21.69,4684600.0
2001-04-02,20.81,21.06,19.94,20.06,1973400.0
2001-04-03,20.31,20.31,18.94,19.25,2845500.0
2001-04-04,20.5,20.88,19.19,19.48,4682200.0
2001-04-05,21.38,22.94,21.19,22.69,3656000.0
2001-04-06,21.47,21.75,20.75,21.0,1706900.0
2001-04-09,21.64,21.8,20.65,21.11,1340600.0
2001-04-10,21.5,22.65,21.46,22.55,3219000.0
2001-04-11,24.1,24.23,23.43,23.7,5001800.0
2001-04-12,23.36,25.1,23.0,25.05,2881600.0
2001-04-16,24.09,24.74,23.72,24.05,2112000.0
2001-04-17,22.41,23.5,22.03,23.05,3590500.0
2001-04-18,24.58,26.83,24.41,26.03,6810100.0
2001-04-19,25.75,27.3,25.39,27.22,7540500.0
2001-04-20,26.86,27.34,26.3,26.96,7192500.0
2001-04-23,25.77,25.95,25.4,25.69,5563200.0
2001-04-24,25.55,26.65,25.3,25.39,7392900.0
2001-04-25,25.65,26.55,25.4,26.4,5381600.0
2001-04-26,26.6,27.0,25.9,26.25,2919800.0
2001-04-27,26.85,26.9,26.0,26.41,4240100.0
2001-04-30,26.51,27.42,26.51,27.07,3339300.0
2001-05-01,27.55,27.71,26.95,27.67,3507000.0
2001-05-02,27.9,28.05,27.44,27.88,3721300.0
2001-05-03,26.34,27.05,26.14,26.35,9200400.0
2001-05-04,25.86,26.97,25.74,26.83,2903700.0
2001-05-07,26.37,26.63,26.07,26.15,1965100.0
2001-05-08,25.85,26.1,25.58,26.07,1986700.0
2001-05-09,25.15,25.25,24.85,25.04,2505900.0
2001-05-10,26.57,26.69,25.9,25.95,5288700.0
2001-05-11,25.69,26.03,25.5,25.71,1757600.0
2001-05-14,24.86,24.94,24.35,24.7,1158500.0
2001-05-15,23.9,25.1,23.84,24.4,3578300.0
2001-05-16,24.0,25.37,23.86,25.36,3281900.0
2001-05-17,25.69,26.17,25.5,25.75,2212200.0
2001-05-18,25.47,26.6,25.31,26.59,2956500.0
2001-05-21,26.1,27.87,25.97,27.12,4990800.0
2001-05-22,27.9,27.95,27.01,27.04,2454300.0
2001-05-23,26.39,26.77,25.52,25.59,4124700.0
2001-05-24,25.55,25.74,25.0,25.42,4173600.0
2001-05-25,25.46,25.73,24.92,25.08,2414400.0
2001-05-29,24.6,24.66,23.99,24.1,1992100.0
2001-05-30,23.64,23.86,22.97,23.19,4293800.0
2001-05-31,23.15,23.59,22.8,23.26,2738900.0
2001-06-01,23.62,23.85,23.22,23.7,1561100.0
2001-06-04,23.72,23.97,23.46,23.53,1115700.0
2001-06-05,24.09,24.93,23.96,24.71,3159500.0
2001-06-06,24.72,24.81,23.61,24.16,3543400.0
2001-06-07,23.99,25.4,23.86,25.31,2764800.0
2001-06-08,25.45,25.5,25.01,25.4,2653600.0
2001-06-11,24.72,24.84,24.54,24.7,2371300.0
2001-06-12,23.45,24.85,23.26,24.32,2009300.0
2001-06-13,24.74,25.15,24.14,24.17,2481000.0
2001-06-14,23.28,23.41,22.61,22.86,2302100.0
2001-06-15,21.65,22.75,21.58,22.35,2158000.0
2001-06-18,22.38,22.82,22.13,22.19,1876800.0
2001-06-19,22.7,22.95,21.73,21.9,1721800.0
2001-06-20,20.34,20.8,19.98,20.72,3155900.0
2001-06-21,20.2,20.4,19.7,20.12,3712300.0
2001-06-22,21.02,22.18,20.91,21.68,4344800.0
2001-06-25,22.12,22.2,21.55,22.05,1134600.0
2001-06-26,21.12,22.14,21.12,22.01,2006000.0
2001-06-27,22.23,22.44,22.0,22.38,2026800.0
2001-06-28,21.6,22.69,21.6,22.25,3919300.0
2001-06-29,22.17,23.08,22.1,22.25,3689800.0
2001-07-02,22.25,23.0,22.17,22.49,2380100.0
2001-07-03,22.03,22.26,21.98,22.22,1107900.0
2001-07-05,19.37,21.49,19.36,20.8,7763600.0
2001-07-06,20.54,20.6,20.05,20.25,2218600.0
2001-07-09,20.52,21.15,20.31,20.89,3646700.0
2001-07-10,21.46,21.61,20.67,20.85,3604700.0
2001-07-11,20.53,20.95,20.25,20.75,1395100.0
2001-07-12,21.23,22.07,20.25,21.83,2255300.0
2001-07-13,21.4,22.05,21.2,21.29,1335500.0
2001-07-16,21.46,21.5,20.41,20.53,1296500.0
2001-07-17,19.65,20.95,19.4,20.86,4113100.0
2001-07-18,19.7,20.58,19.66,20.02,3705600.0
2001-07-19,20.29,20.5,19.89,19.93,7520400.0
2001-07-20,19.04,19.4,18.94,19.29,2393200.0
2001-07-23,19.53,19.63,19.08,19.12,2209900.0
2001-07-24,19.25,19.5,18.7,18.86,2417800.0
2001-07-25,18.87,19.0,18.04,18.66,3254200.0
2001-07-26,18.75,19.39,18.5,19.05,3581600.0
2001-07-27,19.35,19.56,18.95,19.52,2235300.0
2001-07-30,20.49,20.58,20.0,20.15,1297100.0
2001-07-31,20.71,21.1,20.43,20.47,2047000.0
2001-08-01,21.56,21.8,21.2,21.43,3938900.0
2001-08-02,22.0,22.0,20.64,21.15,5358400.0
2001-08-03,21.17,21.21,20.5,20.57,1434900.0
2001-08-06,20.36,20.42,20.05,20.3,997800.0
2001-08-07,19.76,19.94,19.46,19.87,2654400.0
2001-08-08,19.45,19.86,19.01,19.17,2239000.0
2001-08-09,19.56,19.75,19.28,19.67,2403000.0
2001-08-10,19.3,19.7,18.99,19.7,860500.0
2001-08-13,20.09,20.09,19.61,19.99,1102800.0
2001-08-14,20.16,20.3,19.66,19.84,1228600.0
2001-08-15,20.26,20.4,19.45,19.53,742600.0
2001-08-16,19.34,19.8,19.1,19.78,1284300.0
2001-08-17,18.85,19.14,18.6,18.76,645400.0
2001-08-20,18.95,19.15,18.7,18.92,1217700.0
2001-08-21,19.33,19.69,18.5,18.56,1106900.0
2001-08-22,19.38,19.6,19.06,19.4,1642800.0
2001-08-23,19.65,19.85,19.47,19.6,1065700.0
2001-08-24,20.4,21.2,20.15,20.95,2430800.0
2001-08-27,21.04,21.38,20.99,21.1,2130400.0
2001-08-28,20.77,20.8,19.7,19.75,2933400.0
2001-08-29,19.84,19.9,18.94,19.03,2112300.0
2001-08-30,18.59,18.99,18.25,18.55,1801200.0
2001-08-31,18.06,18.26,17.73,18.18,2298300.0
2001-09-04,16.85,17.35,16.74,16.88,3134800.0
2001-09-05,16.51,16.76,15.96,16.58,2634000.0
2001-09-06,15.37,15.69,14.8,15.15,2746500.0
2001-09-07,14.87,15.47,14.82,15.18,5365100.0
2001-09-10,14.87,15.28,14.63,14.86,6554200.0
2001-09-17,12.4,13.6,12.31,13.04,2493100.0
2001-09-18,12.5,12.69,11.9,12.18,3015100.0
2001-09-19,12.48,12.55,11.28,11.74,6645800.0
2001-09-20,11.01,11.44,10.42,10.55,2925200.0
2001-09-21,9.95,10.5,9.51,10.09,4199100.0
2001-09-24,10.76,11.38,10.73,11.27,4723800.0
2001-09-25,12.5,12.88,11.96,12.18,7108900.0
2001-09-26,12.3,12.3,11.2,11.2,3810400.0
2001-09-27,10.66,11.05,10.35,11.05,2575500.0
2001-09-28,11.2,11.35,10.83,11.21,2555400.0
2001-10-01,10.85,11.19,10.75,10.92,1792400.0
2001-10-02,11.04,11.62,11.04,11.41,1801600.0
2001-10-03,10.91,12.21,10.9,12.05,3881500.0
2001-10-04,12.35,13.03,12.28,12.58,7058900.0
2001-10-05,12.59,13.1,12.1,12.88,2691600.0
2001-10-08,12.86,13.7,12.84,13.55,2995400.0
2001-10-09,13.61,13.75,12.95,13.06,3354600.0
2001-10-10,13.62,14.55,13.4,14.53,2733600.0
2001-10-11,14.85,15.49,14.8,15.25,2049800.0
2001-10-12,14.38,14.94,13.95,14.63,1907900.0
2001-10-15,14.09,14.11,13.6,14.03,1626200.0
2001-10-16,14.2,14.79,13.9,14.64,4163700.0
2001-10-17,15.3,15.3,13.05,13.06,10652300.0
2001-10-18,13.2,13.29,12.8,13.0,5585700.0
2001-10-19,13.0,13.29,12.75,13.2,2508300.0
2001-10-22,13.41,13.75,13.25,13.73,6054100.0
2001-10-23,14.4,14.63,14.07,14.18,4134600.0
2001-10-24,14.68,15.09,14.53,15.03,2352800.0
2001-10-25,14.58,15.37,14.28,15.3,4033500.0
2001-10-26,15.25,15.59,15.11,15.31,2027600.0
2001-10-29,15.35,15.4,14.6,14.63,1714700.0
2001-10-30,14.24,14.31,13.45,13.54,3171200.0
2001-10-31,14.37,14.61,14.0,14.38,3881200.0
2001-11-01,14.68,15.57,14.44,15.55,1822600.0
2001-11-02,15.31,15.77,15.2,15.63,2373400.0
2001-11-05,16.0,16.63,16.0,16.58,2352200.0
2001-11-06,16.65,17.13,16.49,17.06,3579300.0
2001-11-07,16.69,17.18,16.66,16.74,1732900.0
2001-11-08,17.2,17.48,16.8,16.89,2800000.0
2001-11-09,16.97,17.24,16.82,16.99,1425300.0
2001-11-12,17.22,17.4,16.45,17.4,1092900.0
2001-11-13,17.59,18.13,17.54,18.07,1854900.0
2001-11-14,18.7,18.99,18.1,18.15,2047800.0
2001-11-15,18.21,18.85,18.2,18.66,1779900.0
2001-11-16,19.23,19.88,19.13,19.51,3109800.0
2001-11-19,19.52,19.59,18.18,18.65,3089000.0
2001-11-20,17.85,17.85,16.84,16.85,2410300.0
2001-11-21,16.98,17.3,16.87,17.08,2099200.0
2001-11-23,17.84,17.99,17.47,17.82,873300.0
2001-11-26,18.32,18.53,17.94,18.51,1948600.0
2001-11-27,17.88,18.59,17.61,18.05,2096200.0
2001-11-28,17.31,17.79,17.2,17.26,3057200.0
2001-11-29,17.45,17.8,17.25,17.74,2099700.0
2001-11-30,17.51,17.6,17.24,17.41,2269000.0
