date,open,high,low,close,volume
1993-10-25,15.0,15.0,11.25,11.25,8600.0
1993-10-26,14.75,14.75,10.25,10.37,84000.0
1993-10-28,8.5,10.0,7.0,9.88,13400.0
1993-10-29,10.5,10.5,10.0,10.0,76800.0
1993-11-01,10.0,10.5,10.0,10.5,34600.0
1993-11-02,10.0,10.5,10.0,10.5,5800.0
1993-11-03,10.25,11.75,10.25,11.5,21600.0
1993-11-04,12.0,12.0,11.5,11.5,10600.0
1993-11-05,10.25,12.0,10.25,12.0,2400.0
1993-11-09,10.5,10.5,10.5,10.5,3800.0
1993-11-10,10.75,10.75,10.75,10.75,23000.0
1993-11-11,10.75,10.75,10.75,10.75,3800.0
1993-11-12,10.75,10.75,10.75,10.75,5800.0
1993-11-15,10.75,10.75,10.75,10.75,13400.0
1993-11-16,10.75,12.25,10.75,12.25,10600.0
1993-11-17,10.75,12.25,10.75,11.0,16800.0
1993-11-18,11.0,11.0,11.0,11.0,25000.0
1993-11-19,11.38,11.5,10.25,10.63,420000.0
1993-11-22,10.63,11.5,10.63,11.38,15400.0
1993-11-23,11.0,11.0,11.0,11.0,2400.0
1993-11-24,10.5,10.75,10.5,10.75,3800.0
1993-11-26,10.63,10.75,10.63,10.75,5800.0
1993-11-29,10.5,11.5,10.5,11.5,21600.0
1993-12-02,11.0,11.25,10.75,11.25,97000.0
1993-12-03,11.0,11.0,11.0,11.0,2400.0
1993-12-06,11.0,11.0,11.0,11.0,1000.0
1993-12-07,10.75,10.75,10.5,10.5,19200.0
1993-12-08,11.25,11.25,10.25,10.5,48000.0
1993-12-09,10.5,11.25,10.37,10.5,159400.0
1993-12-10,11.25,11.25,10.25,10.25,2400.0
1993-12-13,10.5,10.5,10.25,10.5,47000.0
1993-12-14,10.25,10.88,10.25,10.25,99800.0
1993-12-15,10.37,10.37,10.37,10.37,1000.0
1993-12-16,10.75,10.75,10.25,10.25,13400.0
1993-12-20,10.25,10.75,10.25,10.75,13400.0
