date,open,high,low,close,volume
2016-02-01,133.34,138.69,132.96,137.68,4558976.0
2016-02-02,135.01,137.59,131.7,133.24,5897584.0
2016-02-03,137.25,137.61,130.29,131.36,5619376.0
2016-02-04,131.4,137.27,130.5,136.12,6082992.0
2016-02-05,137.0,137.0,126.98,128.36,7092922.0
2016-02-08,126.99,126.99,119.22,121.86,9124121.0
2016-02-09,119.83,125.72,118.77,119.71,6340018.0
2016-02-10,122.49,123.67,118.65,119.2,4547274.0
2016-02-11,116.5,117.64,114.25,116.31,6592272.0
2016-02-12,117.76,122.33,115.73,121.66,3996509.0
2016-02-16,123.27,126.79,122.95,126.24,3850397.0
2016-02-17,127.0,130.82,126.73,130.68,3264006.0
2016-02-18,131.76,131.99,126.08,127.07,3908455.0
2016-02-19,127.05,128.79,125.0,128.67,3109610.0
2016-02-22,130.0,132.43,129.49,130.64,2417121.0
2016-02-23,130.16,130.5,128.06,128.16,2235030.0
2016-02-24,126.51,131.25,125.41,130.34,2564767.0
2016-02-25,130.78,132.49,128.69,132.47,2564352.0
2016-02-26,134.2,134.97,132.25,133.11,2714054.0
2016-02-29,133.34,137.92,132.9,133.97,3590765.0
2016-03-01,135.37,138.64,134.62,138.43,4489855.0
2016-03-02,137.85,138.24,135.05,136.97,4383373.0
2016-03-03,137.75,138.85,134.3,137.33,5929264.0
2016-03-04,146.0,147.86,141.72,146.06,7239775.0
2016-03-07,144.76,146.23,140.57,143.51,4139571.0
2016-03-08,142.29,142.82,139.41,139.63,3319442.0
2016-03-09,140.75,142.53,140.47,141.96,3115229.0
2016-03-10,143.46,145.8,142.0,144.42,5454629.0
2016-03-11,145.99,150.02,145.75,148.82,5581877.0
2016-03-14,147.11,149.19,147.0,148.14,2844425.0
2016-03-15,148.5,149.98,146.08,148.47,3079942.0
2016-03-16,147.46,149.27,146.85,148.63,3490568.0
2016-03-17,147.37,151.72,147.37,151.55,4470522.0
2016-03-18,151.94,153.0,150.87,152.49,7056834.0
2016-03-21,152.59,153.0,150.83,152.89,2820364.0
2016-03-22,152.4,155.61,151.55,154.76,3394481.0
