date,open,high,low,close,volume
2020-09-25,54.2,55.84,54.02,55.51,4955818.0
2020-09-28,55.07,55.34,54.6,54.75,2741362.0
2020-09-29,54.71,55.2,54.71,55.11,4178369.0
2020-09-30,55.02,55.45,54.61,54.8,3001356.0
2020-10-01,55.2,55.31,54.22,54.3,4728218.0
2020-10-02,54.42,54.76,54.13,54.22,5699061.0
2020-10-05,54.46,54.85,54.18,54.49,6704494.0
2020-10-06,54.15,54.53,53.68,53.71,3694975.0
2020-10-07,53.81,53.93,53.33,53.53,3518746.0
2020-10-08,53.68,54.29,53.58,54.09,2351283.0
2020-10-09,54.39,54.85,54.32,54.72,2092001.0
2020-10-12,55.19,55.45,54.97,55.27,2783457.0
2020-10-13,54.77,55.15,54.45,54.48,2949809.0
2020-10-14,54.0,54.06,52.94,53.19,4657364.0
2020-10-15,52.45,52.77,52.24,52.55,3039396.0
2020-10-16,53.0,53.5,52.83,53.03,2666174.0
2020-10-19,53.23,53.33,52.3,52.44,3143676.0
2020-10-20,52.68,52.82,52.15,52.19,4919090.0
2020-10-21,52.14,52.48,50.47,51.57,8219837.0
2020-10-22,52.01,52.23,51.63,51.96,3754976.0
2020-10-23,52.17,52.69,51.78,52.0,5576904.0
2020-10-26,52.87,53.36,52.54,53.07,6021982.0
2020-10-27,53.31,53.49,52.38,52.48,3702333.0
2020-10-28,51.89,51.95,50.91,50.98,5263180.0
2020-10-29,51.04,51.45,50.41,51.07,3534018.0
2020-10-30,50.92,51.2,49.79,50.16,4764666.0
2020-11-02,50.47,50.72,50.15,50.62,5368781.0
2020-11-03,51.46,52.07,51.29,51.7,4157201.0
2020-11-04,53.95,55.37,53.91,55.04,7385766.0
2020-11-05,56.06,56.38,55.11,55.16,6660890.0
2020-11-06,55.69,55.96,55.44,55.52,3686324.0
2020-11-09,54.77,55.12,53.89,54.05,4381265.0
2020-11-10,56.64,56.85,55.98,56.57,5835772.0
2020-11-11,57.54,58.08,57.32,58.02,4069686.0
2020-11-12,56.81,57.37,56.48,56.84,2906589.0
2020-11-13,56.87,57.42,56.76,57.38,2911496.0
2020-11-16,56.49,56.77,56.07,56.29,5190460.0
2020-11-17,55.11,55.42,54.75,54.96,6451532.0
2020-11-18,55.33,55.34,53.96,53.99,4732307.0
2020-11-19,54.25,54.25,53.67,54.03,6768216.0
2020-11-20,54.88,55.42,54.68,55.3,4314695.0
2020-11-23,54.52,54.71,53.33,54.7,13670634.0
2020-11-24,54.0,54.3,53.52,53.57,8341371.0
2020-11-25,52.34,53.09,52.3,52.6,11660894.0
2020-11-27,51.58,52.77,51.44,52.61,14783164.0
2020-11-30,53.3,53.42,52.53,52.94,14725150.0
2020-12-01,53.06,53.36,52.6,52.98,13308215.0
2020-12-02,52.89,53.6,52.83,53.39,4953720.0
2020-12-03,52.87,52.96,52.25,52.78,7917117.0
2020-12-04,53.55,54.14,53.42,53.74,4685382.0
2020-12-07,54.38,54.49,53.83,54.26,6582900.0
2020-12-08,53.67,55.06,53.62,54.72,6707629.0
2020-12-09,54.96,55.02,53.81,54.04,7952358.0
2020-12-10,53.86,54.2,53.67,53.89,7566849.0
2020-12-11,53.63,54.35,53.63,54.27,3870032.0
2020-12-14,50.67,51.57,49.89,50.03,54898615.0
2020-12-15,50.61,50.83,50.09,50.83,22345282.0
2020-12-16,51.8,51.81,50.82,50.93,19333506.0
2020-12-17,51.26,51.37,50.55,50.79,13957162.0
2020-12-18,50.92,50.95,49.99,50.21,25875187.0
2020-12-21,49.48,49.84,49.06,49.68,13007228.0
2020-12-22,49.27,49.28,48.5,48.73,14234584.0
2020-12-23,49.11,49.12,48.63,48.77,11311012.0
2020-12-24,48.9,48.9,48.17,48.52,4931684.0
2020-12-28,50.23,50.28,49.14,49.38,15481865.0
2020-12-29,50.66,50.7,49.79,49.9,17308486.0
2020-12-30,50.46,50.55,50.04,50.18,14349075.0
2020-12-31,50.0,50.09,49.12,49.99,10610010.0
2021-01-04,50.92,51.05,49.89,50.52,15661809.0
2021-01-05,50.4,50.83,50.02,50.7,13361935.0
2021-01-06,50.84,51.44,50.66,50.91,12754931.0
2021-01-07,50.55,50.78,50.06,50.19,13562629.0
2021-01-08,50.59,50.88,50.32,50.86,10996025.0
2021-01-11,50.58,51.09,50.41,50.56,11687161.0
2021-01-12,50.64,50.65,50.1,50.29,9628798.0
2021-01-13,50.74,51.25,50.67,50.88,11452845.0
2021-01-14,51.47,51.8,51.17,51.29,11521679.0
2021-01-15,51.29,51.56,51.13,51.34,9523952.0
2021-01-19,52.52,52.66,52.21,52.57,13568686.0
2021-01-20,52.65,52.65,51.91,52.24,13626186.0
2021-01-21,52.56,52.74,52.16,52.55,16057952.0
2021-01-22,52.73,53.54,52.62,53.25,13372689.0
2021-01-25,53.73,54.21,53.59,54.01,13742789.0
2021-01-26,54.52,54.65,54.19,54.44,11614391.0
2021-01-27,53.37,53.43,52.03,52.1,14550174.0
2021-01-28,52.12,52.94,51.99,52.04,8374776.0
2021-01-29,51.73,52.21,50.51,50.6,12692504.0
2021-02-01,51.26,51.3,50.21,50.4,14590904.0
2021-02-02,50.52,50.63,50.02,50.06,11349771.0
2021-02-03,50.16,50.34,49.73,50.0,9069712.0
2021-02-04,50.31,50.45,50.04,50.36,7317680.0
2021-02-05,49.95,50.1,49.65,49.73,9809365.0
2021-02-08,50.1,50.53,49.8,50.06,8559086.0
2021-02-09,50.16,50.64,50.04,50.41,8058071.0
2021-02-10,50.78,50.84,49.76,49.97,9656626.0
2021-02-11,50.34,50.43,49.6,50.09,13276012.0
2021-02-12,50.93,51.74,50.8,51.69,11856407.0
2021-02-16,51.02,51.26,50.6,50.89,8823267.0
2021-02-17,51.05,51.79,50.85,51.45,9516106.0
2021-02-18,51.49,51.98,51.41,51.5,9765233.0
2021-02-19,51.13,51.16,50.55,50.59,6895585.0
2021-02-22,50.67,50.81,50.36,50.57,10775960.0
2021-02-23,50.7,50.77,49.22,49.31,14535857.0
2021-02-24,49.66,50.32,49.51,50.1,12218639.0
2021-02-25,49.85,49.87,48.75,48.91,12795869.0
2021-02-26,48.85,48.92,47.98,48.38,8551178.0
2021-03-01,48.46,48.68,48.08,48.09,11384694.0
2021-03-02,48.4,48.43,47.67,47.73,14259650.0
2021-03-03,47.64,47.64,46.85,47.16,14031715.0
2021-03-04,47.59,47.95,46.48,47.23,15996354.0
2021-03-05,47.57,48.12,47.15,48.06,11174776.0
2021-03-08,47.75,48.47,47.66,48.19,11753021.0
2021-03-09,49.4,49.88,49.07,49.27,15539098.0
2021-03-10,50.2,50.29,49.7,49.81,12728689.0
2021-03-11,48.95,49.27,48.59,48.67,12653914.0
2021-03-12,48.27,48.58,47.88,48.42,8919784.0
2021-03-15,48.58,48.78,48.13,48.77,10650880.0
2021-03-16,49.95,50.47,49.86,50.05,16767753.0
2021-03-17,49.8,50.12,49.09,50.07,13008118.0
2021-03-18,49.47,49.97,49.28,49.33,9792160.0
2021-03-19,49.22,49.48,48.89,49.21,6788841.0
2021-03-22,49.98,51.21,49.87,51.2,10091989.0
2021-03-23,49.95,50.21,49.16,49.4,10891764.0
2021-03-24,49.13,49.3,48.76,48.79,6482640.0
2021-03-25,48.93,49.79,48.81,49.7,6800208.0
2021-03-26,49.56,50.67,49.48,50.64,9707470.0
2021-03-29,50.55,51.06,50.48,50.81,8652365.0
2021-03-30,50.14,50.17,49.69,49.97,7085042.0
2021-03-31,50.04,50.13,49.7,49.72,6688265.0
2021-04-01,49.61,49.79,49.33,49.53,5958613.0
2021-04-05,49.41,49.8,49.4,49.53,5293953.0
2021-04-06,49.45,49.68,49.16,49.22,7127805.0
2021-04-07,49.06,49.12,48.26,48.42,9469101.0
2021-04-08,49.67,49.8,49.43,49.5,10361279.0
2021-04-09,50.15,50.16,49.68,49.94,7432187.0
2021-04-12,49.83,49.92,49.37,49.42,7890565.0
2021-04-13,49.21,49.6,48.96,49.19,7733898.0
2021-04-14,50.04,50.32,49.74,49.84,11863557.0
2021-04-15,50.74,51.29,50.6,50.83,13902952.0
2021-04-16,50.8,51.01,50.61,50.74,22166239.0
2021-04-19,51.64,51.81,51.25,51.63,16120676.0
2021-04-20,52.09,52.35,51.95,52.27,13942424.0
2021-04-21,52.92,53.18,52.69,53.11,11431747.0
2021-04-22,53.07,53.1,52.43,52.71,9435955.0
2021-04-23,52.74,52.76,52.16,52.26,6560601.0
2021-04-26,52.45,52.48,51.99,52.37,6451470.0
2021-04-27,52.8,52.81,52.31,52.37,8342180.0
2021-04-28,52.36,52.6,51.93,52.08,8145133.0
2021-04-29,52.26,52.28,50.66,51.37,11150899.0
2021-04-30,53.27,54.56,52.94,53.07,15298041.0
2021-05-03,53.37,53.74,53.12,53.7,6636696.0
2021-05-04,53.27,53.38,52.74,52.93,8149781.0
2021-05-05,53.27,53.7,53.08,53.65,7360549.0
2021-05-06,53.27,53.52,52.97,53.48,5502378.0
2021-05-07,53.53,54.05,53.53,53.81,4775914.0
