date,open,high,low,close,volume
1991-09-17,18.0,19.5,18.0,18.75,5698800.0
1991-09-18,18.25,19.25,18.25,18.75,568200.0
1991-09-19,18.25,19.0,18.25,18.87,572400.0
1991-09-20,19.0,19.0,18.5,18.5,697800.0
1991-09-23,19.0,19.0,17.75,17.75,651600.0
1991-09-24,17.75,18.5,17.75,18.0,609000.0
1991-09-25,17.75,18.5,17.75,18.25,157800.0
1991-09-26,18.25,19.5,18.25,19.0,199800.0
1991-09-27,19.5,20.25,19.0,20.0,259800.0
1991-09-30,20.0,20.0,18.25,18.75,198000.0
1991-10-01,19.0,19.0,18.5,18.5,37800.0
1991-10-02,19.0,19.0,18.5,19.0,136800.0
1991-10-03,19.0,19.0,17.75,17.75,82200.0
1991-10-04,18.5,18.5,17.25,17.25,100800.0
1991-10-07,17.25,17.75,16.0,16.0,201600.0
1991-10-08,16.0,16.5,14.75,15.25,1601400.0
1991-10-09,15.25,15.5,15.0,15.12,156600.0
1991-10-10,15.5,15.5,15.0,15.38,485400.0
1991-10-11,15.75,16.5,15.25,16.12,103800.0
1991-10-14,16.5,17.75,16.0,17.75,123000.0
1991-10-15,18.0,20.0,18.0,19.88,259800.0
1991-10-16,20.0,21.25,19.75,21.25,405000.0
1991-10-17,20.75,20.75,18.25,19.0,318000.0
1991-10-18,19.0,20.25,18.25,20.25,255000.0
1991-10-21,20.0,20.75,19.75,19.75,65400.0
1991-10-22,20.25,20.25,19.5,19.5,28200.0
1991-10-23,20.0,20.75,19.0,19.0,180000.0
1991-10-24,19.75,19.75,18.25,18.5,54600.0
1991-10-25,19.0,19.0,17.25,18.0,81000.0
1991-10-28,18.75,19.0,17.75,17.75,97200.0
1991-10-29,18.25,19.0,18.0,19.0,54000.0
1991-10-30,19.25,19.75,18.5,19.0,92400.0
1991-10-31,19.0,19.0,18.0,18.5,59400.0
1991-11-01,18.0,18.75,17.88,18.25,528600.0
1991-11-04,18.25,18.75,17.75,17.75,90000.0
1991-11-05,17.75,18.25,16.0,16.5,238800.0
1991-11-06,17.0,17.0,15.5,16.0,147600.0
1991-11-07,16.0,16.5,15.0,15.25,200400.0
1991-11-08,15.25,16.25,14.75,16.25,509400.0
1991-11-11,16.25,17.5,16.25,16.25,273000.0
1991-11-12,17.0,17.5,16.75,17.5,258600.0
1991-11-13,17.5,18.0,17.0,17.5,429600.0
1991-11-14,18.0,18.5,17.5,17.88,473400.0
1991-11-15,17.75,17.75,14.25,14.25,397200.0
1991-11-18,13.5,15.0,12.0,14.75,771000.0
1991-11-19,14.75,14.75,13.5,14.25,679200.0
1991-11-20,14.25,14.5,12.0,13.25,144600.0
1991-11-21,13.5,14.0,12.75,13.5,69600.0
1991-11-22,13.75,13.75,11.75,12.5,374400.0
1991-11-25,12.25,12.75,11.75,12.5,108000.0
1991-11-26,11.75,12.5,11.0,11.25,66600.0
1991-11-27,12.0,12.25,11.5,11.75,64200.0
1991-11-29,11.75,12.0,11.75,12.0,19800.0
1991-12-02,11.25,13.0,11.25,12.75,277800.0
1991-12-03,13.0,13.0,11.25,12.38,303600.0
1991-12-04,12.25,12.75,11.88,12.0,123600.0
1991-12-05,12.5,13.25,11.75,12.25,136800.0
1991-12-06,12.25,12.5,11.75,11.75,19800.0
1991-12-09,11.75,12.5,11.75,12.25,68400.0
1991-12-10,12.5,12.75,12.0,12.25,161400.0
1991-12-11,12.75,14.0,12.5,14.0,146400.0
