date,open,high,low,close,volume
2021-12-07,24.69,25.16,24.56,25.13,8147524.0
2021-12-08,25.29,25.29,24.83,24.95,5565743.0
2021-12-09,24.6,24.96,24.49,24.87,4315141.0
2021-12-10,24.86,25.52,24.86,25.44,5996722.0
2021-12-13,25.29,25.53,24.42,24.56,7927006.0
2021-12-14,24.4,24.73,24.0,24.08,8449616.0
2021-12-15,24.1,24.15,22.85,23.83,8881169.0
2021-12-16,24.44,24.78,24.08,24.27,7545510.0
2021-12-17,23.81,24.05,23.03,23.68,19818478.0
2021-12-20,22.99,23.29,22.77,23.07,7535057.0
2021-12-21,23.45,23.89,23.37,23.79,6491925.0
2021-12-22,23.75,23.97,23.44,23.92,3421881.0
2021-12-23,24.08,24.38,23.96,24.22,3146586.0
2021-12-27,24.05,24.63,23.71,24.62,3437319.0
2021-12-28,24.68,24.78,24.33,24.58,3180041.0
2021-12-29,24.52,24.59,24.18,24.27,4302830.0
2021-12-30,24.15,24.36,23.86,23.95,3986511.0
2021-12-31,23.82,24.13,23.75,24.06,3861274.0
2022-01-03,24.1,25.07,24.1,25.04,4790654.0
2022-01-04,25.38,25.94,25.3,25.59,7798668.0
2022-01-05,26.01,26.21,25.62,25.68,7700503.0
2022-01-06,26.37,26.59,25.58,25.95,5841858.0
2022-01-07,26.0,26.19,25.81,26.12,6915207.0
2022-01-10,26.12,26.26,25.54,26.07,9974132.0
2022-01-11,26.28,27.05,26.14,26.96,9988388.0
2022-01-12,27.17,27.23,26.49,26.73,8317926.0
2022-01-13,26.41,27.0,26.18,26.27,9390824.0
2022-01-14,26.25,27.55,26.04,27.46,12025866.0
2022-01-18,27.77,27.84,26.51,26.8,10407593.0
2022-01-19,27.11,27.18,26.24,26.29,10458938.0
2022-01-20,27.3,27.88,26.61,26.72,12793337.0
2022-01-21,26.5,27.66,26.3,27.24,15878162.0
2022-01-24,26.68,27.11,25.52,27.07,11878560.0
2022-01-25,26.95,28.16,25.88,27.93,13512781.0
2022-01-26,28.11,28.38,27.13,27.52,12946619.0
2022-01-27,28.25,28.4,26.67,27.3,11477656.0
2022-01-28,27.09,27.54,26.48,27.16,8108440.0
2022-01-31,26.52,27.78,26.51,27.44,11173046.0
2022-02-01,27.02,27.89,26.75,27.5,8566143.0
2022-02-02,27.19,27.46,26.68,26.87,9553201.0
2022-02-03,26.91,26.98,26.21,26.36,8933893.0
2022-02-04,26.34,26.94,26.25,26.59,7713699.0
2022-02-07,26.57,27.89,26.48,27.53,9541234.0
2022-02-08,27.53,27.65,26.76,27.36,5726872.0
2022-02-09,27.43,28.17,27.32,27.65,7297485.0
2022-02-10,27.45,28.26,27.22,27.44,7381195.0
2022-02-11,27.67,29.28,27.54,29.14,10092442.0
2022-02-14,28.89,29.18,28.15,28.54,7327434.0
2022-02-15,27.83,28.83,27.66,28.79,6366377.0
2022-02-16,29.0,30.11,29.0,29.71,10323183.0
2022-02-17,29.61,29.87,29.29,29.43,5502435.0
2022-02-18,29.02,29.58,28.71,29.11,5039059.0
2022-02-22,29.75,29.97,28.41,28.6,15256002.0
2022-02-23,28.63,29.43,28.43,29.05,7211749.0
2022-02-24,29.45,29.51,27.9,28.72,11866324.0
2022-02-25,28.9,29.6,28.6,29.5,7092237.0
2022-02-28,29.25,29.68,28.92,29.38,11034447.0
2022-03-01,29.61,29.78,27.72,28.34,12167290.0
2022-03-02,29.04,30.65,29.03,30.39,11545586.0
2022-03-03,29.94,31.38,29.94,31.21,13542761.0
2022-03-04,30.85,33.28,30.77,33.22,14328507.0
2022-03-07,33.2,35.92,33.2,34.78,19497452.0
2022-03-08,35.26,36.92,34.17,34.8,22307555.0
2022-03-09,33.9,34.82,32.74,33.81,21479175.0
2022-03-10,33.94,36.9,33.93,36.74,13964313.0
2022-03-11,36.05,38.41,36.05,37.64,15390712.0
2022-03-14,36.67,37.48,36.29,36.98,12763473.0
2022-03-15,35.47,36.28,34.48,34.87,14491526.0
2022-03-16,34.71,34.97,32.58,33.65,20716707.0
2022-03-17,34.25,35.21,33.92,34.98,15890316.0
2022-03-18,34.68,35.55,34.62,35.29,24795616.0
2022-03-21,36.01,37.13,35.89,36.22,19941481.0
2022-03-22,36.16,36.96,35.9,36.54,16908549.0
2022-03-23,37.0,38.09,36.71,37.59,15181171.0
2022-03-24,37.49,39.78,37.42,38.29,13293939.0
2022-03-25,37.93,38.74,37.93,38.72,11992292.0
2022-03-28,37.92,37.94,36.74,37.0,7384683.0
2022-03-29,36.2,36.72,35.17,36.67,13402999.0
2022-03-30,37.31,37.56,36.61,37.35,9134079.0
2022-03-31,37.05,37.77,36.1,36.41,11010217.0
2022-04-01,36.7,37.2,36.11,36.42,8558884.0
2022-04-04,36.69,36.79,35.8,36.43,8290980.0
2022-04-05,36.4,37.3,35.34,35.52,12705262.0
2022-04-06,35.88,36.39,35.29,35.72,8523606.0
2022-04-07,35.68,36.22,35.08,36.12,9536282.0
2022-04-08,36.31,37.6,36.28,37.52,12765845.0
2022-04-11,36.72,37.18,36.4,36.47,7655541.0
2022-04-12,36.53,37.17,36.05,36.32,8028347.0
2022-04-13,36.87,37.32,36.06,37.22,6849920.0
2022-04-14,36.82,37.64,36.77,37.29,6853481.0
2022-04-18,37.6,37.91,37.17,37.43,10120482.0
2022-04-19,37.14,37.65,36.51,36.74,10263986.0
2022-04-20,35.97,36.37,32.8,35.33,23404058.0
2022-04-21,35.55,35.65,32.28,32.91,19153676.0
2022-04-22,32.6,34.02,32.02,32.2,12918241.0
2022-04-25,30.98,31.31,29.46,30.74,16705398.0
2022-04-26,31.12,32.63,31.02,31.35,17393749.0
2022-04-27,31.46,31.95,30.87,31.28,9187907.0
2022-04-28,31.5,32.4,30.86,31.97,11759061.0
2022-04-29,32.02,32.22,30.82,31.02,13335262.0
2022-05-02,30.74,31.36,30.24,30.91,8737819.0
2022-05-03,30.73,31.7,30.6,31.5,9766532.0
2022-05-04,32.19,32.96,31.08,32.84,11857631.0
2022-05-05,32.92,33.11,31.22,32.02,9915466.0
2022-05-06,32.23,32.56,31.57,32.13,6917602.0
2022-05-09,31.65,31.65,29.97,30.05,13366329.0
2022-05-10,30.36,31.48,30.09,30.82,8439259.0
2022-05-11,31.52,32.78,31.25,32.49,13027737.0
2022-05-12,32.13,32.42,30.88,31.91,12987113.0
2022-05-13,32.44,34.2,32.36,34.11,9975032.0
2022-05-16,33.87,35.03,33.81,34.93,8788842.0
2022-05-17,35.57,35.75,34.9,35.16,9523656.0
2022-05-18,35.44,35.72,34.07,34.64,7188622.0
2022-05-19,33.9,35.57,33.78,34.97,7785634.0
2022-05-20,35.32,35.57,33.96,34.55,9027684.0
2022-05-23,35.0,36.0,34.76,35.71,9358666.0
2022-05-24,35.21,36.42,35.1,36.28,7961549.0
2022-05-25,36.36,36.57,35.36,35.72,9187786.0
2022-05-26,36.33,37.36,36.28,37.1,6661214.0
2022-05-27,36.53,37.45,36.53,37.18,7577779.0
2022-05-31,37.39,37.96,35.62,35.98,21917493.0
2022-06-01,36.53,37.8,36.53,37.41,8349877.0
2022-06-02,37.4,37.48,36.71,36.91,7678608.0
2022-06-03,36.67,37.99,36.55,37.82,5939505.0
2022-06-06,38.0,38.19,37.53,37.68,6681934.0
2022-06-07,37.44,37.93,37.25,37.66,6771915.0
2022-06-08,37.88,38.66,37.41,37.49,7251677.0
2022-06-09,37.05,37.26,36.03,36.08,8662968.0
2022-06-10,35.5,36.16,34.79,35.23,9472196.0
2022-06-13,34.32,34.39,32.85,33.3,13025896.0
2022-06-14,34.24,34.5,32.52,32.93,9909227.0
2022-06-15,33.19,33.19,31.3,31.74,13069199.0
2022-06-16,30.82,31.37,29.83,29.89,14673301.0
2022-06-17,29.93,30.2,28.85,29.97,28201907.0
2022-06-21,30.52,31.22,30.21,30.48,10414220.0
2022-06-22,28.93,29.91,28.73,29.52,11024033.0
2022-06-23,29.58,29.8,28.08,28.66,11185284.0
2022-06-24,28.76,29.28,28.38,28.47,18456836.0
2022-06-27,29.18,29.65,28.8,29.44,6675535.0
2022-06-28,30.0,30.45,29.58,30.07,6505636.0
