date,open,high,low,close,volume
1987-06-10,9.0,9.5,8.75,9.0,2310100.0
1987-06-11,8.5,9.13,8.5,8.5,496300.0
1987-06-12,8.5,8.75,8.5,8.5,249100.0
1987-06-15,8.5,8.75,8.5,8.5,403400.0
1987-06-16,8.25,8.63,8.25,8.25,152600.0
1987-06-17,8.5,8.5,8.13,8.5,198100.0
1987-06-18,8.25,8.5,8.25,8.25,28200.0
1987-06-19,8.38,8.38,8.25,8.38,141800.0
1987-06-22,8.25,8.38,8.25,8.25,61500.0
1987-06-23,8.13,8.38,8.0,8.13,123300.0
1987-06-24,8.13,8.13,8.0,8.13,74900.0
1987-06-25,8.0,8.0,8.0,8.0,3400.0
1987-06-26,8.0,8.13,8.0,8.0,55300.0
1987-06-29,7.25,8.13,7.25,7.25,79000.0
1987-06-30,6.63,7.5,6.63,6.63,17900.0
1987-07-01,7.5,7.5,6.63,7.5,64600.0
1987-07-02,7.75,7.75,7.13,7.75,56100.0
1987-07-06,7.5,8.0,7.5,7.5,21300.0
1987-07-07,8.13,8.5,7.5,8.13,104600.0
1987-07-08,8.0,8.38,8.0,8.0,60900.0
1987-07-09,7.75,8.38,7.75,7.75,27700.0
1987-07-10,7.75,8.25,7.75,7.75,2700.0
1987-07-13,7.25,8.0,7.25,7.25,19800.0
1987-07-14,7.5,7.63,7.25,7.5,25600.0
1987-07-15,7.25,7.63,7.25,7.25,21500.0
1987-07-16,7.63,7.75,7.5,7.63,6400.0
1987-07-17,7.75,7.75,7.75,7.75,1300.0
1987-07-20,7.25,7.75,7.25,7.25,2600.0
1987-07-21,7.75,7.75,7.5,7.75,2700.0
1987-07-22,7.38,7.75,7.25,7.38,42600.0
1987-07-23,7.38,7.63,7.38,7.38,16100.0
1987-07-24,7.38,7.63,7.38,7.38,1500.0
1987-07-27,7.38,7.5,7.38,7.38,22300.0
1987-07-28,7.38,7.5,7.38,7.38,33600.0
1987-07-29,7.38,7.38,7.38,7.38,600.0
1987-07-30,7.38,7.5,7.38,7.38,35200.0
1987-07-31,7.38,7.75,7.38,7.38,9100.0
1987-08-03,7.75,7.75,7.63,7.75,34200.0
1987-08-04,7.88,8.38,7.88,7.88,11900.0
1987-08-05,8.38,8.38,7.88,8.38,600.0
1987-08-06,8.25,8.25,8.0,8.25,1600.0
1987-08-07,8.0,8.25,8.0,8.0,3800.0
1987-08-10,7.75,8.13,7.75,7.75,400.0
1987-08-11,7.88,8.13,7.75,7.88,16400.0
1987-08-12,7.88,8.13,7.88,7.88,2500.0
1987-08-13,7.88,8.13,7.88,7.88,11300.0
1987-08-14,7.88,7.88,7.88,7.88,800.0
1987-08-18,7.88,8.13,7.88,7.88,1600.0
1987-08-19,7.88,7.88,7.88,7.88,3000.0
1987-08-20,7.75,8.0,7.75,7.75,14900.0
1987-08-21,7.88,8.13,7.75,7.88,62700.0
1987-08-24,7.75,7.88,7.75,7.75,15800.0
1987-08-25,8.0,8.25,7.75,8.0,32600.0
1987-08-26,8.25,8.25,7.75,8.25,34100.0
1987-08-27,8.25,8.25,7.88,8.25,18100.0
1987-08-28,8.5,8.5,8.13,8.5,9800.0
