date,open,high,low,close,volume
1988-07-07,16.36,16.48,16.01,16.36,1042800.0
1988-07-08,16.48,16.6,15.54,16.24,806700.0
1988-07-11,16.48,16.6,16.24,16.36,946400.0
1988-07-12,16.6,16.6,16.13,16.13,1055700.0
1988-07-13,16.36,16.6,16.24,16.6,784400.0
1988-07-14,16.36,16.72,16.36,16.6,1082700.0
1988-07-15,16.72,16.72,16.6,16.72,1223700.0
1988-07-18,16.6,16.83,16.36,16.48,2519700.0
1988-07-19,16.36,16.48,16.01,16.24,1624000.0
1988-07-20,16.36,16.83,16.24,16.6,1449900.0
1988-07-21,16.6,16.72,16.48,16.48,1559200.0
1988-07-22,16.48,16.6,16.13,16.24,506200.0
1988-07-25,16.13,16.13,15.77,15.89,286800.0
1988-07-26,15.77,15.77,15.54,15.77,385500.0
1988-07-27,15.77,15.77,15.07,15.07,741900.0
1988-07-28,15.07,15.19,14.48,14.71,2135700.0
1988-07-29,14.71,15.66,14.6,15.54,1279800.0
1988-08-01,15.42,15.42,14.71,15.07,1194000.0
1988-08-02,14.83,15.07,14.71,15.07,467700.0
1988-08-03,15.07,15.3,14.95,14.95,1778700.0
1988-08-04,14.95,15.42,14.95,15.07,2546700.0
1988-08-05,15.07,15.19,14.6,14.6,1116400.0
1988-08-08,14.95,15.07,14.6,14.6,1661800.0
1988-08-09,14.71,14.83,14.24,14.36,1522800.0
1988-08-10,14.48,14.48,14.01,14.01,1047600.0
1988-08-11,14.24,16.01,13.65,13.89,957900.0
1988-08-12,14.01,14.24,13.65,14.01,512400.0
1988-08-15,14.24,14.24,13.18,13.42,891000.0
1988-08-16,13.18,13.77,12.95,13.65,2694600.0
1988-08-17,13.77,13.89,13.65,13.89,2429400.0
1988-08-18,13.77,13.89,13.65,13.65,1231200.0
1988-08-19,13.77,13.77,13.3,13.54,2723700.0
1988-08-22,13.3,13.54,12.95,13.18,1458000.0
1988-08-23,12.95,13.18,12.95,12.95,1233900.0
1988-08-24,12.95,13.3,12.95,13.18,2907300.0
1988-08-25,13.3,13.3,12.95,13.07,1471500.0
1988-08-26,13.09,13.21,12.98,13.21,900400.0
1988-08-29,13.21,13.45,13.09,13.45,1597800.0
1988-08-30,13.45,13.45,13.21,13.33,723000.0
1988-08-31,13.21,13.33,13.21,13.33,1352100.0
1988-09-01,13.33,13.33,13.09,13.21,947700.0
1988-09-02,13.21,13.33,13.21,13.33,1764400.0
1988-09-06,13.33,13.45,13.21,13.45,1670700.0
1988-09-07,13.57,13.8,13.45,13.8,1291200.0
1988-09-08,13.68,14.04,13.68,13.92,1229100.0
1988-09-09,13.92,14.16,13.8,14.04,535200.0
1988-09-12,14.04,14.16,13.92,13.92,607500.0
1988-09-13,13.92,13.92,13.68,13.92,288300.0
1988-09-14,14.04,14.27,13.92,14.16,858600.0
1988-09-15,14.16,14.27,13.92,14.04,490800.0
1988-09-16,14.16,14.16,13.92,14.16,1406700.0
1988-09-19,13.92,14.04,13.68,13.8,323400.0
1988-09-20,14.04,14.16,13.92,14.16,732300.0
1988-09-21,14.04,14.27,14.04,14.16,542100.0
1988-09-22,14.27,14.27,13.68,14.04,702000.0
1988-09-23,13.92,14.16,13.8,14.04,513600.0
1988-09-26,14.16,14.16,13.92,14.16,671000.0
1988-09-27,14.16,14.16,13.8,14.04,969900.0
1988-09-28,14.04,14.27,13.8,14.16,1567400.0
1988-09-29,14.27,14.98,14.16,14.86,1085400.0
1988-09-30,14.86,15.1,14.75,14.98,1407300.0
1988-10-03,14.75,14.98,14.51,14.63,825600.0
1988-10-04,14.86,14.86,14.51,14.63,579200.0
1988-10-05,14.51,14.98,14.51,14.86,527100.0
1988-10-06,14.63,15.34,14.63,15.34,514400.0
1988-10-07,15.34,15.81,15.1,15.81,1422300.0
1988-10-10,15.57,15.69,15.45,15.45,355800.0
1988-10-11,15.45,15.57,15.1,15.45,334800.0
1988-10-12,15.22,15.22,14.98,15.22,710700.0
1988-10-13,15.1,15.45,14.98,15.22,575100.0
1988-10-14,15.45,15.69,15.22,15.34,2760800.0
1988-10-17,15.22,15.34,14.98,15.22,973400.0
1988-10-18,15.22,15.45,15.1,15.45,500800.0
1988-10-19,15.45,15.57,15.1,15.1,560200.0
1988-10-20,15.34,15.45,15.1,15.45,1342500.0
1988-10-21,15.22,15.57,15.22,15.45,1151600.0
1988-10-24,15.34,15.45,14.98,15.22,723000.0
1988-10-25,15.1,15.1,14.86,15.1,783600.0
1988-10-26,14.98,15.1,14.86,14.86,253200.0
1988-10-27,14.86,14.98,14.27,14.51,698700.0
