date,open,high,low,close,volume
1986-07-09,42.75,44.25,42.25,44.0,1116800.0
1986-07-10,44.25,44.5,42.75,43.75,595600.0
1986-07-11,43.5,43.75,42.25,42.25,800400.0
1986-07-14,42.5,42.5,40.5,41.0,738000.0
1986-07-15,40.75,40.75,37.25,39.75,2059200.0
1986-07-16,39.75,42.0,39.75,40.5,1160400.0
1986-07-17,40.5,41.0,40.0,40.75,1046000.0
1986-07-18,40.75,41.38,40.0,41.0,1420000.0
1986-07-21,41.0,41.25,40.75,41.0,322800.0
1986-07-22,41.0,41.13,40.75,40.75,390800.0
1986-07-23,41.0,41.0,40.0,40.25,1004000.0
1986-07-24,40.25,40.5,39.25,39.75,1071600.0
1986-07-25,39.75,40.5,39.5,40.25,688400.0
1986-07-28,40.25,41.0,39.88,40.5,414800.0
1986-07-29,40.0,40.75,40.0,40.75,278400.0
1986-07-30,40.25,40.5,39.5,40.5,459200.0
1986-07-31,40.5,41.0,40.0,40.25,1213600.0
1986-08-01,40.0,40.5,39.0,39.0,1118000.0
1986-08-04,39.25,39.25,38.13,39.0,892400.0
1986-08-05,39.0,39.0,38.0,38.25,868800.0
1986-08-06,38.25,38.5,36.5,36.5,550400.0
1986-08-07,36.0,36.25,32.5,33.5,7560000.0
1986-08-08,33.75,35.75,33.5,35.5,2802000.0
1986-08-11,36.0,36.5,35.5,36.5,1428000.0
1986-08-12,36.5,37.75,36.5,37.5,1155200.0
1986-08-13,37.75,40.38,37.5,38.75,865600.0
1986-08-14,39.0,39.25,37.5,38.0,762000.0
1986-08-15,38.0,38.0,36.75,37.5,654400.0
1986-08-18,37.75,39.5,37.0,38.75,606800.0
1986-08-19,39.0,39.0,38.0,38.25,2744000.0
1986-08-20,38.25,38.25,37.5,38.0,500000.0
1986-08-21,38.0,38.25,37.75,37.75,353200.0
1986-08-22,38.0,38.25,37.5,37.5,286000.0
1986-08-25,38.0,38.0,36.5,37.0,766400.0
1986-08-26,36.75,37.5,36.75,37.5,408800.0
1986-08-27,37.5,37.5,36.75,37.25,686400.0
1986-08-28,37.25,37.25,36.5,36.75,286000.0
1986-08-29,36.5,37.0,36.25,36.5,1128800.0
1986-09-02,36.75,36.75,34.75,35.0,916800.0
1986-09-03,35.0,35.75,34.75,35.75,684400.0
1986-09-04,36.0,37.25,35.5,37.25,576800.0
1986-09-05,37.25,37.75,36.0,36.0,961600.0
1986-09-08,36.5,36.5,34.5,35.0,1793200.0
1986-09-09,34.75,35.0,34.0,34.5,388000.0
1986-09-10,34.5,34.5,34.0,34.0,802400.0
1986-09-11,34.25,34.25,31.0,31.75,6240000.0
1986-09-12,31.5,31.75,30.25,30.5,2066800.0
1986-09-15,30.5,31.0,29.75,30.5,1746800.0
1986-09-16,30.25,30.5,29.25,29.75,1547200.0
1986-09-17,30.0,30.0,28.25,29.5,997600.0
1986-09-18,29.5,35.0,29.5,35.0,833200.0
1986-09-19,35.0,35.0,32.75,34.25,928000.0
1986-09-22,34.25,34.75,33.5,34.0,464000.0
1986-09-23,34.25,34.25,32.25,33.0,436400.0
1986-09-24,33.0,34.25,32.5,34.0,649600.0
