date,open,high,low,close,volume
2001-01-02,13.66,13.67,12.55,12.8,240900.0
2001-01-03,12.53,13.34,12.46,13.26,293300.0
2001-01-04,12.84,13.84,12.84,12.92,307500.0
2001-01-05,12.88,13.05,12.3,13.01,465800.0
2001-01-08,12.67,13.01,12.01,13.01,150500.0
2001-01-09,12.61,12.8,12.26,12.38,332800.0
2001-01-10,12.22,12.55,12.17,12.17,189200.0
2001-01-11,12.17,12.26,11.09,11.92,812000.0
2001-01-12,11.76,12.01,11.76,11.92,886500.0
2001-01-16,11.86,11.88,11.26,11.55,752600.0
2001-01-17,11.39,11.67,10.92,11.21,608400.0
2001-01-18,11.19,11.42,11.13,11.34,458000.0
2001-01-19,11.59,11.59,11.34,11.38,255900.0
2001-01-22,11.5,12.01,10.84,11.84,221700.0
2001-01-23,11.43,12.34,11.26,12.14,339600.0
2001-01-24,11.84,12.05,11.51,11.63,69000.0
2001-01-25,11.59,12.21,11.51,12.01,118400.0
2001-01-26,12.17,12.42,11.92,12.17,131500.0
2001-01-29,12.05,12.51,11.92,12.51,162200.0
2001-01-30,12.13,12.72,12.13,12.55,199700.0
2001-01-31,12.88,12.92,12.34,12.55,366600.0
2001-02-01,12.51,12.51,12.17,12.38,83400.0
2001-02-02,12.34,12.42,12.01,12.01,63400.0
2001-02-05,12.01,12.42,11.76,12.08,62400.0
2001-02-06,12.04,12.46,12.01,12.34,325600.0
2001-02-07,12.31,12.76,12.3,12.67,198200.0
2001-02-08,12.83,13.59,12.67,12.93,240300.0
2001-02-09,12.93,13.09,12.34,12.51,79500.0
2001-02-12,12.26,14.01,12.21,13.09,281700.0
2001-02-13,13.26,13.67,13.22,13.26,165500.0
2001-02-14,13.3,13.3,12.63,12.8,121600.0
2001-02-15,12.92,13.55,12.9,13.51,63100.0
2001-02-16,13.09,13.55,13.01,13.05,79200.0
2001-02-20,13.01,13.26,12.72,12.92,63400.0
2001-02-21,12.76,13.3,12.76,12.92,93000.0
2001-02-22,12.92,13.47,12.76,13.22,164900.0
2001-02-23,13.12,13.34,12.8,13.3,72300.0
2001-02-26,13.19,13.8,13.05,13.67,133300.0
2001-02-27,13.89,13.92,12.05,12.13,233700.0
2001-02-28,12.42,12.72,12.17,12.63,635200.0
2001-03-01,12.51,14.09,12.42,13.59,450500.0
2001-03-02,13.59,13.59,13.17,13.55,240800.0
2001-03-05,13.3,14.38,13.3,14.01,251600.0
2001-03-06,14.16,14.17,13.63,13.63,146800.0
2001-03-07,13.92,14.05,13.84,14.01,344700.0
2001-03-08,14.0,14.38,13.84,14.34,512300.0
2001-03-09,14.01,14.63,13.97,14.55,281300.0
2001-03-12,14.26,14.34,13.26,13.34,135500.0
2001-03-13,13.35,13.51,12.59,13.38,229100.0
2001-03-14,12.92,13.67,12.88,13.3,160000.0
2001-03-15,13.34,13.51,12.84,13.05,102200.0
2001-03-16,13.17,13.17,12.51,12.59,301800.0
2001-03-19,12.72,12.8,12.46,12.55,371800.0
2001-03-20,12.87,13.51,12.8,12.97,1320700.0
2001-03-21,13.01,13.17,12.59,12.59,285300.0
2001-03-22,12.51,12.51,11.7,12.01,896400.0
2001-03-23,12.09,12.42,12.05,12.34,132400.0
2001-03-26,12.18,13.37,12.17,13.26,280400.0
2001-03-27,13.3,13.47,13.13,13.34,467300.0
2001-03-28,13.28,13.34,13.07,13.27,235400.0
2001-03-29,13.27,13.41,13.11,13.29,236100.0
2001-03-30,13.17,13.89,13.07,13.67,378900.0
2001-04-02,13.63,13.63,13.19,13.33,238400.0
2001-04-03,13.39,13.39,13.05,13.26,469900.0
2001-04-04,13.05,13.43,13.03,13.11,357100.0
2001-04-05,13.31,13.41,13.2,13.37,164300.0
2001-04-06,13.38,13.38,13.01,13.01,106900.0
2001-04-09,13.08,13.41,13.07,13.18,185900.0
2001-04-10,13.3,14.04,13.29,13.95,325200.0
2001-04-11,14.01,14.49,14.01,14.31,420100.0
2001-04-12,14.49,15.01,14.32,14.94,526200.0
2001-04-16,15.75,15.75,14.51,14.51,1069600.0
2001-04-17,14.51,15.51,13.98,15.51,411700.0
2001-04-18,15.71,16.09,15.07,15.07,373000.0
2001-04-19,15.27,15.83,15.04,15.38,286400.0
2001-04-20,15.61,15.61,14.77,15.05,742400.0
2001-04-23,15.11,15.6,15.03,15.23,614400.0
2001-04-24,15.33,15.33,14.77,14.87,486800.0
2001-04-25,14.82,14.94,14.37,14.94,426500.0
2001-04-26,15.01,15.17,14.87,15.0,1130400.0
2001-04-27,15.15,15.35,14.91,15.35,288600.0
2001-04-30,15.55,15.84,15.04,15.28,597000.0
2001-05-01,15.4,16.08,15.38,16.01,712900.0
2001-05-02,16.53,16.63,16.07,16.17,1224400.0
2001-05-03,16.34,16.41,15.0,15.8,464200.0
2001-05-04,15.6,15.84,15.41,15.63,251600.0
2001-05-07,16.13,16.14,15.11,15.25,633100.0
2001-05-08,15.34,15.4,15.23,15.27,646900.0
2001-05-09,15.14,15.24,14.84,14.97,260600.0
2001-05-10,15.38,15.38,15.05,15.11,412400.0
2001-05-11,15.11,15.21,15.06,15.1,139100.0
2001-05-14,15.24,15.57,15.06,15.13,82200.0
2001-05-15,15.04,15.11,14.51,14.62,239100.0
2001-05-16,14.87,14.87,14.31,14.52,479800.0
2001-05-17,14.74,14.93,14.61,14.73,449900.0
2001-05-18,14.64,14.77,14.47,14.67,237000.0
2001-05-21,14.8,15.32,14.7,14.88,312400.0
2001-05-22,14.87,15.31,14.74,15.27,395400.0
2001-05-23,15.27,15.82,15.13,15.29,696900.0
2001-05-24,15.38,15.67,15.17,15.38,621400.0
2001-05-25,15.46,15.47,15.01,15.07,99000.0
2001-05-29,15.21,15.47,15.15,15.34,400400.0
2001-05-30,16.21,16.41,15.07,15.09,948100.0
2001-05-31,15.05,16.21,15.05,16.01,1018900.0
2001-06-01,16.51,16.68,15.97,16.61,1351700.0
2001-06-04,16.68,17.74,16.64,17.16,2834200.0
2001-06-05,17.43,17.53,17.18,17.3,3040800.0
2001-06-06,17.34,17.34,16.84,16.94,1271200.0
2001-06-07,17.08,17.14,16.94,17.08,911100.0
2001-06-08,17.13,17.58,17.01,17.17,879000.0
2001-06-11,17.35,17.51,17.16,17.18,771500.0
2001-06-12,16.66,16.84,14.87,16.64,1725000.0
2001-06-13,16.61,16.81,16.34,16.64,2654900.0
2001-06-14,16.67,16.72,16.33,16.33,498800.0
2001-06-15,16.04,16.61,15.91,16.44,751600.0
2001-06-18,16.53,17.01,16.44,16.53,562800.0
2001-06-19,16.74,16.78,16.13,16.19,510900.0
2001-06-20,16.16,16.81,16.11,16.6,1011700.0
2001-06-21,16.6,18.21,16.6,18.01,1679300.0
2001-06-22,18.39,18.43,17.6,17.62,1150500.0
2001-06-25,18.39,18.67,17.75,18.3,1789100.0
2001-06-26,18.34,18.88,18.28,18.71,2169700.0
2001-06-27,18.8,20.48,18.71,20.08,2907500.0
2001-06-28,20.43,20.68,19.18,19.57,1151900.0
2001-06-29,19.72,19.73,19.36,19.51,1519600.0
2001-07-02,19.68,20.01,18.46,19.18,783400.0
2001-07-03,18.6,19.0,18.04,18.28,566000.0
2001-07-05,17.67,18.9,17.58,18.7,424600.0
2001-07-06,18.64,19.04,17.28,18.61,513800.0
2001-07-09,18.6,18.6,17.64,18.32,205200.0
2001-07-10,18.25,18.54,18.01,18.28,439300.0
2001-07-11,18.14,18.85,18.04,18.68,501800.0
2001-07-12,18.77,19.54,18.71,19.39,1118300.0
2001-07-13,19.54,20.01,18.81,19.31,389500.0
2001-07-16,19.36,19.6,18.52,18.66,653200.0
2001-07-17,18.28,19.64,18.28,19.56,410800.0
2001-07-18,19.34,20.14,19.34,19.72,949900.0
2001-07-19,19.84,19.88,18.74,19.6,474700.0
2001-07-20,19.61,19.75,19.11,19.35,207300.0
2001-07-23,19.7,19.71,19.04,19.38,550100.0
2001-07-24,19.41,19.47,19.02,19.27,626700.0
2001-07-25,19.34,19.48,19.13,19.44,594300.0
2001-07-26,19.42,19.54,19.3,19.52,358600.0
2001-07-27,19.41,19.6,18.71,18.84,299000.0
2001-07-30,19.0,19.21,18.76,18.94,654700.0
2001-07-31,19.23,19.33,18.31,18.93,502200.0
2001-08-01,18.98,18.98,18.29,18.65,507600.0
2001-08-02,18.62,19.21,18.61,19.21,548300.0
2001-08-03,19.2,19.24,18.55,18.74,201300.0
2001-08-06,18.74,19.14,18.01,18.31,423800.0
2001-08-07,18.31,18.34,17.52,18.01,674500.0
2001-08-08,17.61,18.26,17.11,17.64,610300.0
2001-08-09,17.47,17.61,16.39,16.94,1214200.0
2001-08-10,16.46,16.97,16.39,16.5,922000.0
2001-08-13,16.33,16.41,15.72,16.13,1146200.0
2001-08-14,16.13,16.57,15.84,16.51,704300.0
2001-08-15,16.51,17.21,16.38,17.14,343600.0
2001-08-16,16.57,17.02,16.14,16.84,254900.0
2001-08-17,16.84,16.84,16.47,16.65,250400.0
2001-08-20,16.55,16.86,16.17,16.49,189400.0
2001-08-21,16.61,16.77,16.24,16.25,118400.0
2001-08-22,16.25,16.54,14.87,16.07,1059400.0
2001-08-23,15.87,16.27,15.87,16.11,401000.0
2001-08-24,16.11,16.51,15.97,16.39,616900.0
2001-08-27,16.49,16.63,15.8,16.24,247100.0
2001-08-28,16.19,16.4,15.77,15.78,248600.0
2001-08-29,15.83,16.11,15.77,16.11,526100.0
2001-08-30,15.89,16.34,15.89,16.18,116600.0
2001-08-31,16.07,16.53,16.01,16.43,284700.0
2001-09-04,16.58,17.24,16.44,16.64,596900.0
2001-09-05,16.71,16.94,16.34,16.75,351700.0
2001-09-06,16.68,16.68,16.27,16.5,266300.0
2001-09-07,16.38,16.47,15.45,16.09,527900.0
2001-09-10,15.81,16.25,15.81,16.01,271400.0
2001-09-17,15.51,15.55,14.52,15.27,856400.0
2001-09-18,16.32,16.93,16.01,16.01,1670600.0
2001-09-19,16.03,17.01,15.77,16.91,1393000.0
2001-09-20,16.58,16.91,16.09,16.41,1078400.0
2001-09-21,16.16,16.17,15.21,15.78,1118100.0
2001-09-24,16.14,18.18,16.13,18.01,1542000.0
2001-09-25,18.28,18.65,18.01,18.28,928300.0
2001-09-26,18.44,18.44,17.51,18.18,916200.0
2001-09-27,18.01,18.8,17.75,18.48,797000.0
2001-09-28,18.54,19.14,18.52,18.68,852600.0
2001-10-01,18.87,19.1,18.53,18.71,1058500.0
2001-10-02,18.71,20.01,18.64,19.91,1169400.0
2001-10-03,20.1,22.05,19.88,21.41,3571700.0
2001-10-04,21.84,21.98,21.04,21.58,3201300.0
2001-10-05,21.35,21.73,20.2,21.51,1676500.0
2001-10-08,21.41,22.17,20.52,20.69,773900.0
2001-10-09,20.7,21.64,20.62,21.18,719300.0
2001-10-10,21.18,22.14,21.18,21.96,579500.0
2001-10-11,22.68,23.68,22.48,22.78,1671700.0
2001-10-12,23.01,23.26,21.68,22.4,1765700.0
2001-10-15,22.46,22.48,21.78,21.92,763400.0
2001-10-16,22.11,22.34,21.01,21.37,1199600.0
2001-10-17,21.42,21.74,19.96,21.31,1249600.0
2001-10-18,21.45,22.59,21.34,21.47,736600.0
2001-10-19,21.5,22.15,21.34,22.01,447500.0
2001-10-22,21.72,21.72,20.68,20.84,1838400.0
2001-10-23,20.41,20.62,19.26,19.78,1490600.0
2001-10-24,18.94,20.5,18.92,20.28,751400.0
2001-10-25,20.38,21.44,19.85,21.26,1304900.0
2001-10-26,21.35,21.46,20.51,21.02,577500.0
2001-10-29,20.84,20.94,19.68,20.09,402100.0
2001-10-30,20.02,20.11,19.51,19.67,398100.0
2001-10-31,19.58,20.25,19.02,19.58,744100.0
2001-11-01,19.84,20.87,19.62,20.68,674500.0
2001-11-02,20.91,21.64,20.08,21.4,655600.0
2001-11-05,21.59,21.75,21.05,21.35,634300.0
2001-11-06,21.45,21.68,21.09,21.68,581600.0
2001-11-07,21.82,22.58,21.64,22.11,1054900.0
2001-11-08,22.11,22.6,21.88,22.28,511700.0
2001-11-09,22.31,22.51,21.68,21.88,646600.0
2001-11-12,22.14,22.16,20.32,20.41,1556500.0
2001-11-13,20.41,20.68,19.38,19.92,1472600.0
2001-11-14,20.18,20.78,20.18,20.5,4345400.0
2001-11-15,20.5,20.54,19.58,20.04,1369300.0
2001-11-16,20.04,20.41,19.85,19.99,724700.0
2001-11-19,19.74,20.3,19.72,20.0,575900.0
2001-11-20,20.06,21.14,20.0,20.38,1010300.0
2001-11-21,20.5,20.56,19.68,20.02,267300.0
2001-11-23,20.12,20.54,19.98,20.27,267900.0
2001-11-26,20.57,22.11,20.34,21.88,1418300.0
2001-11-27,22.44,22.92,21.54,22.83,2450800.0
2001-11-28,23.04,24.11,22.14,22.34,2466900.0
2001-11-29,22.12,22.56,21.96,22.34,977200.0
2001-11-30,22.34,23.18,22.31,22.86,756200.0
2001-12-03,23.08,23.14,22.04,22.45,837500.0
2001-12-04,22.68,23.8,22.48,23.6,1504900.0
2001-12-05,24.12,24.93,23.97,24.01,1487000.0
2001-12-06,24.13,24.51,23.04,23.76,854600.0
2001-12-07,23.34,24.14,23.28,23.77,436900.0
2001-12-10,23.34,23.77,22.74,23.06,678700.0
2001-12-11,23.12,23.85,22.78,23.18,370500.0
2001-12-12,23.27,23.65,21.76,22.7,476300.0
2001-12-13,22.62,22.85,22.26,22.49,358500.0
2001-12-14,22.21,23.47,22.21,23.34,431200.0
2001-12-17,23.57,24.44,23.56,24.37,673200.0
2001-12-18,24.57,25.1,24.39,24.93,920400.0
2001-12-19,24.95,25.55,24.38,25.19,990300.0
2001-12-20,25.25,25.35,24.13,24.25,895200.0
2001-12-21,24.28,24.55,23.81,24.22,1660100.0
2001-12-24,24.33,25.32,24.33,25.28,328500.0
2001-12-26,25.38,25.84,25.31,25.68,1203600.0
2001-12-27,25.75,25.82,25.13,25.49,670800.0
2001-12-28,25.49,25.7,24.55,24.79,925500.0
2001-12-31,24.85,24.88,23.94,24.26,899100.0
2002-01-02,24.38,24.57,23.14,23.6,1055200.0
2002-01-03,23.87,24.97,23.85,24.43,664500.0
2002-01-04,25.28,25.37,22.18,23.12,3010800.0
2002-01-07,23.04,23.51,22.52,22.62,902500.0
2002-01-08,22.64,22.78,21.51,21.87,1297600.0
2002-01-09,21.67,22.77,21.62,21.81,1099000.0
2002-01-10,21.72,22.18,21.02,21.96,1472300.0
2002-01-11,22.0,22.49,21.71,22.12,1235700.0
2002-01-14,22.04,22.32,20.84,21.02,1984600.0
2002-01-15,20.74,21.49,20.74,21.3,854400.0
2002-01-16,21.21,21.82,21.16,21.74,623700.0
2002-01-17,21.84,22.11,21.71,21.97,828500.0
2002-01-18,22.0,22.09,21.64,21.78,461500.0
2002-01-22,21.4,21.9,20.8,21.65,452400.0
2002-01-23,21.8,22.0,21.11,21.7,308100.0
2002-01-24,23.53,23.75,22.38,22.91,706200.0
2002-01-25,22.87,23.26,22.13,22.14,372100.0
2002-01-28,22.35,23.25,22.34,23.06,692800.0
2002-01-29,23.6,23.83,22.49,22.49,674200.0
2002-01-30,22.71,23.19,22.26,22.35,690200.0
2002-01-31,22.51,23.35,22.24,22.6,3187400.0
2002-02-01,22.65,23.85,22.65,23.04,992400.0
2002-02-04,23.32,23.85,23.01,23.53,684800.0
2002-02-05,23.49,24.2,23.3,23.85,844900.0
2002-02-06,23.9,23.95,22.67,23.23,871700.0
2002-02-07,23.45,23.75,22.6,22.8,621800.0
2002-02-08,23.1,23.57,22.41,23.3,560000.0
2002-02-11,23.38,23.5,22.8,22.85,381300.0
2002-02-12,22.6,22.95,22.6,22.75,644400.0
2002-02-13,22.89,23.2,22.62,23.03,280600.0
2002-02-14,23.0,23.1,22.66,22.82,437600.0
2002-02-15,22.79,22.96,22.31,22.48,484500.0
2002-02-19,22.46,22.8,21.28,21.43,970800.0
2002-02-20,21.43,21.73,20.8,21.3,527000.0
2002-02-21,21.35,21.61,19.69,20.48,672200.0
2002-02-22,20.49,21.09,20.3,20.81,506600.0
2002-02-25,21.05,21.45,19.98,20.29,893900.0
2002-02-26,20.5,20.76,19.56,19.93,1027700.0
2002-02-27,19.65,19.85,16.81,17.14,3330000.0
2002-02-28,17.0,18.05,17.0,17.39,950400.0
2002-03-01,17.3,17.85,16.77,17.54,657600.0
2002-03-04,16.89,17.03,15.4,17.0,3708200.0
2002-03-05,16.98,17.59,16.03,17.51,2347700.0
2002-03-06,17.7,17.79,16.91,17.38,1969100.0
2002-03-07,17.61,17.96,16.52,16.8,1745400.0
2002-03-08,17.36,17.8,16.85,17.14,1413100.0
2002-03-11,17.4,17.88,16.68,16.75,1289000.0
2002-03-12,16.72,17.04,16.25,16.61,1628300.0
2002-03-13,16.81,16.9,16.06,16.29,1292300.0
2002-03-14,16.4,16.75,16.06,16.39,883500.0
2002-03-15,16.5,16.61,16.0,16.28,766400.0
2002-03-18,16.19,16.6,16.01,16.5,713700.0
2002-03-19,16.71,17.4,16.5,17.17,1049800.0
2002-03-20,17.02,18.35,17.0,17.96,1693200.0
2002-03-21,18.35,18.35,17.69,17.97,1280600.0
2002-03-22,18.27,18.3,17.64,17.85,516300.0
2002-03-25,17.85,17.86,17.06,17.28,547700.0
2002-03-26,17.3,17.69,17.07,17.46,603600.0
2002-03-27,17.46,17.88,17.27,17.47,820600.0
2002-03-28,17.69,18.24,17.46,17.94,675100.0
2002-04-01,17.8,18.1,17.25,17.83,551200.0
2002-04-02,17.89,18.25,17.62,17.79,695000.0
2002-04-03,17.8,18.13,17.36,17.94,626800.0
2002-04-04,18.04,18.44,17.59,18.0,443000.0
2002-04-05,18.05,18.5,17.6,18.13,282800.0
2002-04-08,18.0,18.61,17.65,18.61,309700.0
2002-04-09,18.62,18.8,18.08,18.15,496500.0
2002-04-10,18.14,19.1,18.08,19.0,840900.0
