date,open,high,low,close,volume
2001-01-02,23.44,23.44,21.62,21.62,21800.0
2001-01-03,20.5,25.25,19.75,24.88,65700.0
2001-01-04,23.75,24.38,23.56,24.12,20100.0
2001-01-05,23.5,25.25,23.38,24.38,43200.0
2001-01-08,24.06,24.84,24.0,24.75,28700.0
2001-01-09,24.38,25.12,22.88,24.56,23400.0
2001-01-10,24.5,27.0,24.5,25.31,33700.0
2001-01-11,24.44,28.94,24.44,26.5,61000.0
2001-01-12,26.5,28.31,26.38,27.75,32400.0
2001-01-16,27.06,28.88,25.0,27.88,102000.0
2001-01-17,27.75,28.12,26.75,26.88,32600.0
2001-01-18,27.31,27.5,26.5,27.25,68900.0
2001-01-19,27.25,27.5,27.0,27.0,8600.0
2001-01-22,27.38,27.38,24.75,25.88,17800.0
2001-01-23,26.5,28.69,25.88,27.88,95300.0
2001-01-24,28.12,30.75,27.12,30.53,74000.0
2001-01-25,30.5,30.62,28.88,28.88,6100.0
2001-01-26,29.0,29.0,27.25,27.94,28700.0
2001-01-29,27.88,28.75,27.88,28.0,21400.0
2001-01-30,28.12,28.75,28.0,28.56,167700.0
2001-01-31,28.75,28.75,28.06,28.31,47300.0
2001-02-01,28.62,29.12,28.25,28.62,34300.0
2001-02-02,29.12,29.38,28.31,29.12,9200.0
2001-02-05,28.81,28.94,27.19,27.44,31200.0
2001-02-06,28.0,28.0,26.25,26.5,10600.0
2001-02-07,26.75,26.75,24.81,24.88,15600.0
2001-02-08,24.81,25.06,23.56,24.5,27300.0
2001-02-09,24.75,24.94,24.12,24.88,16600.0
2001-02-12,24.05,25.12,24.0,25.12,32900.0
2001-02-13,25.19,25.25,24.12,24.44,18300.0
2001-02-14,24.0,24.38,23.12,23.31,41300.0
2001-02-15,23.5,23.5,19.62,19.88,111900.0
2001-02-16,19.94,20.0,18.5,18.5,153200.0
2001-02-20,18.56,18.56,16.88,17.0,153700.0
2001-02-21,17.11,18.12,16.38,16.66,61200.0
2001-02-22,17.19,19.53,17.0,18.31,32900.0
2001-02-23,18.62,18.62,17.38,18.19,80400.0
2001-02-26,17.64,19.0,17.5,19.0,63400.0
2001-02-27,18.69,19.19,18.25,18.25,48500.0
2001-02-28,18.25,18.48,17.44,17.88,46000.0
2001-03-01,17.62,17.81,16.0,16.81,83300.0
2001-03-02,17.25,17.25,16.5,17.0,44200.0
2001-03-05,16.88,17.06,15.75,15.75,33500.0
2001-03-06,16.12,16.22,16.0,16.12,222400.0
2001-03-07,16.38,17.19,16.12,17.06,51200.0
2001-03-08,16.94,17.25,16.88,17.12,6200.0
2001-03-09,16.86,17.0,16.42,16.88,102500.0
2001-03-12,16.66,17.0,16.38,16.88,69200.0
2001-03-13,16.98,17.19,16.19,17.0,40200.0
2001-03-14,16.56,17.25,16.56,16.88,29000.0
2001-03-15,16.81,17.0,16.0,16.81,182100.0
2001-03-16,17.06,17.06,15.38,15.94,92500.0
2001-03-19,15.56,16.19,15.56,16.12,56400.0
2001-03-20,16.12,16.62,15.75,16.31,113600.0
