date,open,high,low,close,volume
2015-12-22,25.35,25.84,25.25,25.75,6003309.0
2015-12-23,25.76,26.37,25.56,26.13,5727723.0
2015-12-24,26.15,26.4,26.06,26.13,1594078.0
2015-12-28,26.15,26.23,25.85,25.94,3084829.0
2015-12-29,26.08,26.42,26.02,26.38,4108629.0
2015-12-30,26.12,26.21,25.86,25.9,4582906.0
2015-12-31,25.5,26.14,25.5,25.94,4742225.0
2016-01-04,25.37,25.8,25.08,25.79,9550390.0
2016-01-05,25.8,25.99,25.21,25.53,5216276.0
2016-01-06,25.07,25.22,24.17,24.37,8383575.0
2016-01-07,23.82,24.3,23.59,23.63,9808270.0
2016-01-08,23.8,23.85,23.43,23.47,9660705.0
2016-01-11,23.38,23.79,23.18,23.52,11045561.0
2016-01-12,23.58,24.14,23.21,23.7,11821737.0
2016-01-13,23.52,23.91,21.75,22.34,22008280.0
2016-01-14,22.65,23.79,22.56,23.26,16553798.0
2016-01-15,22.25,22.83,22.15,22.73,12589589.0
2016-01-19,23.12,23.3,22.47,22.73,9790795.0
2016-01-20,22.29,22.58,21.32,22.29,10542558.0
2016-01-21,22.0,22.8,21.66,22.37,10706683.0
2016-01-22,22.92,23.22,22.12,22.42,9450764.0
2016-01-25,22.35,22.52,21.91,21.98,5609319.0
2016-01-26,22.14,22.35,22.01,22.27,9212378.0
2016-01-27,22.3,22.66,21.79,21.97,9711704.0
2016-01-28,22.27,22.52,22.03,22.37,6289742.0
2016-01-29,22.55,23.02,22.53,23.02,8511716.0
2016-02-01,22.6,22.99,22.37,22.86,8454395.0
2016-02-02,22.61,22.68,21.86,22.03,6986128.0
2016-02-03,22.34,22.53,21.64,22.36,7298184.0
2016-02-04,22.35,23.44,22.35,23.05,10387543.0
2016-02-05,23.04,23.25,22.66,22.83,6624745.0
2016-02-08,22.64,23.06,22.28,23.01,11301481.0
2016-02-09,22.56,23.93,22.56,23.88,16839229.0
2016-02-10,24.02,24.37,23.84,24.13,12241885.0
2016-02-11,23.65,23.94,23.03,23.41,8209274.0
2016-02-12,23.27,24.22,23.26,24.19,8227315.0
2016-02-16,24.78,24.99,23.97,24.76,11209761.0
2016-02-17,24.37,25.18,23.75,24.83,12547343.0
2016-02-18,24.82,25.08,24.55,24.82,9067404.0
2016-02-19,24.64,24.91,24.41,24.51,32691033.0
2016-02-22,25.44,25.71,25.21,25.3,9754529.0
2016-02-23,24.86,25.4,24.35,24.38,9002075.0
