date,open,high,low,close,volume
1998-06-19,10.0,10.5,9.5,10.0,10243200.0
1998-06-22,9.94,10.13,9.88,10.0,1164000.0
1998-06-23,9.97,10.13,9.62,10.0,1605600.0
1998-06-24,10.0,10.25,9.88,10.25,288000.0
1998-06-25,10.5,11.75,10.44,11.25,3069600.0
1998-06-26,11.38,12.75,11.19,12.12,1711200.0
1998-06-29,12.12,12.87,12.12,12.44,765600.0
1998-06-30,12.69,12.69,11.87,12.06,792000.0
1998-07-01,12.0,12.12,11.87,11.87,2733600.0
1998-07-02,12.0,12.12,11.87,12.0,559200.0
1998-07-06,12.12,12.12,11.87,12.12,367200.0
1998-07-07,12.12,12.12,11.87,12.06,609600.0
1998-07-08,12.12,12.12,11.87,12.12,213600.0
1998-07-09,12.06,15.63,12.0,14.13,2462400.0
1998-07-10,14.13,14.5,14.13,14.37,216000.0
1998-07-13,14.69,14.75,13.81,13.81,837600.0
1998-07-14,14.0,15.25,13.75,15.12,909600.0
1998-07-15,15.5,17.75,15.38,16.0,1336800.0
1998-07-16,15.94,16.25,15.0,15.63,784800.0
1998-07-17,15.75,16.13,15.5,16.13,163200.0
1998-07-20,16.13,17.56,16.0,16.88,890400.0
1998-07-21,17.75,18.5,17.5,17.88,1780800.0
1998-07-22,18.25,18.38,15.5,17.37,772800.0
1998-07-23,17.37,17.88,15.75,16.88,352800.0
1998-07-24,16.88,16.88,15.5,16.13,314400.0
1998-07-27,16.0,16.25,15.38,16.13,7790400.0
1998-07-28,16.13,16.13,14.88,15.38,508800.0
1998-07-29,15.75,16.0,15.0,16.0,422400.0
1998-07-30,15.87,16.38,15.38,16.38,501600.0
1998-07-31,16.5,16.5,15.63,16.0,153600.0
1998-08-03,15.75,16.13,15.63,15.87,672000.0
1998-08-04,15.94,16.31,15.63,15.94,604800.0
1998-08-05,16.0,17.75,15.87,16.56,1432800.0
1998-08-06,16.19,16.38,16.0,16.06,36000.0
1998-08-07,16.81,17.5,16.69,17.0,549600.0
1998-08-10,18.12,18.12,16.88,17.06,364800.0
1998-08-11,17.37,17.37,15.5,16.88,376800.0
1998-08-12,17.25,17.75,17.0,17.13,220800.0
1998-08-13,17.5,17.88,17.25,17.5,283200.0
1998-08-14,17.63,18.0,17.5,17.88,348000.0
1998-08-17,17.81,17.81,17.25,17.37,381600.0
1998-08-18,17.75,19.56,17.75,19.0,1651200.0
1998-08-19,19.38,19.62,18.75,18.75,1005600.0
1998-08-20,19.0,19.38,18.38,18.38,172800.0
1998-08-21,17.75,18.0,16.5,18.0,633600.0
1998-08-24,18.87,18.87,17.06,17.88,448800.0
1998-08-25,18.5,19.25,18.31,18.87,813600.0
1998-08-26,18.06,18.44,17.5,17.56,1142400.0
1998-08-27,16.62,17.5,15.38,15.75,1312800.0
1998-08-28,15.75,16.25,14.88,15.5,768000.0
1998-08-31,15.75,15.75,12.0,12.0,1082400.0
1998-09-01,12.38,15.87,11.56,15.0,943200.0
1998-09-02,15.12,16.62,14.5,14.88,792000.0
1998-09-03,13.0,14.5,13.0,14.25,362400.0
1998-09-04,14.25,15.25,13.75,14.5,242400.0
1998-09-08,15.25,16.62,14.63,16.25,492000.0
1998-09-09,15.87,16.19,14.75,15.69,228000.0
1998-09-10,15.0,15.56,14.75,15.56,1046400.0
1998-09-11,15.63,15.63,15.0,15.56,67200.0
1998-09-14,15.87,16.38,15.56,15.75,110400.0
1998-09-15,16.0,16.0,15.25,15.25,132000.0
1998-09-16,15.31,15.31,14.75,15.0,211200.0
1998-09-17,14.37,14.88,14.37,14.69,482400.0
1998-09-18,14.63,14.88,14.63,14.88,21600.0
1998-09-21,14.37,15.5,14.37,15.5,230400.0
1998-09-22,15.25,15.5,15.12,15.12,360000.0
1998-09-23,15.38,16.38,15.12,16.0,561600.0
1998-09-24,15.5,16.25,15.25,15.38,276000.0
1998-09-25,15.5,16.25,15.5,15.75,297600.0
1998-09-28,16.0,16.25,15.75,15.75,256800.0
1998-09-29,15.87,16.38,15.5,16.06,280800.0
1998-09-30,15.5,15.75,15.5,15.5,256800.0
1998-10-01,15.25,15.63,15.0,15.38,216000.0
1998-10-02,15.38,16.13,15.38,16.13,177600.0
1998-10-05,15.87,16.0,15.38,15.5,796800.0
1998-10-06,15.38,15.38,12.87,13.0,580800.0
1998-10-07,12.12,12.5,12.0,12.25,199200.0
1998-10-08,11.75,12.0,7.0,9.25,1471200.0
1998-10-09,10.5,11.38,10.5,11.0,398400.0
1998-10-12,11.75,12.0,10.88,10.88,252000.0
1998-10-13,12.5,14.5,12.0,12.56,2193600.0
1998-10-14,12.5,12.5,11.5,12.38,472800.0
1998-10-15,12.75,13.25,12.75,13.0,187200.0
1998-10-16,13.19,13.38,12.87,13.38,136800.0
1998-10-19,13.38,14.88,13.38,14.63,367200.0
1998-10-20,14.88,16.0,14.88,15.5,556800.0
1998-10-21,16.75,16.94,16.0,16.56,3878400.0
1998-10-22,17.56,17.75,16.56,17.5,1104000.0
1998-10-23,17.75,19.25,17.69,18.25,1207200.0
1998-10-26,19.0,21.38,18.87,20.63,2160000.0
1998-10-27,24.0,24.13,21.25,22.75,3187200.0
1998-10-28,23.63,23.88,21.5,22.13,1850400.0
1998-10-29,21.75,22.25,19.88,21.0,1672800.0
1998-10-30,20.5,22.5,20.5,22.31,1048800.0
1998-11-02,23.37,23.44,22.75,23.0,1281600.0
1998-11-03,22.81,23.13,22.31,22.75,542400.0
1998-11-04,23.25,23.25,21.94,22.56,645600.0
1998-11-05,22.0,22.5,18.0,20.25,1538400.0
1998-11-06,20.0,20.0,18.12,19.0,1732800.0
1998-11-09,19.38,19.75,18.5,19.75,804000.0
1998-11-10,19.94,20.13,19.5,20.13,189600.0
1998-11-11,20.13,20.13,19.0,19.13,580800.0
1998-11-12,19.31,19.38,19.0,19.13,292800.0
1998-11-13,19.38,20.0,19.0,19.5,972000.0
1998-11-16,19.75,19.88,19.13,19.38,240000.0
1998-11-17,19.75,19.88,17.75,19.25,480000.0
1998-11-18,19.5,19.62,18.63,19.44,225600.0
1998-11-19,19.75,20.0,19.25,19.75,235200.0
1998-11-20,19.88,24.0,19.62,21.87,1279200.0
1998-11-23,23.0,23.5,22.5,22.88,1044000.0
1998-11-24,23.13,23.13,22.0,22.38,475200.0
1998-11-25,22.88,23.0,22.25,22.25,64800.0
1998-11-27,22.75,22.75,21.75,21.75,134400.0
1998-11-30,22.5,22.62,21.5,21.63,326400.0
1998-12-01,21.63,24.81,21.38,24.5,1279200.0
1998-12-02,24.88,26.0,24.0,24.25,1305600.0
1998-12-03,24.19,24.69,22.0,22.13,592800.0
1998-12-04,22.75,22.75,21.75,22.19,292800.0
1998-12-07,23.0,25.13,22.88,24.13,2563200.0
