date,open,high,low,close,volume
1995-03-09,16.63,17.0,16.5,16.87,1402000.0
1995-03-10,17.25,18.0,16.87,17.63,1888000.0
1995-03-13,18.0,18.0,17.5,17.5,654600.0
1995-03-14,18.0,18.25,17.5,17.75,686400.0
1995-03-15,17.75,18.75,17.25,18.25,3320000.0
1995-03-16,18.75,19.0,17.75,17.75,600000.0
1995-03-17,17.75,18.25,17.75,17.75,1154400.0
1995-03-20,17.75,18.31,17.75,17.75,1152600.0
1995-03-21,18.13,18.5,17.87,17.87,2410200.0
1995-03-22,18.0,18.5,17.87,18.0,2316000.0
1995-03-23,18.25,18.25,17.87,18.13,1860600.0
1995-03-24,18.5,18.5,18.0,18.13,357000.0
1995-03-27,18.5,19.5,18.13,19.25,514800.0
1995-03-28,19.25,20.25,18.75,20.25,838200.0
1995-03-29,20.25,21.0,18.75,19.5,1090400.0
1995-03-30,19.5,20.5,19.0,20.0,724400.0
1995-03-31,20.5,21.0,19.75,20.5,369000.0
1995-04-03,21.0,22.75,20.75,22.0,2118600.0
1995-04-04,22.0,22.5,21.0,21.0,1164800.0
1995-04-05,21.0,22.0,21.0,21.88,852000.0
1995-04-06,21.88,21.88,21.5,21.5,885200.0
1995-04-07,21.88,21.88,20.88,21.5,498000.0
1995-04-10,20.88,21.62,20.88,21.62,142800.0
1995-04-11,21.62,21.75,21.0,21.75,56000.0
1995-04-12,21.25,21.75,21.25,21.25,1162000.0
1995-04-13,21.25,21.75,21.25,21.75,19800.0
1995-04-17,21.75,21.88,21.25,21.25,133800.0
1995-04-18,21.25,21.75,21.0,21.0,660600.0
1995-04-19,21.75,21.75,21.0,21.75,97200.0
1995-04-20,21.38,21.5,20.88,20.88,117000.0
1995-04-21,20.88,21.5,20.88,20.88,168600.0
1995-04-24,20.88,20.88,20.88,20.88,4400.0
1995-04-25,20.75,21.12,20.38,20.5,607600.0
1995-04-26,20.38,20.88,20.25,20.38,235600.0
1995-04-27,20.38,21.25,20.38,21.25,798800.0
1995-04-28,21.0,22.75,20.75,22.5,566400.0
1995-05-01,22.0,23.5,22.0,23.25,630400.0
1995-05-02,23.5,24.75,23.25,24.0,885200.0
1995-05-03,24.75,24.75,24.0,24.5,186800.0
1995-05-04,24.0,24.5,24.0,24.5,39600.0
1995-05-05,24.0,24.5,23.75,24.5,478400.0
1995-05-08,23.75,24.5,23.75,24.13,89600.0
1995-05-09,24.5,24.5,23.75,24.13,39600.0
1995-05-10,23.75,24.5,23.75,24.5,7600.0
1995-05-11,23.75,24.25,23.75,23.75,13800.0
1995-05-12,23.75,25.25,23.75,25.25,338800.0
1995-05-15,25.0,26.0,25.0,25.25,381200.0
1995-05-16,25.75,26.0,25.25,25.62,760800.0
1995-05-17,25.5,25.62,25.5,25.62,493600.0
1995-05-18,25.25,25.37,23.0,23.5,827600.0
1995-05-19,24.0,24.0,23.62,24.0,68400.0
1995-05-22,23.75,24.0,23.25,23.25,104800.0
1995-05-23,23.25,24.0,23.25,24.0,136800.0
1995-05-24,24.0,24.0,21.5,22.0,666600.0
1995-05-25,22.75,22.75,22.0,22.0,12000.0
