date,open,high,low,close,volume
2009-09-16,8.14,8.39,8.11,8.36,296595.0
2009-09-17,8.14,8.39,8.11,8.36,296595.0
2009-09-18,8.14,8.39,8.11,8.36,296595.0
2009-09-21,7.94,8.11,7.82,8.0,185915.0
2009-09-22,8.04,8.26,7.95,8.03,372177.0
2009-09-23,8.07,8.15,7.95,7.97,176050.0
2009-09-24,8.0,8.13,7.73,7.81,284140.0
2009-09-25,7.77,7.82,7.57,7.73,97781.0
2009-09-28,7.77,7.82,7.57,7.73,97781.0
2009-09-29,7.96,8.1,7.91,8.0,116438.0
2009-09-30,8.0,8.0,7.64,7.93,203195.0
2009-10-01,7.91,7.95,7.63,7.63,221755.0
2009-10-02,7.5,7.63,7.25,7.52,188142.0
2009-10-05,7.58,8.26,7.58,8.22,388748.0
2009-10-06,8.25,8.25,7.93,8.02,204439.0
2009-10-07,7.96,8.0,7.8,7.88,127393.0
2009-10-08,7.9,7.92,7.65,7.68,341485.0
2009-10-09,7.61,7.9,7.6,7.88,158462.0
2009-10-12,7.93,8.0,7.7,7.74,220387.0
2009-10-13,7.75,7.75,7.52,7.63,136888.0
2009-10-14,7.75,7.79,7.58,7.73,150338.0
2009-10-15,7.65,7.96,7.55,7.85,152709.0
2009-10-16,7.77,7.85,7.55,7.72,133282.0
2009-10-19,7.77,7.88,7.51,7.86,120875.0
2009-10-20,7.86,7.95,7.73,7.78,143161.0
2009-10-21,7.75,7.99,7.55,7.59,166717.0
2009-10-22,7.58,7.75,7.53,7.72,160144.0
2009-10-23,7.72,7.79,7.42,7.5,136760.0
2009-10-26,7.49,7.69,7.29,7.33,170613.0
2009-10-27,7.33,7.5,7.16,7.33,308831.0
2009-10-28,7.34,7.4,6.96,6.97,220620.0
2009-10-29,7.06,7.13,6.95,7.03,221923.0
2009-10-30,7.0,7.07,6.53,6.86,483115.0
2009-11-02,6.94,6.94,6.65,6.77,141756.0
2009-11-03,6.71,6.86,6.6,6.83,119988.0
2009-11-04,6.92,7.05,6.91,7.01,147077.0
2009-11-05,6.98,7.4,6.98,7.33,297728.0
2009-11-06,7.22,7.49,7.17,7.44,148258.0
2009-11-09,7.48,7.66,7.38,7.39,142182.0
2009-11-10,7.37,7.43,7.15,7.31,123071.0
2009-11-11,7.39,7.5,7.29,7.34,47910.0
2009-11-12,7.38,7.45,6.99,7.04,124241.0
2009-11-13,7.08,7.5,7.08,7.24,132664.0
2009-11-16,7.33,7.69,7.33,7.56,235458.0
2009-11-17,7.57,7.61,7.4,7.5,65761.0
