date,open,high,low,close,volume
2001-01-02,21.84,21.91,18.53,19.47,2239800.0
2001-01-03,19.41,20.5,19.25,20.18,4486800.0
2001-01-04,19.75,20.59,19.53,20.34,6689400.0
2001-01-05,20.38,20.5,17.62,17.62,8236000.0
2001-01-08,17.44,18.5,17.31,18.41,3447400.0
2001-01-09,18.75,19.5,18.53,19.03,2390000.0
2001-01-10,18.94,19.62,18.31,19.56,2788000.0
2001-01-11,17.5,18.06,15.0,17.72,17389200.0
2001-01-12,17.69,18.34,17.62,18.12,4597600.0
2001-01-16,18.0,19.12,17.91,18.72,10186600.0
2001-01-17,19.2,19.31,17.75,18.69,2126800.0
2001-01-18,18.73,20.12,18.66,19.59,2944000.0
2001-01-19,19.84,21.88,19.5,20.75,5705400.0
2001-01-22,21.12,21.97,19.81,20.25,3304800.0
2001-01-23,20.34,21.66,20.31,21.38,2960600.0
2001-01-24,21.59,22.38,21.0,21.12,6764400.0
2001-01-25,20.12,20.59,19.31,19.78,6611800.0
2001-01-26,19.44,19.78,18.09,19.12,5464600.0
2001-01-29,19.0,19.7,18.91,19.34,2758600.0
2001-01-30,19.31,20.75,19.06,20.0,4084600.0
2001-01-31,21.88,24.16,21.81,22.91,11994400.0
2001-02-01,23.19,23.38,22.47,22.78,3770200.0
2001-02-02,22.78,23.16,22.38,22.81,5668200.0
2001-02-05,22.5,23.56,22.34,23.22,2413400.0
2001-02-06,23.25,24.91,22.94,23.91,3254400.0
2001-02-07,23.53,25.0,23.25,23.94,2587600.0
2001-02-08,24.16,24.69,23.12,23.56,3369000.0
2001-02-09,23.48,23.91,22.25,23.75,6985600.0
2001-02-12,23.65,25.22,23.34,24.56,4661800.0
2001-02-13,24.72,26.12,24.66,24.81,3798400.0
2001-02-14,24.72,25.62,24.28,25.56,3152600.0
2001-02-15,25.75,26.94,24.62,24.88,6313600.0
2001-02-16,24.22,24.78,23.12,24.38,5754800.0
2001-02-20,24.62,24.72,22.94,23.16,3177000.0
2001-02-21,23.12,24.38,22.91,23.62,6483400.0
2001-02-22,24.03,27.28,23.94,26.47,11985000.0
2001-02-23,26.22,27.16,25.22,26.53,7129200.0
2001-02-26,26.33,27.25,25.75,25.91,4277200.0
2001-02-27,25.97,25.97,24.19,24.97,5073400.0
2001-02-28,24.84,26.41,24.25,25.0,3906800.0
2001-03-01,24.66,26.69,23.38,26.16,5686600.0
2001-03-02,25.22,26.56,25.0,25.91,5143800.0
2001-03-05,25.5,25.56,24.69,25.0,3578800.0
2001-03-06,25.23,25.81,24.91,25.62,2694000.0
2001-03-07,25.75,27.62,25.75,27.31,4362000.0
2001-03-08,26.69,26.94,26.16,26.41,4339200.0
2001-03-09,26.16,26.16,24.94,25.06,3109600.0
2001-03-12,24.84,26.81,24.12,24.97,4950800.0
2001-03-13,25.19,26.66,24.44,26.38,5085800.0
2001-03-14,24.88,27.5,24.84,26.31,4727400.0
2001-03-15,26.69,27.12,25.31,25.84,4956200.0
2001-03-16,25.75,25.88,22.78,23.69,11724400.0
2001-03-19,23.94,25.5,23.0,25.19,5075800.0
2001-03-20,25.5,26.66,24.03,24.16,6250000.0
2001-03-21,24.56,26.03,24.19,25.12,5991400.0
2001-03-22,24.81,26.12,24.28,25.5,6989800.0
2001-03-23,25.97,26.53,25.5,26.0,6195400.0
2001-03-26,26.38,26.81,25.62,25.88,4786200.0
2001-03-27,25.62,27.49,24.94,27.38,6165600.0
2001-03-28,26.72,28.41,26.44,27.94,13195000.0
2001-03-29,27.28,28.25,26.94,28.06,7892200.0
2001-03-30,27.56,27.8,26.97,27.12,4937800.0
2001-04-02,27.0,27.34,26.47,26.72,5428800.0
2001-04-03,26.44,26.84,25.38,26.53,7823400.0
2001-04-04,25.0,25.66,22.66,24.19,27585200.0
2001-04-05,24.91,25.5,23.22,25.37,11926000.0
2001-04-06,24.84,26.84,24.38,26.41,11520600.0
2001-04-09,26.37,26.8,25.41,26.74,6374000.0
2001-04-10,26.8,28.13,26.04,27.86,7837400.0
2001-04-11,28.26,28.64,27.14,28.0,8357400.0
2001-04-12,27.0,28.95,26.92,28.88,6715600.0
2001-04-16,28.72,29.24,28.0,28.83,8236800.0
2001-04-17,28.54,29.17,27.25,27.88,6298400.0
2001-04-18,28.64,30.85,27.88,29.5,12628600.0
2001-04-19,29.43,30.12,28.24,30.08,7460200.0
2001-04-20,29.7,29.7,27.38,28.39,8397600.0
2001-04-23,27.85,28.7,27.47,27.82,4661000.0
2001-04-24,27.95,28.62,27.25,27.76,5348000.0
2001-04-25,27.8,28.58,27.21,28.52,4498200.0
2001-04-26,28.61,28.75,27.41,27.99,4017800.0
2001-04-27,28.16,29.0,28.08,28.49,5346600.0
2001-04-30,28.6,28.78,27.9,28.31,4344600.0
2001-05-01,28.3,31.98,28.25,31.09,6717000.0
2001-05-02,31.0,31.08,28.62,29.0,7570200.0
2001-05-03,28.66,28.82,26.96,27.34,5751200.0
2001-05-04,26.91,29.68,26.58,29.65,6992000.0
2001-05-07,29.05,29.5,28.55,29.06,3962000.0
2001-05-08,29.04,29.32,27.5,27.81,4906000.0
2001-05-09,27.8,28.58,27.38,28.03,5320000.0
2001-05-10,28.75,28.84,27.0,27.26,3726600.0
2001-05-11,27.46,27.97,25.62,26.62,8411400.0
2001-05-14,26.74,27.47,26.03,27.38,4217200.0
2001-05-15,27.28,28.95,27.27,27.86,6283600.0
2001-05-16,27.78,30.25,27.78,30.09,9976200.0
2001-05-17,29.95,30.12,28.68,29.4,6787600.0
2001-05-18,29.62,29.81,28.72,29.63,4724600.0
2001-05-21,29.75,31.01,29.47,30.97,7199000.0
2001-05-22,31.05,31.88,30.09,30.88,6044200.0
2001-05-23,30.82,30.88,29.75,29.88,6398000.0
2001-05-24,29.91,31.68,29.8,31.53,4629600.0
2001-05-25,31.53,31.53,30.22,30.9,4152800.0
2001-05-29,30.9,30.9,29.07,29.36,9310400.0
2001-05-30,29.2,29.88,28.55,28.99,5899200.0
2001-05-31,29.08,30.09,29.0,29.45,7185200.0
2001-06-01,29.5,30.5,29.5,30.15,4537800.0
2001-06-04,30.36,30.45,29.68,29.95,2696200.0
2001-06-05,29.93,31.38,29.92,31.18,5495400.0
2001-06-06,30.78,30.96,29.97,30.68,6804600.0
2001-06-07,30.68,31.0,30.25,30.82,2767400.0
2001-06-08,30.74,30.74,29.12,29.2,3185600.0
2001-06-11,29.26,29.72,28.38,28.64,3981000.0
2001-06-12,28.47,30.11,28.23,29.5,4246600.0
2001-06-13,29.49,29.84,28.6,28.79,3221000.0
2001-06-14,28.66,28.7,27.9,27.92,5448000.0
2001-06-15,27.62,29.38,27.42,28.47,5091800.0
2001-06-18,29.02,29.13,28.05,28.32,3153400.0
2001-06-19,28.68,29.49,28.5,29.0,3878400.0
2001-06-20,28.86,30.75,28.82,30.54,4997600.0
2001-06-21,30.5,30.88,28.55,28.89,8678200.0
2001-06-22,28.88,29.0,27.58,27.61,4914400.0
2001-06-25,27.74,27.8,26.75,26.82,3570000.0
2001-06-26,26.75,27.18,26.06,26.95,5912600.0
2001-06-27,27.13,28.3,27.0,27.55,3633600.0
2001-06-28,27.72,28.7,27.66,28.24,4677800.0
2001-06-29,28.23,29.28,28.22,28.95,3427400.0
2001-07-02,28.68,28.8,26.94,27.12,6950800.0
2001-07-03,26.88,27.11,25.38,26.72,8775400.0
2001-07-05,26.74,27.42,26.42,26.5,2065200.0
2001-07-06,26.55,27.35,26.25,27.19,5197400.0
2001-07-09,27.02,27.25,25.8,26.49,5654000.0
2001-07-10,26.8,26.82,25.28,25.5,7532200.0
2001-07-11,25.54,27.42,25.48,26.96,5416200.0
2001-07-12,27.39,29.53,27.28,29.05,7179200.0
2001-07-13,28.79,29.75,28.08,29.47,4356000.0
2001-07-16,29.4,29.8,28.51,28.72,4708800.0
2001-07-17,28.78,29.75,27.9,28.34,5030600.0
2001-07-18,28.43,28.87,27.53,27.97,2503800.0
2001-07-19,28.5,29.48,27.88,28.08,2778600.0
2001-07-20,27.95,28.31,27.2,27.29,7360600.0
2001-07-23,27.2,27.49,25.95,26.55,4905600.0
2001-07-24,26.72,27.14,26.13,26.56,5707400.0
2001-07-25,26.66,27.99,26.55,27.86,5170200.0
2001-07-26,27.9,29.75,27.03,29.16,5023400.0
2001-07-27,29.0,30.54,28.95,30.49,8174000.0
2001-07-30,30.28,30.4,29.65,30.02,3850800.0
2001-07-31,29.85,29.95,28.42,28.46,10558000.0
2001-08-01,28.84,30.05,28.75,29.93,6216800.0
2001-08-02,29.97,30.03,29.28,29.85,3294000.0
2001-08-03,29.72,29.72,29.01,29.46,2016000.0
2001-08-06,29.42,29.61,28.89,29.41,2617200.0
2001-08-07,29.54,29.56,28.87,29.36,2355400.0
2001-08-08,29.28,29.89,27.84,28.14,3005800.0
2001-08-09,28.18,29.5,27.85,29.03,4468800.0
2001-08-10,28.95,29.03,28.19,28.95,2509400.0
2001-08-13,28.95,29.62,28.59,29.39,2690800.0
2001-08-14,28.85,29.75,28.8,29.57,3747400.0
2001-08-15,29.58,29.7,29.26,29.3,3106000.0
2001-08-16,29.14,29.5,27.45,28.22,5914600.0
2001-08-17,28.07,28.46,27.54,28.11,2870000.0
2001-08-20,28.18,28.94,27.88,28.78,2334800.0
2001-08-21,28.8,29.5,28.16,28.21,3549200.0
2001-08-22,28.32,28.85,27.74,28.68,2558400.0
2001-08-23,28.6,29.49,28.28,28.98,4297600.0
2001-08-24,29.0,29.45,28.88,29.09,4099600.0
2001-08-27,29.0,29.31,28.69,29.0,3251400.0
2001-08-28,29.14,29.55,28.74,28.78,2206600.0
2001-08-29,29.05,29.12,28.53,28.84,1639200.0
2001-08-30,28.7,29.0,27.68,28.18,3111200.0
2001-08-31,28.02,28.99,28.01,28.86,3231400.0
2001-09-04,28.86,30.2,28.44,28.45,5169600.0
2001-09-05,28.62,28.82,27.62,27.8,5516200.0
2001-09-06,27.74,28.49,26.95,27.74,5943000.0
2001-09-07,27.5,28.46,27.12,28.07,4602000.0
2001-09-10,27.9,27.94,26.34,27.14,5845800.0
2001-09-17,26.42,26.42,23.84,24.62,7754400.0
2001-09-18,24.56,25.24,24.04,24.34,5759200.0
2001-09-19,24.33,24.35,20.5,22.82,21802000.0
2001-09-20,22.33,23.86,21.64,23.15,11040800.0
2001-09-21,21.72,24.5,21.6,24.35,13907200.0
2001-09-24,24.77,25.0,23.6,23.92,9470400.0
2001-09-25,23.88,23.99,21.8,22.22,14551800.0
2001-09-26,22.68,23.34,22.38,22.73,8750800.0
2001-09-27,22.74,22.74,21.0,22.52,9822400.0
2001-09-28,22.5,23.31,22.22,22.84,8813600.0
2001-10-01,22.57,23.22,21.26,21.39,6734400.0
2001-10-02,21.38,22.03,20.6,21.47,9322200.0
2001-10-03,21.25,23.95,20.8,23.04,8610800.0
2001-10-04,23.3,24.95,22.84,24.14,8204000.0
2001-10-05,24.0,24.05,22.76,23.27,6102400.0
2001-10-08,23.24,24.66,22.78,23.66,5750800.0
2001-10-09,24.36,25.92,23.78,25.5,15509000.0
2001-10-10,25.52,26.1,25.12,26.0,7191200.0
2001-10-11,26.23,28.01,26.2,27.98,8654400.0
2001-10-12,27.82,28.21,26.18,28.1,6213600.0
2001-10-15,27.54,27.85,26.68,27.21,5821400.0
2001-10-16,27.62,27.67,26.75,27.14,6454400.0
2001-10-17,27.58,27.58,26.2,26.35,6264600.0
2001-10-18,26.54,27.46,26.52,27.14,5776000.0
2001-10-19,27.06,27.12,25.92,26.7,5170000.0
2001-10-22,26.73,27.79,26.4,27.62,5590000.0
2001-10-23,27.68,28.62,26.66,27.47,8617200.0
2001-10-24,27.44,28.28,27.26,27.42,4689200.0
2001-10-25,27.0,29.25,26.95,28.78,6353000.0
2001-10-26,28.15,28.65,27.02,27.28,6424200.0
