date,open,high,low,close,volume
1998-09-24,53.5,54.25,44.25,47.38,218289600.0
1998-09-25,45.5,46.13,41.13,44.88,51033600.0
1998-09-28,47.5,50.88,46.0,48.25,37783200.0
1998-09-29,49.38,50.25,47.75,48.88,16536000.0
1998-09-30,47.19,48.0,43.25,45.06,18566400.0
1998-10-01,42.63,43.25,40.0,40.0,18700800.0
1998-10-02,40.5,41.75,35.0,40.0,19704000.0
1998-10-05,39.13,39.13,34.88,35.88,14239200.0
1998-10-06,38.25,38.25,32.0,36.5,16948800.0
1998-10-07,35.0,35.63,30.87,30.87,14755200.0
1998-10-08,27.87,29.25,25.25,29.0,24062400.0
1998-10-09,30.75,32.25,29.5,30.75,16212000.0
1998-10-12,32.0,32.0,31.5,31.5,11868000.0
1998-10-13,31.56,31.75,29.25,29.37,6494400.0
1998-10-14,29.12,32.13,29.12,30.12,13020000.0
1998-10-15,30.12,32.75,30.12,32.63,12266400.0
1998-10-16,33.38,36.5,33.0,36.0,18242400.0
1998-10-19,37.13,46.0,37.0,45.38,32892000.0
1998-10-20,49.0,51.88,45.25,46.5,45998400.0
1998-10-21,49.0,51.5,47.25,50.56,27652800.0
1998-10-22,51.75,53.5,49.25,51.56,22442400.0
1998-10-23,51.63,52.25,49.5,50.13,13598400.0
1998-10-26,60.0,73.5,58.75,73.37,164133600.0
1998-10-27,81.5,90.81,80.25,82.5,240333600.0
1998-10-28,78.0,84.75,76.5,80.0,107136000.0
1998-10-29,81.25,82.94,79.75,79.87,34154400.0
1998-10-30,80.87,84.37,80.06,83.12,39960000.0
1998-11-02,86.87,87.75,83.75,84.0,52065600.0
1998-11-03,85.0,85.5,83.0,84.0,19351200.0
1998-11-04,85.5,85.75,81.69,82.69,18784800.0
1998-11-05,81.0,83.75,78.75,81.19,27813600.0
1998-11-06,80.37,84.44,80.25,84.0,20608800.0
1998-11-09,84.62,103.0,84.5,103.0,85166400.0
1998-11-10,112.69,140.0,111.12,130.88,243139200.0
1998-11-11,127.25,135.25,114.12,115.94,129156000.0
1998-11-12,113.87,132.88,112.5,126.0,94149600.0
1998-11-13,130.0,132.94,119.75,123.94,57108000.0
1998-11-16,129.5,130.0,122.19,127.62,34684800.0
1998-11-17,127.5,133.0,124.0,128.63,34324800.0
1998-11-18,130.5,148.5,125.37,147.5,84676800.0
1998-11-19,151.0,155.13,141.81,143.75,57228000.0
1998-11-20,150.0,150.0,140.38,147.0,28288800.0
1998-11-23,153.0,195.5,151.69,193.0,68400000.0
1998-11-24,189.0,234.13,178.0,196.81,144129600.0
1998-11-25,201.0,214.25,195.5,204.5,82300800.0
1998-11-27,211.0,220.13,207.0,218.0,28044000.0
1998-11-30,224.44,225.0,188.0,197.63,57141600.0
1998-12-01,187.06,209.0,182.0,207.25,62236800.0
1998-12-02,206.0,214.0,198.0,203.0,30333600.0
1998-12-03,198.25,208.25,185.0,187.0,32184000.0
1998-12-04,195.0,197.97,160.25,182.5,58202400.0
1998-12-07,183.0,183.0,167.0,174.25,48561600.0
1998-12-08,168.0,182.0,166.5,176.88,50870400.0
1998-12-09,177.63,194.5,172.75,179.53,50265600.0
1998-12-10,184.0,190.63,180.13,186.13,47990400.0
1998-12-11,182.25,193.25,182.06,192.0,25360800.0
1998-12-14,185.88,193.0,185.5,188.5,19648800.0
1998-12-15,192.5,194.38,189.25,194.0,17013600.0
1998-12-16,200.13,226.0,200.0,223.5,51873600.0
1998-12-17,218.0,243.5,215.5,238.31,44750400.0
1998-12-18,250.0,262.25,245.0,252.25,35282400.0
1998-12-21,258.5,300.5,257.0,296.38,55624800.0
1998-12-22,306.13,311.06,282.25,301.0,44604000.0
1998-12-23,308.13,311.25,293.5,298.0,17971200.0
1998-12-24,290.0,297.13,282.0,286.0,11032800.0
1998-12-28,287.5,302.0,276.0,285.63,25576800.0
1998-12-29,291.0,291.0,270.0,273.94,14196000.0
1998-12-30,269.38,269.88,229.38,252.88,41870400.0
1998-12-31,243.75,258.06,241.0,241.25,15758400.0
1999-01-04,236.38,251.0,232.0,240.0,18808800.0
1999-01-05,228.06,232.5,219.75,224.0,31677600.0
1999-01-06,234.0,285.0,233.0,283.0,45842400.0
1999-01-07,272.13,315.0,270.13,298.0,49852800.0
1999-01-08,315.0,321.0,287.06,292.38,37648800.0
1999-01-11,304.06,305.0,278.0,291.5,18511200.0
1999-01-12,280.0,292.5,240.0,240.5,26625600.0
1999-01-13,217.0,236.0,212.38,215.5,32654400.0
1999-01-14,224.5,241.75,219.13,225.31,29731200.0
1999-01-15,227.5,242.0,222.0,223.38,18849600.0
1999-01-19,247.5,250.0,213.5,229.88,15470400.0
1999-01-20,229.63,230.63,210.0,213.75,22012800.0
