date,open,high,low,close,volume
2013-07-25,37.26,38.24,37.1,37.75,221163.0
2013-07-26,37.5,39.14,37.15,37.47,243326.0
2013-07-29,37.5,37.82,36.95,37.67,81085.0
2013-07-30,37.77,37.89,36.78,37.83,136985.0
2013-07-31,37.96,39.3,37.3,38.18,150027.0
2013-08-01,39.28,43.4,39.28,42.61,973193.0
2013-08-02,42.44,43.52,41.6,42.65,509618.0
2013-08-05,42.57,44.11,42.41,43.1,417745.0
2013-08-06,42.98,43.09,40.92,42.2,307353.0
2013-08-07,43.77,43.84,41.32,42.24,421558.0
2013-08-08,42.28,43.55,41.8,42.09,324695.0
2013-08-09,42.1,42.69,41.93,42.24,218956.0
2013-08-12,42.02,42.5,41.0,42.08,250080.0
2013-08-13,42.05,43.48,41.69,42.09,365842.0
2013-08-14,41.9,42.03,40.33,40.45,972087.0
2013-08-15,40.25,40.7,39.5,39.79,2667437.0
2013-08-16,39.88,40.97,39.5,40.5,546326.0
2013-08-19,40.5,40.6,39.34,39.35,193210.0
2013-08-20,39.27,39.72,38.45,39.28,253989.0
2013-08-21,39.2,40.31,38.1,39.22,218450.0
2013-08-22,39.32,39.92,38.86,39.35,231817.0
2013-08-23,39.51,40.45,38.79,40.12,690570.0
2013-08-26,40.33,41.25,39.55,40.0,352150.0
2013-08-27,39.57,40.91,39.17,39.89,276177.0
2013-08-28,40.14,41.75,40.1,41.5,389479.0
2013-08-29,41.28,41.46,40.14,40.44,473324.0
2013-08-30,40.5,41.01,39.42,40.24,371899.0
2013-09-03,40.81,41.81,40.81,41.66,337982.0
2013-09-04,42.71,44.38,42.06,43.35,1077158.0
2013-09-05,43.63,44.3,43.27,43.62,263627.0
2013-09-06,43.94,43.99,42.92,43.42,403843.0
2013-09-09,43.6,44.49,43.51,44.32,284634.0
2013-09-10,44.51,45.0,43.73,44.38,268720.0
2013-09-11,44.38,45.8,44.15,45.53,322727.0
2013-09-12,45.68,46.9,45.3,46.63,450551.0
2013-09-13,46.82,47.22,45.88,46.0,590418.0
2013-09-16,46.47,46.51,44.38,44.82,491797.0
2013-09-17,44.85,45.45,44.07,44.59,582224.0
2013-09-18,45.05,45.38,43.74,44.67,440568.0
2013-09-19,44.7,45.09,43.36,44.02,251681.0
2013-09-20,43.97,44.51,41.88,42.78,1107454.0
2013-09-23,42.51,43.75,42.32,43.55,558776.0
2013-09-24,44.25,44.64,43.5,43.63,443264.0
2013-09-25,43.84,44.12,43.35,43.76,244512.0
2013-09-26,42.81,44.05,42.81,43.98,330143.0
2013-09-27,43.56,43.76,42.86,43.15,281678.0
2013-09-30,42.47,43.18,42.04,42.64,305831.0
2013-10-01,42.61,43.79,42.6,43.42,329218.0
2013-10-02,43.1,43.86,42.18,43.22,485531.0
2013-10-03,43.25,44.08,42.25,43.83,356827.0
2013-10-04,43.82,47.36,43.68,46.01,643493.0
2013-10-07,45.45,46.71,45.15,45.76,353717.0
2013-10-08,45.74,45.97,43.45,44.56,825563.0
2013-10-09,44.67,44.93,43.02,43.38,427260.0
2013-10-10,43.94,44.92,43.47,43.68,348021.0
2013-10-11,43.42,45.31,43.22,44.7,472922.0
2013-10-14,44.5,46.65,43.92,46.52,471990.0
2013-10-15,46.47,48.32,45.47,46.85,618153.0
2013-10-16,47.18,50.47,47.18,49.52,794330.0
2013-10-17,49.45,50.38,48.55,50.18,459417.0
2013-10-18,50.64,52.39,50.25,52.18,798046.0
2013-10-21,51.79,54.17,51.05,52.75,860860.0
2013-10-22,53.37,53.96,50.17,50.32,638027.0
2013-10-23,50.05,50.06,46.28,49.1,1767464.0
2013-10-24,49.44,54.06,49.12,54.0,1301338.0
2013-10-25,54.73,56.16,53.01,53.32,769360.0
2013-10-28,53.73,54.81,52.76,53.52,488303.0
2013-10-29,54.2,54.79,52.94,54.07,487675.0
2013-10-30,54.0,54.67,53.25,53.71,730544.0
2013-10-31,53.5,53.5,49.51,51.65,1502549.0
2013-11-01,51.42,51.95,48.19,50.64,905107.0
2013-11-04,50.92,53.48,49.88,53.16,1059956.0
2013-11-05,58.53,58.7,53.6,55.14,1737531.0
2013-11-06,55.01,55.89,52.32,53.46,974009.0
2013-11-07,55.07,56.0,50.5,54.0,4110600.0
2013-11-08,53.91,54.47,53.07,53.47,1025103.0
2013-11-11,53.7,53.89,53.09,53.29,572547.0
2013-11-12,53.05,53.42,51.76,52.5,451552.0
2013-11-13,52.54,53.7,52.09,53.15,1437326.0
2013-11-14,52.83,53.77,51.15,53.12,492011.0
2013-11-15,53.25,53.62,52.64,53.53,243408.0
2013-11-18,53.66,53.75,49.39,50.21,882447.0
2013-11-19,50.38,50.7,48.5,48.82,909275.0
2013-11-20,49.31,50.41,48.42,48.76,509550.0
2013-11-21,48.98,52.27,48.98,51.74,684927.0
2013-11-22,51.53,52.65,50.89,51.53,478124.0
2013-11-25,51.54,51.81,48.91,50.88,599272.0
2013-11-26,51.0,52.52,50.76,51.61,562998.0
2013-11-27,51.45,52.08,49.32,50.06,639056.0
2013-11-29,49.63,50.56,48.64,49.74,356764.0
2013-12-02,49.92,51.11,49.05,50.37,526739.0
2013-12-03,50.45,52.17,49.4,50.23,928495.0
2013-12-04,50.0,51.33,49.55,50.45,560325.0
2013-12-05,50.29,51.22,48.76,49.2,663533.0
2013-12-06,50.53,50.81,45.83,46.18,1471671.0
2013-12-09,46.29,46.81,44.21,45.07,1388276.0
2013-12-10,45.21,47.49,45.15,46.0,752270.0
2013-12-11,45.93,46.21,45.0,45.11,742979.0
2013-12-12,45.42,46.37,44.78,44.96,384397.0
2013-12-13,45.13,45.44,43.47,44.73,669171.0
2013-12-16,45.16,46.19,44.66,45.49,483635.0
2013-12-17,45.22,46.63,44.27,46.11,587619.0
2013-12-18,46.02,47.92,45.38,46.34,748786.0
2013-12-19,46.87,49.9,45.82,49.8,1046644.0
2013-12-20,49.99,51.28,49.49,50.79,1404163.0
2013-12-23,50.52,52.29,50.1,52.1,877269.0
2013-12-24,52.02,52.38,51.67,52.02,300155.0
2013-12-26,52.16,53.17,51.6,52.73,487376.0
2013-12-27,52.8,53.83,52.04,53.34,377118.0
