date,open,high,low,close,volume
1992-01-22,17.25,21.75,17.25,20.25,21003200.0
1992-01-23,21.0,22.75,20.25,22.0,4796800.0
1992-01-24,22.25,23.25,21.5,22.25,1505600.0
1992-01-27,23.25,24.0,22.25,24.0,1339200.0
1992-01-28,23.75,24.25,22.75,23.5,2489600.0
1992-01-29,22.75,23.5,21.75,21.75,1654400.0
1992-01-30,22.0,22.25,19.5,19.5,1356800.0
1992-01-31,20.0,20.75,19.5,20.75,312000.0
1992-02-03,21.0,21.0,20.25,20.5,289600.0
1992-02-04,20.75,21.75,20.75,21.75,312000.0
1992-02-05,21.75,21.75,21.25,21.25,144000.0
1992-02-06,21.75,22.0,21.25,22.0,688000.0
1992-02-07,21.5,22.0,20.75,20.75,569600.0
1992-02-10,20.75,21.5,19.5,19.75,1768000.0
1992-02-11,19.75,19.75,18.0,18.0,1233600.0
1992-02-12,18.25,18.25,17.5,18.25,492800.0
1992-02-13,18.25,18.25,17.25,17.75,404800.0
1992-02-14,18.0,18.0,17.0,17.13,1718400.0
1992-02-18,17.5,17.5,15.25,15.75,380800.0
1992-02-19,15.25,16.75,15.25,16.25,536000.0
1992-02-20,18.0,19.25,17.5,18.25,598400.0
1992-02-21,18.25,19.0,17.75,19.0,233600.0
1992-02-24,19.0,20.5,18.75,19.25,390400.0
1992-02-25,19.75,19.75,17.5,17.5,390400.0
1992-02-26,17.25,18.0,17.25,17.5,208000.0
1992-02-27,18.0,18.0,17.25,17.75,25600.0
1992-02-28,17.5,18.0,17.25,17.75,28800.0
1992-03-02,18.0,18.0,16.0,16.25,646400.0
1992-03-03,16.5,17.25,16.0,17.25,67200.0
1992-03-04,17.25,18.0,16.5,17.5,57600.0
1992-03-05,17.25,18.0,17.0,17.0,57600.0
1992-03-06,16.75,17.5,16.0,16.5,217600.0
1992-03-09,16.5,17.75,16.0,17.5,134400.0
1992-03-10,17.0,19.5,17.0,18.75,192000.0
1992-03-11,19.25,19.25,17.75,17.75,128000.0
1992-03-12,17.38,17.38,16.5,17.25,694400.0
1992-03-13,16.75,17.25,16.75,17.0,217600.0
1992-03-16,17.5,17.5,16.75,16.75,104000.0
1992-03-17,16.75,17.5,16.75,16.75,49600.0
1992-03-18,17.5,17.5,16.63,16.88,78400.0
1992-03-19,18.25,19.25,17.25,19.25,430400.0
1992-03-20,19.25,19.25,16.88,17.0,360000.0
1992-03-23,17.5,17.5,16.75,17.25,76800.0
1992-03-24,18.0,18.5,16.5,17.0,337600.0
1992-03-25,17.25,17.25,16.25,17.0,120000.0
1992-03-26,17.0,17.0,16.25,17.0,19200.0
1992-03-27,16.25,16.75,14.5,15.25,486400.0
1992-03-30,15.0,16.25,15.0,16.25,403200.0
1992-03-31,16.25,17.75,15.75,16.5,1179200.0
1992-04-01,16.0,16.5,15.5,15.63,476800.0
1992-04-02,15.5,16.25,15.0,15.0,400000.0
1992-04-03,14.5,15.25,14.5,15.25,840000.0
1992-04-06,15.25,15.5,14.75,15.5,483200.0
1992-04-07,15.0,15.5,13.0,13.0,307200.0
1992-04-08,13.0,13.25,11.25,13.25,515200.0
1992-04-09,13.75,14.0,12.75,13.75,148800.0
1992-04-10,14.0,14.0,13.0,13.5,379200.0
1992-04-13,13.5,13.5,12.5,12.5,60800.0
1992-04-14,13.5,13.5,12.5,12.5,67200.0
1992-04-15,13.5,13.5,12.5,12.5,244800.0
1992-04-16,13.5,13.5,11.0,11.75,276800.0
