date,open,high,low,close,volume
2007-03-19,443.25,448.5,440.63,447.23,5200733.0
2007-03-20,445.79,447.6,443.6,445.28,3422340.0
2007-03-21,445.3,456.57,445.21,456.55,5801900.0
2007-03-22,455.61,462.17,452.53,462.04,5727728.0
2007-03-23,461.43,463.39,457.08,461.83,4114854.0
2007-03-26,460.55,465.0,455.62,465.0,4711009.0
2007-03-27,463.55,465.23,460.34,463.62,3742166.0
2007-03-28,461.87,465.44,460.15,461.88,4641156.0
2007-03-29,464.55,466.0,455.0,460.92,3989119.0
2007-03-30,462.1,463.4,456.14,458.16,3380752.0
2007-04-02,457.76,458.53,452.12,458.53,3448632.0
2007-04-03,464.16,474.25,464.0,472.6,6518088.0
2007-04-04,472.14,473.0,469.58,471.02,3779646.0
2007-04-05,471.3,472.09,469.62,471.51,2716305.0
2007-04-09,472.98,473.0,465.59,468.21,3063964.0
2007-04-10,467.09,470.79,465.16,466.5,2979518.0
2007-04-11,466.06,469.4,462.61,464.53,3824385.0
2007-04-12,464.0,468.0,462.24,467.39,2711803.0
2007-04-13,468.45,468.77,463.36,466.29,2800330.0
2007-04-16,468.45,476.99,468.15,474.27,5080883.0
2007-04-17,473.8,476.39,471.6,472.8,3216071.0
2007-04-18,471.26,479.9,469.53,476.01,5672972.0
2007-04-19,474.5,481.95,469.59,471.65,11225221.0
2007-04-20,490.52,492.5,482.02,482.48,12224690.0
2007-04-23,480.1,485.0,478.26,479.08,5679371.0
2007-04-24,478.61,479.98,475.55,477.53,3699323.0
2007-04-25,480.0,481.37,476.11,477.99,3972723.0
2007-04-26,478.1,484.45,477.11,481.18,4132037.0
2007-04-27,480.07,482.4,478.33,479.01,2927857.0
2007-04-30,479.15,481.35,471.38,471.38,3645852.0
2007-05-01,472.19,472.81,464.17,469.0,3658854.0
2007-05-02,468.65,471.08,465.73,465.78,3080494.0
2007-05-03,466.22,474.07,465.29,473.23,3596694.0
2007-05-04,470.12,474.84,465.88,471.12,3951998.0
2007-05-07,472.14,472.82,466.47,467.27,3022311.0
2007-05-08,466.13,468.17,464.73,466.81,2908622.0
2007-05-09,466.15,471.73,463.88,469.25,3892236.0
2007-05-10,467.04,469.49,461.02,461.47,3691513.0
