date,open,high,low,close,volume
2001-01-02,11.25,11.75,10.94,11.12,301800.0
2001-01-03,11.12,12.38,10.78,12.31,368600.0
2001-01-04,12.22,12.25,10.94,11.12,506400.0
2001-01-05,11.06,11.19,10.56,10.59,618600.0
2001-01-08,10.59,10.88,10.53,10.62,403000.0
2001-01-09,10.69,11.41,10.69,10.84,234200.0
2001-01-10,10.81,11.5,10.8,11.38,471000.0
2001-01-11,11.25,11.66,11.19,11.32,250800.0
2001-01-12,11.22,11.75,11.03,11.5,207400.0
2001-01-16,11.62,12.31,11.23,11.91,536000.0
2001-01-17,11.88,12.31,11.53,11.53,218600.0
2001-01-18,11.54,12.03,11.31,11.84,128800.0
2001-01-19,11.72,12.75,11.69,12.44,731000.0
2001-01-22,12.47,12.75,12.0,12.03,260600.0
2001-01-23,12.0,12.25,11.84,12.25,255800.0
2001-01-24,12.12,12.5,11.16,11.22,581000.0
2001-01-25,11.38,11.47,11.19,11.38,336400.0
2001-01-26,11.41,11.5,10.25,10.59,1187600.0
2001-01-29,10.81,11.0,10.19,10.88,462400.0
2001-01-30,10.82,11.25,10.81,11.19,338800.0
2001-01-31,11.31,11.38,10.97,11.09,349600.0
2001-02-01,11.0,11.5,10.97,11.41,358400.0
2001-02-02,11.41,11.5,11.12,11.25,451400.0
2001-02-05,11.25,11.25,10.88,11.09,383200.0
2001-02-06,11.19,11.28,10.88,11.03,361000.0
2001-02-07,11.0,11.38,11.0,11.34,720800.0
2001-02-08,11.31,11.47,11.25,11.41,472600.0
2001-02-09,11.34,11.44,11.31,11.41,874000.0
2001-02-12,11.3,11.56,11.28,11.38,279200.0
2001-02-13,11.56,12.09,11.38,11.94,811400.0
2001-02-14,11.97,11.97,11.66,11.78,492400.0
2001-02-15,11.75,12.09,11.75,12.0,476600.0
2001-02-16,11.94,11.94,11.81,11.84,348600.0
2001-02-20,12.04,12.28,12.03,12.25,410800.0
2001-02-21,12.25,12.25,11.81,11.91,509200.0
2001-02-22,11.84,11.94,11.5,11.5,612000.0
2001-02-23,11.44,11.78,11.25,11.62,657600.0
2001-02-26,11.66,12.09,11.48,12.03,330600.0
2001-02-27,12.01,12.03,11.88,11.91,228400.0
2001-02-28,12.0,12.0,11.41,11.78,253200.0
2001-03-01,11.62,12.0,11.03,11.96,564800.0
2001-03-02,11.62,12.06,11.56,12.0,345000.0
2001-03-05,12.0,12.03,11.81,11.91,267000.0
2001-03-06,11.91,12.03,11.88,12.03,196600.0
2001-03-07,12.03,12.09,11.78,12.03,175000.0
2001-03-08,11.97,12.06,11.34,11.5,663000.0
2001-03-09,11.46,11.62,11.19,11.31,85800.0
2001-03-12,11.38,11.56,10.84,11.12,729400.0
2001-03-13,11.09,11.28,11.06,11.12,289800.0
2001-03-14,11.06,11.34,10.88,11.0,218400.0
2001-03-15,10.92,11.44,10.82,10.88,441200.0
2001-03-16,10.84,11.03,10.81,10.94,686400.0
2001-03-19,10.88,11.03,10.34,10.66,1123400.0
2001-03-20,10.56,10.94,10.5,10.75,498200.0
2001-03-21,10.56,10.84,10.19,10.25,1070600.0
2001-03-22,9.88,10.19,8.56,10.03,2357400.0
2001-03-23,10.26,10.78,10.26,10.62,579800.0
2001-03-26,10.67,11.41,10.66,11.03,288000.0
2001-03-27,11.0,11.03,10.41,10.66,158600.0
2001-03-28,10.62,10.62,9.94,10.0,317000.0
2001-03-29,10.03,10.88,10.03,10.47,223400.0
2001-03-30,10.56,11.12,10.12,10.97,357600.0
2001-04-02,10.88,10.91,9.59,9.72,571000.0
2001-04-03,9.68,9.97,9.56,9.56,379800.0
2001-04-04,9.56,10.12,9.56,10.09,182000.0
2001-04-05,10.12,10.81,10.06,10.78,575600.0
2001-04-06,10.63,10.81,10.31,10.5,597600.0
2001-04-09,10.47,10.65,10.47,10.6,182000.0
2001-04-10,10.67,10.96,10.65,10.82,381000.0
2001-04-11,10.75,10.8,10.28,10.3,334400.0
2001-04-12,10.42,11.05,10.42,11.03,539800.0
2001-04-16,10.78,11.7,10.64,11.55,1007600.0
2001-04-17,11.28,12.1,11.24,12.1,1134400.0
2001-04-18,12.08,12.78,12.0,12.77,1241400.0
2001-04-19,12.74,12.74,12.4,12.51,561400.0
2001-04-20,12.47,12.55,12.26,12.5,730000.0
2001-04-23,12.36,12.45,12.28,12.45,167200.0
2001-04-24,12.38,12.38,12.2,12.3,342200.0
2001-04-25,12.28,13.0,12.28,12.9,676800.0
2001-04-26,12.86,13.4,12.8,13.28,728400.0
2001-04-27,13.28,13.58,13.2,13.43,1138000.0
2001-04-30,13.49,13.87,13.49,13.55,517000.0
2001-05-01,13.5,13.58,12.82,13.5,874800.0
2001-05-02,13.42,13.65,13.11,13.62,397800.0
2001-05-03,13.61,13.61,13.03,13.37,376400.0
2001-05-04,13.0,13.68,12.96,13.5,274800.0
2001-05-07,13.51,13.65,13.2,13.28,917400.0
2001-05-08,13.28,13.6,13.28,13.58,625200.0
2001-05-09,13.42,13.85,13.14,13.47,349800.0
2001-05-10,13.6,13.75,13.22,13.23,243600.0
2001-05-11,13.38,13.5,13.16,13.16,444400.0
2001-05-14,13.07,13.22,12.99,12.99,746400.0
2001-05-15,13.19,13.74,12.99,13.72,459000.0
2001-05-16,13.28,14.29,12.93,13.91,635600.0
2001-05-17,13.83,14.34,13.8,14.08,469000.0
2001-05-18,14.04,14.8,14.03,14.72,618400.0
2001-05-21,14.4,14.99,14.4,14.88,704200.0
2001-05-22,14.98,16.19,14.9,15.5,926400.0
2001-05-23,15.47,15.48,14.7,14.73,526600.0
2001-05-24,15.0,15.11,14.63,14.98,423600.0
2001-05-25,15.0,15.04,14.88,14.88,179000.0
2001-05-29,14.88,15.12,14.61,14.61,564000.0
2001-05-30,14.61,14.88,14.34,14.85,1529800.0
2001-05-31,14.68,15.15,14.5,14.88,406400.0
2001-06-01,14.87,14.87,14.14,14.32,586200.0
2001-06-04,14.35,14.72,14.08,14.6,797400.0
2001-06-05,14.49,15.09,14.46,15.08,1147800.0
2001-06-06,14.97,15.25,14.89,15.05,1265800.0
2001-06-07,14.8,15.05,14.64,14.8,424400.0
2001-06-08,15.0,15.11,14.69,14.77,933400.0
