date,open,high,low,close,volume
2000-07-28,29.88,42.25,29.5,39.17,18615200.0
2000-07-31,38.25,38.69,31.5,35.0,2481800.0
2000-08-01,34.81,40.12,33.0,35.5,1216200.0
2000-08-02,33.62,39.0,33.56,38.12,856400.0
2000-08-03,38.12,47.75,37.0,44.25,1368000.0
2000-08-04,45.48,45.5,39.75,40.94,1284200.0
2000-08-07,42.94,48.25,39.0,42.25,565600.0
2000-08-08,42.19,44.5,40.56,40.98,329600.0
2000-08-09,41.69,42.81,40.0,42.81,326800.0
2000-08-10,42.62,47.25,41.5,45.0,657800.0
2000-08-11,44.94,45.0,41.88,41.88,394800.0
2000-08-14,42.62,42.75,39.62,40.0,473400.0
2000-08-15,40.44,41.0,39.0,40.0,307000.0
2000-08-16,42.06,43.75,41.75,42.62,554200.0
2000-08-17,42.38,43.88,41.88,41.88,487200.0
2000-08-18,41.88,47.0,41.88,44.0,164800.0
2000-08-21,44.0,47.75,44.0,45.19,314400.0
2000-08-22,45.25,45.25,42.12,42.12,362600.0
2000-08-23,42.5,44.0,40.75,41.12,332400.0
2000-08-24,41.25,41.88,39.88,40.02,214000.0
2000-08-25,40.06,42.38,40.06,41.75,558400.0
2000-08-30,41.75,42.0,39.44,40.0,842800.0
2000-08-31,39.88,47.25,39.88,44.75,890600.0
2000-09-01,46.0,47.0,43.5,46.62,376200.0
2000-09-05,47.12,47.44,43.0,45.75,192000.0
2000-09-06,46.81,46.81,41.75,42.0,443000.0
2000-09-07,43.75,45.0,41.12,45.0,324800.0
2000-09-08,45.0,45.0,42.38,42.94,353000.0
2000-09-11,43.0,44.0,40.38,41.12,601600.0
2000-09-12,41.25,41.62,39.0,40.75,247800.0
2000-09-13,39.91,41.0,35.12,36.5,617400.0
2000-09-14,36.91,37.62,35.88,37.0,275800.0
2000-09-15,37.0,38.0,36.5,37.75,232200.0
2000-09-18,35.5,37.0,32.19,34.0,342000.0
2000-09-19,34.0,35.19,33.0,33.31,567200.0
2000-09-20,33.88,35.19,32.62,34.0,483200.0
2000-09-21,35.44,35.62,34.88,35.38,72400.0
2000-09-22,34.06,39.88,34.06,39.25,174400.0
2000-09-25,40.53,40.88,39.5,39.88,534800.0
2000-09-26,40.0,40.0,39.0,39.81,599200.0
2000-09-27,39.38,42.75,39.38,41.62,148200.0
2000-09-28,40.75,43.88,40.75,43.75,109800.0
2000-09-29,43.75,51.62,43.0,45.38,470000.0
2000-10-02,47.25,48.75,44.0,45.75,91600.0
2000-10-03,45.56,46.31,37.38,40.0,161800.0
2000-10-04,39.62,39.62,35.25,36.12,388000.0
2000-10-05,36.5,37.38,35.5,35.62,286200.0
2000-10-06,36.0,36.0,30.0,30.06,543200.0
2000-10-09,32.0,32.94,29.25,30.75,1147400.0
2000-10-10,30.89,32.75,30.25,32.5,689000.0
2000-10-11,32.08,33.5,31.5,32.0,149000.0
2000-10-12,32.5,32.75,31.0,32.25,310600.0
2000-10-13,32.0,35.12,31.75,35.12,56600.0
2000-10-16,36.0,40.0,35.31,35.5,255600.0
2000-10-17,35.25,37.12,35.12,36.19,228400.0
2000-10-18,34.5,35.5,33.0,34.75,92200.0
2000-10-19,35.69,36.88,32.5,34.62,64400.0
2000-10-20,33.5,34.5,33.0,33.0,108000.0
2000-10-23,34.25,34.38,32.12,34.0,132200.0
2000-10-24,34.5,34.62,33.25,34.12,415200.0
2000-10-25,34.12,38.0,32.81,36.0,124200.0
2000-10-26,35.12,38.88,35.12,38.75,502400.0
2000-10-27,40.0,40.23,36.5,36.5,463600.0
2000-10-30,36.5,36.5,31.0,32.5,160200.0
2000-10-31,32.5,33.0,31.88,32.5,117000.0
2000-11-01,32.75,33.88,32.0,33.56,512400.0
2000-11-02,34.0,36.38,33.38,35.62,337000.0
2000-11-03,34.25,37.25,34.25,36.5,119600.0
2000-11-06,38.12,42.0,37.88,40.62,512200.0
2000-11-07,40.73,41.0,40.0,41.0,181200.0
2000-11-08,41.12,41.12,40.5,40.62,46000.0
2000-11-09,40.62,41.0,38.44,38.88,347000.0
2000-11-10,38.25,39.19,38.0,38.0,159200.0
2000-11-13,38.02,38.02,32.25,37.0,170800.0
2000-11-14,37.27,37.88,32.75,33.94,81800.0
2000-11-15,33.5,34.0,31.5,31.75,226800.0
2000-11-16,32.5,32.5,25.38,25.38,524200.0
2000-11-17,25.52,26.88,21.62,22.88,397400.0
2000-11-20,23.0,23.62,21.38,21.38,415400.0
2000-11-21,21.38,22.12,21.31,21.31,2234000.0
2000-11-22,20.78,21.62,14.38,16.0,474600.0
2000-11-24,16.0,20.62,16.0,19.5,561400.0
2000-11-27,20.38,20.38,17.5,19.19,646200.0
2000-11-28,19.0,19.38,16.31,17.75,408400.0
2000-11-29,17.75,18.62,17.62,18.06,384000.0
2000-11-30,16.75,18.31,15.06,18.31,208800.0
2000-12-01,19.0,20.0,18.62,19.25,883000.0
2000-12-04,19.94,20.19,19.25,19.62,146200.0
2000-12-05,21.0,25.0,20.38,24.12,412800.0
2000-12-06,24.12,24.38,22.88,23.38,199600.0
2000-12-07,22.75,24.25,22.25,23.25,463000.0
2000-12-08,23.5,23.75,20.69,22.75,153400.0
2000-12-11,22.0,22.38,21.0,21.0,120200.0
2000-12-12,20.56,22.88,20.5,21.88,793800.0
2000-12-13,22.38,24.0,22.25,22.56,736800.0
2000-12-14,22.56,22.56,21.0,21.62,110800.0
2000-12-15,23.36,23.38,20.62,23.0,96800.0
2000-12-18,22.78,24.12,22.75,23.62,407800.0
2000-12-19,23.5,24.5,21.62,21.75,459200.0
2000-12-20,20.5,20.5,17.0,17.88,157400.0
2000-12-21,19.0,20.25,17.88,18.0,539400.0
2000-12-22,19.3,21.75,18.38,19.0,122400.0
2000-12-26,18.64,18.69,17.75,17.88,46400.0
2000-12-27,18.38,18.62,16.75,17.5,154600.0
2000-12-28,17.88,18.0,16.5,17.0,183200.0
2000-12-29,17.0,17.0,15.38,16.06,470000.0
2001-01-02,8.0,8.25,7.5,7.62,145200.0
2001-01-03,7.62,7.62,5.88,6.91,177800.0
2001-01-04,7.62,8.0,6.88,7.06,632800.0
2001-01-05,7.06,7.06,5.75,5.97,699000.0
2001-01-08,6.5,7.12,4.06,4.44,507600.0
2001-01-09,4.81,5.03,4.31,4.31,397200.0
2001-01-10,4.56,5.25,4.31,5.25,181600.0
2001-01-11,5.25,7.06,5.25,6.69,293600.0
2001-01-12,6.62,6.66,6.19,6.5,21400.0
2001-01-16,6.43,6.75,6.0,6.75,191800.0
2001-01-17,6.62,8.0,6.62,7.53,171200.0
2001-01-18,7.38,7.75,7.19,7.31,286200.0
2001-01-19,7.62,7.62,6.91,7.5,245400.0
2001-01-22,7.5,7.5,7.19,7.22,173200.0
2001-01-23,7.24,9.38,7.24,8.62,303400.0
2001-01-24,8.9,9.38,8.62,9.34,1334800.0
2001-01-25,9.16,9.47,9.0,9.38,959200.0
2001-01-26,9.34,10.09,8.94,10.03,483200.0
2001-01-29,10.19,11.25,9.78,10.88,555800.0
2001-01-30,10.68,11.06,10.44,10.66,623800.0
2001-01-31,10.66,10.69,10.0,10.5,415600.0
2001-02-01,10.44,10.56,10.0,10.22,65600.0
2001-02-02,10.21,10.21,8.53,9.12,145000.0
2001-02-05,8.91,9.0,8.12,8.12,70200.0
2001-02-06,8.56,8.69,7.56,8.0,90200.0
2001-02-07,8.0,8.5,7.69,8.16,351800.0
2001-02-08,8.15,8.16,7.88,8.16,57600.0
2001-02-09,7.93,8.16,7.56,8.16,68400.0
2001-02-12,8.02,8.25,8.02,8.19,98400.0
2001-02-13,8.25,8.25,8.12,8.12,82800.0
2001-02-14,8.12,8.25,8.07,8.19,40600.0
2001-02-15,8.25,8.25,7.34,8.0,494400.0
2001-02-16,7.91,8.91,7.91,8.41,82400.0
2001-02-20,8.0,8.0,7.56,8.0,360600.0
2001-02-21,7.97,8.59,7.97,8.28,23200.0
2001-02-22,8.03,8.31,7.69,7.91,56800.0
2001-02-23,7.72,7.78,7.66,7.69,104000.0
2001-02-26,7.75,7.91,7.64,7.81,84400.0
2001-02-27,7.81,7.94,7.62,7.88,58000.0
2001-02-28,7.94,8.03,7.5,7.5,90200.0
2001-03-01,7.44,7.44,7.07,7.25,19800.0
2001-03-02,7.5,7.5,6.03,6.19,193200.0
2001-03-05,6.22,6.75,6.22,6.53,85600.0
2001-03-06,6.56,6.62,6.19,6.19,118600.0
2001-03-07,6.44,6.44,5.25,5.5,156800.0
2001-03-08,5.81,5.88,5.59,5.62,138400.0
2001-03-09,5.69,5.75,4.88,5.0,227400.0
2001-03-12,5.03,5.06,4.0,4.06,385600.0
2001-03-13,4.66,4.75,4.06,4.06,706800.0
2001-03-14,4.04,4.75,4.03,4.5,476400.0
2001-03-15,4.48,4.62,4.48,4.52,72400.0
2001-03-16,4.51,4.53,4.41,4.47,756000.0
2001-03-19,4.5,4.84,4.47,4.8,521800.0
2001-03-20,4.78,5.0,4.47,4.47,184400.0
2001-03-21,4.56,4.56,4.19,4.44,479600.0
2001-03-22,4.27,4.41,3.91,4.03,412200.0
2001-03-23,4.12,4.19,3.5,4.03,1377200.0
2001-03-26,4.17,4.44,4.16,4.19,175000.0
2001-03-27,4.31,4.31,3.84,3.91,170800.0
2001-03-28,3.88,3.97,3.75,3.81,148000.0
2001-03-29,3.84,3.84,3.59,3.62,313800.0
2001-03-30,3.62,3.62,3.19,3.53,532800.0
2001-04-02,3.53,3.59,3.34,3.41,72200.0
2001-04-03,3.62,3.62,2.94,2.94,338400.0
2001-04-04,3.25,3.33,2.88,2.94,186200.0
2001-04-05,2.94,3.25,2.91,3.19,90600.0
2001-04-06,3.23,3.27,2.84,3.06,99600.0
2001-04-09,3.5,3.5,3.12,3.13,65200.0
