date,open,high,low,close,volume
2020-09-21,27.76,27.94,27.43,27.86,6586535.0
2020-09-22,27.98,28.22,27.77,27.85,5465808.0
2020-09-23,27.93,28.06,27.16,27.19,2376220.0
2020-09-24,27.37,27.52,27.0,27.26,3197181.0
2020-09-25,27.14,27.95,27.1,27.88,4276586.0
2020-09-28,28.11,28.26,27.82,27.84,2813492.0
2020-09-29,27.98,27.98,27.09,27.11,4577037.0
2020-09-30,27.14,27.62,27.14,27.6,6646088.0
2020-10-01,27.59,28.2,27.38,28.01,4908157.0
2020-10-02,27.62,28.19,27.62,28.09,3902589.0
2020-10-05,28.3,28.39,27.61,27.67,6183116.0
2020-10-06,27.66,28.22,27.61,28.03,5120790.0
2020-10-07,28.22,28.68,28.11,28.6,3493716.0
2020-10-08,28.68,28.9,28.56,28.7,2891805.0
2020-10-09,28.82,29.3,28.65,29.25,5359322.0
2020-10-12,30.1,30.32,29.75,29.8,6856886.0
2020-10-13,29.61,30.02,29.54,29.83,4424218.0
2020-10-14,29.94,30.11,29.54,29.67,5586062.0
2020-10-15,29.41,29.71,29.31,29.44,4350371.0
2020-10-16,29.37,30.0,29.27,29.76,56689946.0
2020-10-19,29.7,30.14,29.11,29.2,6506442.0
2020-10-20,29.47,29.67,29.23,29.23,3726801.0
2020-10-21,29.0,29.33,28.8,29.16,3958546.0
2020-10-22,29.18,29.7,29.09,29.55,3770327.0
2020-10-23,29.8,29.89,29.13,29.21,4425355.0
2020-10-26,29.15,29.21,28.12,28.44,7958024.0
2020-10-27,28.5,28.76,28.3,28.6,6428542.0
2020-10-28,28.13,28.39,27.52,27.73,6262091.0
2020-10-29,27.39,27.88,27.18,27.19,5173104.0
2020-10-30,27.05,27.17,26.67,26.9,5757773.0
2020-11-02,27.3,27.55,26.72,27.04,4333533.0
2020-11-03,27.33,28.03,27.33,27.8,3558634.0
2020-11-04,28.8,28.88,28.04,28.23,5403587.0
2020-11-05,28.57,28.89,28.36,28.8,3796709.0
2020-11-06,29.02,29.02,28.53,28.66,2623039.0
2020-11-09,29.56,29.73,27.69,27.73,6770027.0
2020-11-10,27.25,28.48,27.11,28.38,6918655.0
2020-11-11,28.53,29.72,28.47,29.4,5090001.0
2020-11-12,29.51,29.54,28.79,29.05,3924070.0
2020-11-13,29.1,29.47,29.1,29.3,2348880.0
2020-11-16,29.3,29.68,29.09,29.45,5977514.0
2020-11-17,28.3,29.31,28.25,29.19,29406732.0
2020-11-18,29.45,29.76,29.29,29.51,16248277.0
2020-11-19,29.12,30.01,29.12,29.76,10576254.0
2020-11-20,29.53,30.01,29.52,29.84,3647224.0
2020-11-23,29.96,30.0,29.65,29.83,4282764.0
2020-11-24,30.0,30.1,29.86,29.89,6100929.0
2020-11-25,30.09,30.45,29.98,30.33,3985439.0
2020-11-27,30.48,30.77,30.33,30.76,2812905.0
2020-11-30,30.8,30.84,29.96,30.45,17911655.0
2020-12-01,30.62,30.67,30.29,30.45,4532956.0
2020-12-02,30.61,30.61,29.89,30.08,2982226.0
2020-12-03,30.08,30.39,29.94,30.1,2933052.0
2020-12-04,30.3,30.6,30.08,30.53,2978664.0
2020-12-07,30.52,30.84,30.48,30.71,3369613.0
2020-12-08,30.6,30.83,30.09,30.17,5886459.0
2020-12-09,30.28,30.39,30.07,30.26,5433419.0
2020-12-10,30.48,30.64,30.06,30.18,5836819.0
2020-12-11,30.23,30.46,30.01,30.36,3162782.0
2020-12-14,30.45,30.84,30.15,30.35,7516199.0
2020-12-15,30.35,30.4,29.99,30.19,5444055.0
2020-12-16,30.17,30.68,30.17,30.64,2538473.0
2020-12-17,30.62,31.18,30.62,31.13,4743757.0
2020-12-18,31.34,31.48,30.52,30.93,11345179.0
2020-12-21,30.57,30.91,30.38,30.77,3213220.0
2020-12-22,30.76,31.14,30.67,31.07,2566887.0
2020-12-23,30.77,31.74,30.69,31.61,2889300.0
2020-12-24,31.6,31.9,31.56,31.88,1668763.0
2020-12-28,32.0,32.14,31.66,31.99,2310260.0
2020-12-29,32.1,32.24,31.86,32.0,3084347.0
2020-12-30,32.04,32.22,31.79,31.82,2320161.0
2020-12-31,31.9,32.1,31.66,32.0,2692090.0
2021-01-04,32.07,32.16,31.04,31.59,4293749.0
2021-01-05,31.61,31.71,31.25,31.64,2999919.0
2021-01-06,30.83,32.06,30.81,31.76,4706838.0
2021-01-07,31.33,31.82,31.3,31.8,8330380.0
2021-01-08,31.62,32.02,31.51,32.0,4995127.0
2021-01-11,32.09,32.1,31.28,31.36,4460227.0
2021-01-12,31.69,31.71,31.14,31.36,3363916.0
2021-01-13,31.28,31.7,31.2,31.66,3428978.0
2021-01-14,31.56,31.74,31.3,31.54,4282238.0
2021-01-15,31.48,32.08,31.34,31.86,8525441.0
2021-01-19,31.86,32.1,31.61,31.82,4542795.0
2021-01-20,31.84,32.04,31.37,31.95,3344123.0
2021-01-21,31.97,31.97,31.5,31.54,2972720.0
2021-01-22,31.52,31.71,31.28,31.47,2368472.0
2021-01-25,31.47,32.22,31.45,32.03,4544337.0
2021-01-26,32.03,32.73,31.96,32.63,7078400.0
2021-01-27,32.57,33.49,32.45,33.2,10163667.0
2021-01-28,33.15,33.69,32.39,32.42,5299566.0
2021-01-29,31.85,32.58,31.76,31.8,4472734.0
2021-02-01,32.0,32.16,31.75,31.92,2986590.0
2021-02-02,31.95,32.42,31.7,31.99,4158673.0
2021-02-03,31.86,32.21,31.36,31.92,3796708.0
2021-02-04,31.86,32.32,31.62,32.3,4090857.0
2021-02-05,32.44,32.83,32.21,32.53,3576000.0
2021-02-08,32.5,32.74,31.89,32.11,4521506.0
2021-02-09,32.03,32.46,31.83,32.4,2469540.0
2021-02-10,32.6,32.63,31.88,32.03,2703497.0
2021-02-11,31.98,32.26,31.75,31.91,3421589.0
2021-02-12,31.93,31.93,31.55,31.77,3497819.0
2021-02-16,31.75,31.8,31.26,31.42,3841548.0
2021-02-17,31.52,31.67,31.26,31.66,4298959.0
2021-02-18,31.51,31.78,31.26,31.74,3697254.0
2021-02-19,31.6,31.81,31.18,31.24,3174307.0
2021-02-22,31.26,31.76,31.06,31.68,5655763.0
2021-02-23,31.94,32.24,31.36,31.79,4480419.0
2021-02-24,31.59,31.68,31.04,31.46,4702219.0
2021-02-25,31.2,32.08,30.42,30.86,5883336.0
2021-02-26,30.92,31.19,30.28,30.52,7687078.0
2021-03-01,30.78,31.1,30.45,30.89,5082552.0
2021-03-02,30.95,31.16,30.73,30.77,4153099.0
2021-03-03,30.65,31.19,30.57,30.62,5124679.0
2021-03-04,30.77,31.45,30.66,30.88,4910728.0
2021-03-05,31.12,31.74,30.93,31.53,5867269.0
2021-03-08,31.75,32.68,31.56,32.47,7160665.0
2021-03-09,32.69,33.32,32.6,33.09,8710248.0
2021-03-10,33.34,34.05,33.29,33.56,9881192.0
2021-03-11,33.37,33.66,33.09,33.3,6253909.0
2021-03-12,33.29,33.39,32.7,33.37,5174996.0
2021-03-15,33.83,33.83,33.2,33.58,6424711.0
2021-03-16,33.68,34.23,33.65,34.09,7239467.0
2021-03-17,33.56,34.23,33.5,34.1,7518519.0
2021-03-18,33.93,34.16,33.69,33.89,5920170.0
2021-03-19,34.58,34.63,34.08,34.14,22880639.0
2021-03-22,34.0,34.73,33.85,34.58,7388562.0
2021-03-23,34.86,34.94,34.45,34.61,7575216.0
2021-03-24,34.52,34.59,34.31,34.37,4258320.0
2021-03-25,34.68,34.79,34.36,34.54,5260924.0
2021-03-26,34.18,35.31,34.15,35.24,7303149.0
2021-03-29,35.22,35.57,34.99,35.49,6222908.0
2021-03-30,35.43,35.51,34.78,34.91,5126890.0
2021-03-31,34.73,35.01,34.36,34.37,6273102.0
2021-04-01,34.4,34.72,34.23,34.5,6344529.0
2021-04-05,34.47,35.11,34.43,35.0,6008625.0
2021-04-06,34.89,35.25,34.76,35.07,8746956.0
2021-04-07,35.22,35.33,35.05,35.27,4018900.0
2021-04-08,35.33,35.49,35.24,35.31,7082079.0
2021-04-09,35.31,35.35,34.9,35.17,5654069.0
2021-04-12,35.24,35.61,35.11,35.49,4741542.0
2021-04-13,35.41,35.61,35.23,35.38,3646582.0
2021-04-14,35.44,35.51,35.21,35.36,3739631.0
2021-04-15,35.55,35.98,35.55,35.83,8546283.0
2021-04-16,35.8,36.05,35.68,36.01,4947561.0
2021-04-19,36.1,36.3,35.83,36.13,3660924.0
2021-04-20,35.98,36.38,35.95,36.17,3601222.0
