date,open,high,low,close,volume
2015-07-06,71.0,74.29,71.0,73.0,3807196.0
2015-07-07,73.73,74.71,72.96,74.62,5790305.0
2015-07-08,74.3,75.5,74.04,75.43,4254591.0
2015-07-09,76.47,77.06,74.5,74.8,3829804.0
2015-07-10,75.05,77.8,75.0,77.34,4963167.0
2015-07-13,79.5,79.7,77.91,78.82,8088773.0
2015-07-14,79.45,79.5,77.65,78.0,18731965.0
2015-07-15,77.65,78.17,76.4,76.71,5637136.0
2015-07-16,76.97,78.84,76.95,78.75,5622298.0
2015-07-17,79.43,79.69,77.26,79.63,6072542.0
2015-07-20,79.95,81.2,79.13,80.11,9311578.0
2015-07-21,79.97,80.68,79.4,80.22,6086155.0
2015-07-22,80.83,80.9,78.58,78.64,5154331.0
2015-07-23,78.42,78.57,76.64,76.74,2973342.0
2015-07-24,76.92,77.43,75.95,76.41,2869932.0
2015-07-27,76.63,77.98,76.29,77.39,5760754.0
2015-07-28,78.44,78.65,77.5,78.33,1862787.0
2015-07-29,78.26,78.3,77.0,77.91,2216940.0
2015-07-30,78.21,79.69,77.6,79.21,3194744.0
2015-07-31,79.94,79.94,78.86,79.47,2623855.0
2015-08-03,80.0,81.03,79.91,80.37,2672660.0
2015-08-04,80.57,81.0,79.67,79.81,2400574.0
2015-08-05,80.01,81.0,79.85,80.46,4300379.0
2015-08-06,81.05,81.19,79.51,79.76,3663448.0
2015-08-07,79.14,79.38,77.29,78.54,3251727.0
2015-08-10,79.43,79.8,78.57,78.81,3200309.0
2015-08-11,77.63,80.48,77.07,77.97,3673700.0
2015-08-12,77.83,78.31,76.09,76.69,3667219.0
2015-08-13,77.01,77.07,75.8,75.99,2897581.0
2015-08-14,76.07,76.74,75.11,76.42,2572640.0
2015-08-17,75.86,76.41,75.51,75.8,2250985.0
2015-08-18,75.72,75.95,75.06,75.19,1999538.0
2015-08-19,75.0,75.29,73.92,74.78,3022529.0
2015-08-20,74.02,74.76,73.78,74.25,2158694.0
2015-08-21,73.31,74.25,72.26,72.29,5495572.0
2015-08-24,68.24,72.24,61.42,70.92,8987416.0
2015-08-25,71.54,72.4,70.0,70.21,4402698.0
2015-08-26,71.72,74.11,69.53,73.9,5213892.0
2015-08-27,73.17,75.25,73.12,75.18,5239906.0
2015-08-28,74.4,75.19,73.82,74.69,2114562.0
2015-08-31,74.21,74.43,72.57,72.64,2596663.0
2015-09-01,71.23,72.54,69.64,70.25,4602830.0
2015-09-02,70.84,72.07,70.31,72.07,2736594.0
2015-09-03,72.56,73.89,71.79,72.16,2571638.0
2015-09-04,71.14,71.69,70.12,70.53,2966078.0
2015-09-08,71.85,74.33,70.81,74.05,4420884.0
