date,open,high,low,close,volume
1990-03-26,8.75,9.0,8.62,8.62,242400.0
1990-03-27,9.0,9.0,8.62,9.0,24800.0
1990-03-28,8.75,9.0,8.75,8.87,37200.0
1990-03-29,8.75,9.0,8.62,8.62,74800.0
1990-03-30,8.62,9.0,8.62,8.62,14000.0
1990-04-02,8.62,8.87,8.62,8.87,138800.0
1990-04-03,9.0,9.88,8.75,9.75,1432800.0
1990-04-04,9.75,10.25,9.75,10.0,862000.0
1990-04-05,9.88,10.12,9.88,10.0,3251200.0
1990-04-06,9.88,10.12,9.88,9.88,964400.0
1990-04-09,9.88,10.12,9.88,9.88,214000.0
1990-04-10,9.88,10.12,9.88,10.0,667200.0
1990-04-11,9.88,10.63,9.88,10.63,2848800.0
1990-04-12,10.75,10.75,10.12,10.25,406000.0
1990-04-16,10.12,10.5,10.0,10.0,148400.0
1990-04-17,10.0,10.25,10.0,10.0,82800.0
1990-04-18,10.25,10.25,9.75,9.75,312400.0
1990-04-19,9.75,9.75,9.38,9.5,264800.0
1990-04-20,9.25,9.25,9.0,9.0,797600.0
1990-04-23,9.0,9.0,8.5,8.75,680000.0
1990-04-24,8.62,9.0,8.62,9.0,389200.0
1990-04-25,8.75,9.5,8.75,9.25,181600.0
1990-04-26,9.25,9.75,9.25,9.62,58800.0
1990-04-27,9.25,9.38,9.0,9.13,205600.0
1990-04-30,9.0,9.25,9.0,9.25,56400.0
1990-05-01,9.13,9.13,9.0,9.13,42800.0
1990-05-02,9.0,9.13,9.0,9.0,82400.0
1990-05-03,9.0,9.25,9.0,9.25,45600.0
1990-05-04,9.25,9.5,9.0,9.25,324400.0
1990-05-07,9.38,9.5,9.38,9.5,40800.0
1990-05-08,9.38,9.75,9.25,9.75,131600.0
1990-05-09,9.5,9.75,9.5,9.75,100000.0
1990-05-10,9.5,9.75,9.5,9.75,246400.0
1990-05-11,9.75,9.75,9.5,9.5,284400.0
1990-05-14,9.5,9.88,9.5,9.62,322800.0
1990-05-15,9.75,9.75,9.5,9.75,477600.0
1990-05-16,9.5,10.0,9.5,9.88,1628000.0
1990-05-17,9.75,10.25,9.75,10.12,649600.0
1990-05-18,10.25,10.75,10.0,10.63,627200.0
1990-05-21,10.5,11.87,10.5,11.25,1808800.0
1990-05-22,11.75,11.75,11.25,11.38,648800.0
1990-05-23,11.25,11.25,11.0,11.0,560000.0
1990-05-24,11.0,11.12,11.0,11.12,544400.0
1990-05-25,11.0,11.25,10.75,10.88,144800.0
1990-05-29,10.88,11.38,10.88,11.38,1823200.0
1990-05-30,11.38,11.75,11.25,11.75,590400.0
1990-05-31,11.62,12.0,11.62,11.87,320000.0
1990-06-01,12.0,12.0,11.75,11.87,1073200.0
1990-06-04,11.87,12.0,11.87,12.0,336400.0
1990-06-05,11.87,12.0,11.5,11.5,813200.0
1990-06-06,11.62,11.75,11.38,11.5,326800.0
1990-06-07,11.5,11.87,11.5,11.87,151200.0
1990-06-08,11.62,11.87,11.5,11.62,636400.0
1990-06-11,11.5,11.75,11.38,11.38,101600.0
1990-06-12,11.38,11.75,11.38,11.75,162400.0
1990-06-13,11.75,11.75,11.38,11.5,254800.0
1990-06-14,11.38,11.5,11.12,11.12,174000.0
1990-06-15,11.12,11.25,11.0,11.25,284400.0
1990-06-18,11.12,11.38,11.0,11.38,329600.0
1990-06-19,11.0,11.25,11.0,11.12,64400.0
1990-06-20,11.12,11.5,11.12,11.5,312000.0
1990-06-21,11.38,11.75,11.38,11.75,510400.0
1990-06-22,11.5,11.87,11.5,11.62,552000.0
1990-06-25,11.38,11.5,11.12,11.12,470800.0
1990-06-26,11.25,11.5,11.25,11.38,103200.0
1990-06-27,11.25,11.5,11.25,11.25,115600.0
1990-06-28,11.5,11.87,11.25,11.5,118800.0
1990-06-29,11.87,12.0,11.62,12.0,106400.0
1990-07-02,11.62,12.5,11.62,12.13,281600.0
1990-07-03,12.25,12.38,12.13,12.25,194000.0
1990-07-05,12.13,12.25,11.75,12.25,109600.0
1990-07-06,11.75,12.0,11.75,11.75,58800.0
1990-07-09,11.75,12.25,11.25,11.5,248400.0
1990-07-10,11.38,11.62,11.38,11.5,61200.0
1990-07-11,11.5,11.75,11.38,11.75,234800.0
1990-07-12,11.75,12.0,11.5,12.0,785600.0
1990-07-13,11.75,12.0,11.75,12.0,91200.0
1990-07-16,12.0,12.0,11.75,12.0,29600.0
1990-07-17,11.75,12.0,11.75,11.75,94000.0
1990-07-18,11.75,12.0,11.75,12.0,48000.0
1990-07-19,11.75,12.0,11.5,11.5,930400.0
1990-07-20,11.75,11.75,11.12,11.25,757600.0
1990-07-23,11.0,11.25,11.0,11.12,258000.0
1990-07-24,11.25,11.25,11.0,11.0,174800.0
1990-07-25,11.0,11.25,10.75,10.88,912400.0
1990-07-26,11.0,11.0,10.75,10.88,75200.0
1990-07-27,10.63,11.0,10.63,11.0,158800.0
1990-07-30,11.12,11.12,10.75,11.12,52800.0
1990-07-31,11.0,11.25,11.0,11.25,331200.0
1990-08-01,11.38,11.5,10.75,10.75,199600.0
1990-08-02,10.5,10.75,10.25,10.37,96400.0
1990-08-03,10.37,10.75,9.62,10.12,643600.0
1990-08-06,10.0,10.0,9.38,9.38,432800.0
1990-08-07,9.38,9.88,9.38,9.38,114000.0
1990-08-08,9.38,9.75,9.38,9.5,129200.0
1990-08-09,9.38,9.62,9.38,9.38,109600.0
1990-08-10,9.75,9.75,9.0,9.0,204400.0
1990-08-13,8.87,9.0,8.87,9.0,167200.0
1990-08-14,9.0,9.25,8.75,9.13,298800.0
1990-08-15,8.87,9.13,8.75,8.75,384800.0
1990-08-16,8.75,8.87,8.5,8.5,56400.0
1990-08-17,8.25,8.5,8.12,8.25,961200.0
1990-08-20,8.0,8.25,7.75,8.0,309600.0
