date,open,high,low,close,volume
2021-07-26,25.24,29.03,24.32,26.83,31573182.0
2021-07-27,27.49,27.55,25.11,25.18,16184064.0
2021-07-28,25.71,26.2,23.98,24.08,12580426.0
2021-07-29,24.54,24.7,23.25,23.35,10494593.0
2021-07-30,22.95,24.23,22.94,23.72,11144842.0
2021-08-02,24.19,24.24,23.45,23.77,7894394.0
2021-08-03,23.93,23.95,22.95,23.58,8579415.0
2021-08-04,23.48,23.49,22.54,22.63,7015099.0
2021-08-05,22.92,23.29,22.7,22.75,6573552.0
2021-08-06,22.94,23.91,22.8,23.38,7686486.0
2021-08-09,23.4,23.62,23.03,23.5,6489620.0
2021-08-10,23.88,25.24,23.7,24.46,11923635.0
2021-08-11,24.97,25.0,24.02,24.47,8009064.0
2021-08-12,24.31,24.5,23.81,23.85,7516851.0
2021-08-13,23.71,24.25,23.42,23.48,5877261.0
2021-08-16,23.05,23.32,22.43,22.83,7534740.0
2021-08-17,22.24,22.77,22.13,22.56,7076970.0
2021-08-18,22.93,22.93,22.15,22.55,5873884.0
2021-08-19,22.18,22.61,21.51,21.71,6603914.0
2021-08-20,21.75,22.1,21.6,21.67,5277663.0
2021-08-23,22.01,22.11,21.42,21.65,7098570.0
2021-08-24,21.94,22.97,21.78,22.83,10277871.0
2021-08-25,22.25,22.5,21.77,21.81,11667297.0
2021-08-26,21.84,22.07,21.4,21.48,9094854.0
2021-08-27,21.45,21.53,20.9,21.03,11926945.0
2021-08-30,20.85,20.88,19.86,20.63,14999202.0
2021-08-31,20.28,20.68,19.92,19.96,11454697.0
2021-09-01,16.12,18.44,16.12,17.79,149611887.0
2021-09-02,18.44,18.92,18.0,18.66,38521798.0
2021-09-03,18.84,19.76,18.67,19.56,25287802.0
2021-09-07,19.8,19.95,19.01,19.89,19835060.0
2021-09-08,19.93,20.03,18.7,18.93,20956100.0
2021-09-09,19.22,20.06,19.09,19.85,21788593.0
2021-09-10,20.18,20.62,19.9,19.93,16229056.0
2021-09-13,20.27,20.59,19.66,20.06,15778409.0
2021-09-14,19.19,19.74,18.7,18.95,24118279.0
2021-09-15,19.37,20.16,19.05,19.91,32280695.0
2021-09-16,20.85,21.6,20.36,21.17,45927395.0
2021-09-17,22.42,23.51,21.9,22.96,104115605.0
2021-09-20,22.02,24.22,21.66,24.07,68142971.0
2021-09-21,24.78,27.93,24.57,26.81,114795884.0
2021-09-22,27.74,28.21,24.28,24.95,87320505.0
2021-09-23,25.57,26.13,24.62,25.42,38764878.0
2021-09-24,25.26,25.66,24.39,25.43,26633637.0
2021-09-27,25.86,27.27,25.74,25.89,44696218.0
2021-09-28,25.97,26.41,24.15,24.54,38136571.0
2021-09-29,26.45,28.39,26.01,26.28,120691832.0
2021-09-30,27.12,27.14,25.09,25.38,46844017.0
2021-10-01,25.51,25.75,24.21,24.61,30696053.0
2021-10-04,24.76,25.03,23.54,24.14,28779609.0
2021-10-05,24.18,24.79,23.86,24.02,21742706.0
2021-10-06,23.55,24.55,23.41,24.29,19270711.0
2021-10-07,24.55,24.72,24.04,24.38,17543525.0
2021-10-08,24.32,24.53,23.04,23.23,25071025.0
2021-10-11,23.63,23.64,22.68,22.87,21974463.0
2021-10-12,23.14,23.65,22.66,23.06,23871710.0
2021-10-13,22.85,23.02,22.11,22.59,20437420.0
2021-10-14,22.51,24.1,22.5,24.01,20756120.0
2021-10-15,23.84,24.22,23.43,24.08,14891499.0
2021-10-18,23.99,25.66,23.97,25.34,26253614.0
2021-10-19,25.41,25.61,24.48,24.73,16034672.0
2021-10-20,24.76,25.27,24.14,24.24,15462937.0
2021-10-21,24.3,25.05,24.04,24.46,21810285.0
2021-10-22,24.03,24.19,23.41,24.11,16383975.0
2021-10-25,24.88,27.4,24.7,26.85,53941831.0
2021-10-26,26.85,28.2,26.05,26.38,40979455.0
2021-10-27,27.69,28.94,26.73,27.02,52224557.0
2021-10-28,28.54,39.78,28.08,35.48,377220880.0
2021-10-29,38.25,41.6,35.43,36.99,221097369.0
2021-11-01,40.0,40.17,35.73,36.53,121435264.0
2021-11-02,34.57,35.39,33.02,35.13,75032517.0
2021-11-03,34.23,37.38,34.23,36.55,61133739.0
2021-11-04,37.38,37.7,36.07,37.12,40730351.0
2021-11-05,37.5,41.92,36.17,41.8,113881057.0
2021-11-08,43.54,47.87,43.04,45.92,154195405.0
2021-11-09,47.48,48.04,42.15,44.78,90177656.0
2021-11-10,42.3,45.0,39.34,40.75,79342771.0
