date,open,high,low,close,volume
1990-03-26,6.88,7.38,6.62,7.38,656100.0
1990-03-27,7.13,7.62,7.13,7.38,603900.0
1990-03-28,7.25,7.38,7.13,7.38,1009800.0
1990-03-29,7.25,7.5,7.25,7.25,313200.0
1990-03-30,7.25,7.38,7.25,7.38,453600.0
1990-04-02,7.25,7.25,7.0,7.0,189000.0
1990-04-03,7.25,7.25,7.0,7.25,263700.0
1990-04-04,7.13,7.25,7.13,7.13,177300.0
1990-04-05,7.13,7.25,7.0,7.25,442400.0
1990-04-06,7.13,7.38,7.13,7.13,219600.0
1990-04-09,7.25,7.25,7.13,7.25,60800.0
1990-04-10,7.13,7.38,7.13,7.25,376200.0
1990-04-11,7.38,7.62,7.25,7.25,918000.0
1990-04-12,7.25,7.5,7.25,7.38,539100.0
1990-04-16,7.5,7.5,7.25,7.38,142200.0
1990-04-17,7.5,7.5,7.0,7.25,333000.0
1990-04-18,7.13,7.25,7.13,7.25,147200.0
1990-04-19,7.13,7.25,7.0,7.25,271400.0
1990-04-20,7.0,7.13,6.75,6.88,95000.0
1990-04-23,6.62,6.88,6.5,6.62,228200.0
1990-04-24,6.62,7.0,6.62,6.62,793800.0
1990-04-25,6.62,6.75,6.37,6.62,334400.0
1990-04-26,6.75,6.75,6.62,6.62,11200.0
1990-04-27,6.75,6.75,6.5,6.75,91800.0
1990-04-30,6.75,6.75,6.5,6.5,8600.0
1990-05-01,6.5,6.75,6.5,6.62,19400.0
1990-05-02,6.75,6.88,6.5,6.88,214200.0
1990-05-03,7.0,7.0,6.88,6.88,33800.0
1990-05-04,7.0,7.13,6.88,7.0,53600.0
1990-05-07,7.0,7.25,7.0,7.13,161100.0
1990-05-08,7.13,7.25,7.0,7.13,88600.0
1990-05-09,7.13,7.13,7.13,7.13,27900.0
1990-05-10,7.25,7.38,7.13,7.38,360400.0
1990-05-11,7.38,7.87,7.38,7.62,659700.0
1990-05-14,7.62,7.87,7.5,7.87,280800.0
1990-05-15,7.62,7.87,7.5,7.62,468000.0
1990-05-16,7.87,7.87,7.62,7.62,172800.0
1990-05-17,7.62,8.12,7.62,8.12,431100.0
1990-05-18,8.0,8.37,7.87,8.12,700600.0
1990-05-21,8.0,8.12,7.87,8.0,1095300.0
1990-05-22,8.12,8.12,7.75,7.87,530100.0
1990-05-23,8.0,8.5,8.0,8.5,1566000.0
1990-05-24,8.5,9.0,8.5,8.88,1021500.0
1990-05-25,8.88,8.88,8.63,8.63,670000.0
1990-05-29,8.63,8.88,8.5,8.63,405400.0
1990-05-30,8.63,8.88,8.5,8.63,1369400.0
1990-05-31,8.63,8.63,8.37,8.37,118400.0
1990-06-01,8.37,8.5,8.37,8.37,687200.0
1990-06-04,8.37,8.63,8.37,8.5,715000.0
1990-06-05,8.37,8.5,7.5,7.75,831200.0
1990-06-06,7.13,7.62,7.0,7.38,863600.0
1990-06-07,7.38,7.38,6.75,7.25,820800.0
1990-06-08,7.13,7.13,7.0,7.0,36900.0
1990-06-11,7.0,7.13,6.88,7.13,134600.0
1990-06-12,7.13,7.13,6.88,7.13,895000.0
1990-06-13,7.13,7.13,7.0,7.13,430600.0
1990-06-14,7.13,7.13,6.75,6.75,167000.0
1990-06-15,7.0,7.0,6.75,6.88,247000.0
1990-06-18,6.75,6.88,6.25,6.25,398200.0
1990-06-19,6.37,6.62,6.25,6.5,187600.0
1990-06-20,6.5,6.62,6.37,6.5,261000.0
1990-06-21,6.37,6.5,6.25,6.25,154400.0
1990-06-22,6.25,6.5,6.12,6.12,283500.0
1990-06-25,6.12,6.25,5.88,6.12,272700.0
1990-06-26,6.12,6.12,5.88,6.0,193000.0
1990-06-27,6.0,6.12,6.0,6.12,88200.0
1990-06-28,6.0,6.12,6.0,6.12,354600.0
1990-06-29,6.12,6.12,6.0,6.12,60300.0
1990-07-02,6.0,6.12,5.75,5.88,389700.0
1990-07-03,6.0,6.12,5.88,6.12,708800.0
1990-07-05,6.0,6.12,5.88,5.88,14000.0
1990-07-06,6.12,6.5,6.0,6.37,1087600.0
1990-07-09,6.37,6.37,6.12,6.37,1079600.0
1990-07-10,6.37,6.37,6.25,6.37,464800.0
1990-07-11,6.37,6.37,6.12,6.37,167800.0
1990-07-12,6.37,6.37,6.12,6.37,218700.0
1990-07-13,6.37,6.37,6.12,6.25,446400.0
1990-07-16,6.12,6.25,5.63,5.75,3009200.0
1990-07-17,5.5,5.75,5.5,5.63,855900.0
1990-07-18,5.75,5.75,5.5,5.5,84600.0
1990-07-19,5.5,5.5,4.87,5.0,668200.0
1990-07-20,5.13,5.38,5.0,5.38,698800.0
1990-07-23,5.13,5.25,4.87,5.0,345200.0
1990-07-24,5.0,5.13,4.87,5.13,247000.0
1990-07-25,5.13,5.38,5.0,5.38,311400.0
1990-07-26,5.38,5.5,5.13,5.38,384800.0
1990-07-27,5.25,5.38,5.25,5.38,114800.0
1990-07-30,5.0,5.38,5.0,5.13,301000.0
1990-07-31,5.0,5.25,4.75,4.87,1795500.0
1990-08-01,4.75,4.87,4.62,4.75,441900.0
1990-08-02,4.75,4.87,4.62,4.87,179600.0
1990-08-03,4.87,4.87,4.25,4.37,265000.0
