date,open,high,low,close,volume
2009-09-16,21.09,22.06,20.72,21.61,747465.0
2009-09-17,21.09,22.06,20.72,21.61,747465.0
2009-09-18,21.09,22.06,20.72,21.61,747465.0
2009-09-21,24.35,24.54,23.65,24.12,520630.0
2009-09-22,24.38,24.64,23.97,24.0,561510.0
2009-09-23,24.04,24.28,23.49,23.54,371432.0
2009-09-24,23.78,24.06,22.56,22.57,520174.0
2009-09-25,22.43,22.72,21.82,22.6,158966.0
2009-09-28,22.43,22.72,21.82,22.6,158966.0
2009-09-29,23.54,24.45,23.02,23.18,376046.0
2009-09-30,23.27,23.55,22.52,22.75,533296.0
2009-10-01,22.6,22.63,21.35,21.36,662907.0
2009-10-02,21.05,22.0,21.0,21.63,470656.0
2009-10-05,21.71,22.88,21.71,22.61,373668.0
2009-10-06,22.85,23.44,22.49,23.42,456681.0
2009-10-07,23.24,23.85,22.79,23.7,323520.0
2009-10-08,23.95,24.43,23.86,24.35,361210.0
2009-10-09,24.26,24.56,23.8,24.33,209871.0
2009-10-12,24.51,25.3,24.51,24.75,261536.0
2009-10-13,24.82,25.25,24.36,24.79,318586.0
2009-10-14,25.26,25.6,24.98,25.55,275174.0
2009-10-15,25.41,26.11,25.03,26.02,387308.0
2009-10-16,25.83,25.9,25.1,25.53,397137.0
2009-10-19,25.73,26.48,25.4,25.62,524757.0
2009-10-20,25.63,25.69,25.03,25.54,664886.0
2009-10-21,25.53,26.32,25.0,25.09,914870.0
2009-10-22,25.27,25.97,24.8,25.72,925259.0
2009-10-23,25.24,25.98,25.19,25.33,714828.0
2009-10-26,25.47,26.2,25.47,25.71,938396.0
2009-10-27,26.84,28.86,26.68,27.9,3311538.0
2009-10-28,27.8,27.88,24.9,25.11,2066977.0
2009-10-29,25.4,26.76,25.35,26.24,822521.0
2009-10-30,26.06,26.29,24.57,25.12,744380.0
2009-11-02,25.32,25.5,24.21,24.58,452287.0
2009-11-03,24.48,25.23,24.24,25.05,274680.0
2009-11-04,25.43,25.94,24.89,24.95,367677.0
2009-11-05,25.1,26.21,24.91,25.95,664427.0
2009-11-06,25.5,26.11,25.13,25.82,302510.0
2009-11-09,26.25,27.35,26.25,27.13,624567.0
2009-11-10,27.17,27.75,26.95,27.19,368045.0
2009-11-11,27.58,28.18,27.25,27.7,458152.0
2009-11-12,27.51,27.74,26.4,26.8,428686.0
2009-11-13,26.97,27.69,26.45,27.03,494489.0
2009-11-16,27.4,28.71,27.26,28.15,490233.0
2009-11-17,28.15,28.28,27.51,27.8,316215.0
2009-11-18,27.65,28.29,27.36,27.61,185191.0
2009-11-19,27.33,27.43,26.5,27.02,456725.0
2009-11-20,26.69,27.07,26.14,26.5,468666.0
2009-11-23,26.83,27.46,26.49,26.49,440544.0
2009-11-24,26.58,26.58,25.83,26.38,313236.0
2009-11-25,26.74,27.26,26.52,27.02,287313.0
2009-11-27,25.9,27.02,25.89,26.43,179994.0
2009-11-30,26.3,26.43,25.46,26.09,390785.0
2009-12-01,26.2,27.25,26.2,26.65,370660.0
2009-12-02,26.73,27.35,26.49,26.6,350581.0
2009-12-03,26.76,26.76,25.96,26.0,581409.0
2009-12-04,26.6,27.17,26.0,26.96,578337.0
2009-12-07,26.95,27.48,26.95,27.43,571506.0
2009-12-08,26.96,27.26,26.72,26.93,458432.0
2009-12-09,26.82,27.99,26.44,27.59,1366133.0
2009-12-10,28.14,28.6,26.16,26.86,2360719.0
2009-12-11,26.84,27.45,26.61,27.21,809176.0
2009-12-14,27.46,27.86,26.75,27.75,523201.0
2009-12-15,27.49,28.26,27.22,27.67,355965.0
2009-12-16,28.11,28.25,27.69,27.89,368542.0
2009-12-17,27.77,27.85,26.87,27.46,334613.0
2009-12-18,27.5,27.65,26.84,27.49,509896.0
2009-12-21,27.59,28.69,27.45,28.32,553696.0
2009-12-22,28.64,29.99,28.63,29.85,1593554.0
2009-12-23,30.42,30.5,29.44,30.13,802029.0
2009-12-24,30.25,30.6,30.1,30.24,255303.0
2009-12-28,30.57,31.0,29.81,30.01,479181.0
2009-12-29,30.17,31.2,30.17,30.85,579470.0
2009-12-30,30.81,31.07,30.0,30.11,438352.0
2009-12-31,30.19,30.9,30.07,30.27,293321.0
2010-01-04,30.87,31.54,30.59,30.93,749177.0
2010-01-05,30.99,31.86,30.9,31.83,634131.0
2010-01-06,31.85,32.65,31.69,32.43,901608.0
2010-01-07,32.51,32.95,31.79,32.31,428886.0
2010-01-08,32.24,32.64,31.77,32.1,266562.0
2010-01-11,32.4,32.4,31.5,31.78,493022.0
2010-01-12,31.5,31.8,31.05,31.28,436734.0
2010-01-13,31.65,32.4,31.38,32.36,661318.0
2010-01-14,32.33,32.55,31.88,31.97,417520.0
2010-01-15,31.97,32.14,30.72,31.32,620741.0
2010-01-19,31.06,31.65,30.52,31.58,526269.0
2010-01-20,31.1,31.58,30.64,31.57,544189.0
2010-01-21,31.53,31.92,31.17,31.65,1232432.0
2010-01-22,31.1,31.15,29.85,29.91,1117831.0
2010-01-25,30.26,30.6,28.6,29.02,829068.0
2010-01-26,29.03,29.29,28.75,28.98,473355.0
2010-01-27,28.83,29.28,28.62,29.08,441437.0
2010-01-28,29.28,29.46,28.04,28.52,770887.0
2010-01-29,28.43,29.13,27.99,28.16,630911.0
2010-02-01,28.3,28.65,28.19,28.35,413000.0
2010-02-04,28.62,28.7,27.2,27.25,860531.0
2010-02-05,27.19,27.25,25.75,26.27,2088525.0
2010-02-08,26.22,26.89,26.21,26.57,849571.0
2010-02-09,26.99,27.68,26.89,27.49,699764.0
2010-02-10,27.41,27.66,27.0,27.21,387302.0
2010-02-11,27.03,28.13,26.92,27.92,371835.0
2010-02-12,27.61,28.52,27.35,28.35,368493.0
2010-02-16,28.55,28.92,28.37,28.84,384183.0
2010-02-17,28.93,29.07,28.43,28.74,517371.0
2010-02-18,28.64,29.3,28.36,29.19,514703.0
2010-02-19,29.19,29.25,28.94,29.09,394769.0
2010-02-22,29.12,29.25,28.32,28.32,959930.0
2010-02-23,28.19,28.51,27.8,27.93,766016.0
2010-02-24,27.95,28.43,27.68,28.4,750494.0
2010-02-25,27.8,29.17,27.8,29.12,701538.0
2010-02-26,29.14,29.89,28.62,28.65,707666.0
2010-03-01,29.01,30.45,28.82,30.22,931453.0
2010-03-02,30.42,31.14,30.11,31.04,728137.0
2010-03-03,31.11,31.41,30.84,31.24,532803.0
2010-03-04,31.17,31.9,31.03,31.83,442316.0
2010-03-05,31.98,33.22,31.87,32.88,619259.0
2010-03-08,33.02,33.29,32.53,33.06,508391.0
2010-03-09,33.05,33.98,32.97,33.7,685972.0
2010-03-10,33.5,33.79,33.17,33.71,607105.0
2010-03-11,33.44,34.17,33.24,34.17,392758.0
2010-03-12,34.59,36.09,34.4,35.16,1278825.0
2010-03-15,35.21,36.0,35.0,35.67,739289.0
2010-03-16,35.96,36.3,35.2,35.53,705901.0
2010-03-17,35.63,35.85,35.07,35.25,489116.0
2010-03-18,35.33,35.51,34.3,34.83,611115.0
2010-03-19,34.84,35.07,33.36,33.5,835394.0
2010-03-22,33.36,35.07,32.8,35.04,576644.0
2010-03-23,35.25,36.58,35.17,36.23,750925.0
2010-03-24,36.15,36.89,35.52,36.05,1199511.0
2010-03-25,39.97,40.95,38.86,39.4,5495787.0
2010-03-26,39.02,40.8,38.69,40.57,2520707.0
2010-03-29,40.9,41.34,39.7,41.22,1510277.0
2010-03-30,41.22,42.4,40.7,41.9,1222381.0
2010-03-31,41.74,41.96,41.14,41.48,666723.0
2010-04-01,41.64,42.08,41.13,41.69,705379.0
2010-04-05,42.04,42.69,41.76,42.57,986403.0
2010-04-06,42.66,43.27,42.33,43.08,933219.0
