date,open,high,low,close,volume
1993-03-19,15.25,16.25,14.5,14.88,1974000.0
1993-03-22,14.5,14.63,14.13,14.25,298500.0
1993-03-23,14.25,14.5,14.13,14.25,182200.0
1993-03-24,14.5,14.63,14.13,14.5,80400.0
1993-03-25,14.75,15.25,14.63,15.13,93300.0
1993-03-26,15.25,16.13,15.13,15.63,182500.0
1993-03-29,15.88,15.88,15.63,15.75,161600.0
1993-03-30,15.75,16.13,15.5,16.0,83600.0
1993-03-31,16.25,16.25,15.75,16.13,72900.0
1993-04-01,15.75,16.25,15.75,16.0,31200.0
1993-04-02,16.25,16.25,15.75,16.25,41800.0
1993-04-05,16.25,16.25,15.75,16.13,9700.0
1993-04-06,16.0,16.13,15.75,15.75,19200.0
1993-04-07,16.13,16.13,15.75,16.13,30000.0
1993-04-08,16.13,16.25,15.75,16.25,20800.0
1993-04-12,16.25,16.25,15.88,15.88,4100.0
1993-04-13,16.25,17.0,16.0,16.5,44400.0
1993-04-14,16.5,17.88,16.5,17.13,135800.0
1993-04-15,17.25,17.25,16.25,16.5,77800.0
1993-04-16,16.75,16.88,16.5,16.75,45300.0
1993-04-19,16.75,16.75,16.13,16.25,36700.0
1993-04-20,16.25,16.25,15.75,16.25,51800.0
1993-04-21,16.0,17.25,15.75,16.88,69500.0
1993-04-22,17.0,18.25,16.75,17.75,65500.0
1993-04-23,18.25,18.75,17.75,18.75,41000.0
1993-04-26,18.5,19.25,18.0,18.88,77300.0
1993-04-27,18.88,19.75,18.63,19.75,64000.0
1993-04-28,19.75,21.25,19.75,21.0,173400.0
1993-04-29,21.0,21.25,19.0,20.0,180300.0
1993-04-30,20.5,21.25,20.0,21.25,114500.0
1993-05-03,21.0,21.5,21.0,21.5,39400.0
1993-05-04,21.25,21.5,20.5,20.5,35400.0
1993-05-05,20.5,21.25,20.5,20.75,22500.0
1993-05-06,21.25,21.25,20.75,21.25,3400.0
1993-05-07,21.25,22.5,21.25,22.25,41600.0
1993-05-10,22.25,23.5,22.25,23.5,129500.0
1993-05-11,23.5,23.5,22.75,23.5,62500.0
1993-05-12,23.5,23.5,23.0,23.5,40700.0
1993-05-13,23.5,23.5,22.25,22.25,56500.0
1993-05-14,22.25,23.0,22.25,22.5,51100.0
1993-05-17,22.5,23.5,22.5,23.25,13100.0
1993-05-18,23.5,24.25,23.5,24.25,42400.0
1993-05-19,24.25,24.25,23.75,23.75,44100.0
1993-05-20,24.5,24.5,23.75,24.0,21600.0
1993-05-21,24.5,24.5,23.75,24.5,8100.0
1993-05-24,24.25,24.25,22.5,22.88,34900.0
1993-05-25,22.75,23.0,22.75,23.0,25700.0
1993-05-26,22.75,23.5,22.75,23.5,8900.0
1993-05-27,23.13,23.5,22.75,23.25,35200.0
1993-05-28,22.75,23.25,22.75,23.25,4900.0
1993-06-01,22.75,23.25,22.75,22.75,9600.0
1993-06-02,23.25,23.25,22.75,22.75,2900.0
1993-06-03,22.75,23.25,22.75,22.75,9200.0
1993-06-04,22.75,23.25,21.0,21.5,59600.0
1993-06-07,21.5,22.0,21.25,22.0,51700.0
1993-06-08,21.5,21.5,19.5,20.25,110600.0
1993-06-09,21.0,21.5,20.25,21.0,49800.0
1993-06-10,21.0,21.75,21.0,21.5,8900.0
1993-06-11,22.25,23.5,22.0,23.5,29500.0
1993-06-14,23.5,24.5,23.0,24.25,157500.0
1993-06-15,24.5,24.75,24.0,24.5,46400.0
1993-06-16,24.75,26.75,24.5,26.5,108600.0
1993-06-17,26.25,26.5,26.0,26.5,128100.0
1993-06-18,26.0,26.5,26.0,26.38,19400.0
1993-06-21,27.0,28.5,26.25,28.0,42100.0
1993-06-22,28.5,30.5,27.5,27.75,97600.0
1993-06-23,29.0,29.0,28.25,29.0,95600.0
1993-06-24,29.0,30.75,28.0,30.0,35600.0
1993-06-25,30.5,30.5,29.75,29.75,61200.0
1993-06-28,29.88,30.25,29.75,29.75,16800.0
1993-06-29,30.25,30.25,29.0,29.0,15300.0
1993-06-30,28.5,29.25,28.5,29.25,4600.0
1993-07-01,28.5,29.0,28.5,28.5,5500.0
1993-07-02,29.25,29.25,28.25,29.0,33400.0
1993-07-06,28.25,29.0,28.25,28.25,7200.0
1993-07-07,29.0,29.0,28.0,28.0,16400.0
1993-07-08,28.0,28.75,28.0,28.75,19600.0
1993-07-09,28.75,28.75,28.0,28.5,19000.0
1993-07-12,29.0,29.0,28.0,28.75,30400.0
1993-07-13,28.75,28.75,28.0,28.0,35900.0
1993-07-14,29.75,31.0,28.88,30.25,517200.0
