date,open,high,low,close,volume
2013-07-25,30.57,31.19,30.53,31.14,6261584.0
2013-07-26,30.83,31.59,30.8,31.58,9684257.0
2013-07-29,31.45,31.7,31.26,31.61,7935483.0
2013-07-30,31.81,31.86,30.99,31.05,11777504.0
2013-07-31,31.04,31.5,31.0,31.27,8421087.0
2013-08-01,31.57,31.78,31.31,31.71,6575976.0
2013-08-02,31.67,32.0,31.48,31.94,6154705.0
2013-08-05,31.76,31.86,31.48,31.77,5360411.0
2013-08-06,31.53,31.92,31.5,31.86,6696129.0
2013-08-07,31.91,31.91,31.14,31.26,10774168.0
2013-08-08,31.95,32.91,31.57,32.7,19184463.0
2013-08-09,32.5,32.7,31.97,32.16,6977268.0
2013-08-12,31.96,32.09,31.59,31.88,8374505.0
2013-08-13,32.0,32.32,31.89,32.08,6960021.0
2013-08-14,31.96,31.99,31.59,31.6,7536720.0
2013-08-15,31.26,31.34,30.91,31.17,13443977.0
2013-08-16,31.06,31.17,30.73,30.96,10802163.0
2013-08-19,30.99,31.02,30.6,30.66,8261831.0
2013-08-20,30.7,31.03,30.59,30.75,6759997.0
2013-08-21,30.7,31.01,30.46,30.52,9596118.0
2013-08-22,30.57,32.56,30.4,31.1,8751159.0
2013-08-23,31.2,31.45,30.95,31.32,7501785.0
2013-08-26,31.22,31.3,30.64,30.71,7370310.0
2013-08-27,30.5,30.81,30.4,30.7,6610174.0
2013-08-28,30.6,30.9,30.18,30.55,7846732.0
2013-08-29,30.34,30.87,30.15,30.7,7853980.0
2013-08-30,30.64,30.98,30.55,30.67,7074367.0
2013-09-03,31.14,31.24,30.53,30.79,8797452.0
2013-09-04,30.69,31.19,30.66,30.88,10755071.0
2013-09-05,30.88,30.95,30.7,30.74,6454285.0
2013-09-06,30.9,31.21,30.43,30.94,7505064.0
2013-09-09,30.91,31.15,30.79,31.11,6149078.0
2013-09-10,31.33,31.46,30.69,31.04,7238199.0
2013-09-11,31.29,31.34,30.75,31.29,7817259.0
2013-09-12,31.34,31.37,31.08,31.27,8244764.0
2013-09-13,31.33,31.57,31.21,31.55,6413701.0
2013-09-16,31.73,31.96,31.64,31.86,9362222.0
2013-09-17,31.78,32.09,31.67,31.98,7037409.0
2013-09-18,31.9,32.93,31.84,32.73,9610933.0
2013-09-19,32.77,33.08,32.5,32.94,10966147.0
2013-09-20,32.9,32.9,32.25,32.3,13788905.0
2013-09-23,31.77,32.34,31.7,31.94,9345500.0
2013-09-24,31.95,32.35,31.9,32.05,6386992.0
2013-09-25,30.05,32.35,30.05,32.1,9245556.0
2013-09-26,32.04,32.12,31.82,31.97,4814072.0
2013-09-27,31.72,32.11,31.66,31.8,6117713.0
2013-09-30,31.49,31.8,30.88,31.42,9312352.0
2013-10-01,31.31,31.41,30.66,30.85,13295911.0
2013-10-02,30.72,30.85,30.06,30.65,12444400.0
2013-10-03,30.54,30.69,30.34,30.54,7673924.0
2013-10-04,30.48,31.13,30.48,30.86,7586433.0
2013-10-07,30.49,30.91,30.33,30.76,5538386.0
2013-10-08,30.79,31.05,30.68,30.69,7420943.0
2013-10-09,30.84,30.99,30.55,30.61,6382855.0
2013-10-10,30.92,31.35,30.76,31.2,6802097.0
2013-10-11,31.17,31.22,30.69,30.85,11680346.0
2013-10-14,30.76,30.91,30.42,30.68,13221826.0
2013-10-15,30.73,30.84,30.42,30.56,7327171.0
2013-10-16,30.85,31.5,30.72,31.43,9201846.0
2013-10-17,31.33,32.34,31.17,32.29,9984099.0
2013-10-18,32.28,32.49,32.08,32.44,9648134.0
2013-10-21,32.36,32.5,32.28,32.49,6225365.0
2013-10-22,32.58,33.58,32.48,33.26,10314778.0
2013-10-23,33.1,33.35,33.05,33.1,9391815.0
2013-10-24,33.09,33.28,32.82,33.25,6186680.0
2013-10-25,33.36,33.5,33.01,33.48,5974556.0
2013-10-28,33.34,33.89,33.32,33.57,8031970.0
2013-10-29,33.72,33.93,33.55,33.9,6166914.0
2013-10-30,34.0,34.1,33.64,33.83,8489817.0
2013-10-31,33.75,33.97,33.29,33.65,11708200.0
2013-11-01,33.75,33.79,33.42,33.59,7890037.0
2013-11-04,33.63,33.87,33.33,33.61,7152951.0
2013-11-05,33.41,33.66,33.24,33.44,5168479.0
2013-11-06,33.16,33.49,32.99,33.44,8739082.0
2013-11-07,33.23,33.23,31.79,32.09,20954449.0
2013-11-08,32.03,32.82,31.76,32.68,13419455.0
2013-11-11,32.72,32.89,32.29,32.36,11407921.0
2013-11-12,32.33,32.51,32.07,32.43,6889862.0
2013-11-13,33.24,33.33,32.68,33.31,12740702.0
2013-11-14,33.42,34.25,33.31,34.16,12942093.0
2013-11-15,33.99,34.3,33.84,34.05,11386997.0
2013-11-18,33.98,34.21,33.83,33.96,7306444.0
2013-11-19,33.66,34.06,33.52,33.72,5317327.0
2013-11-20,33.77,34.01,33.43,33.49,6343076.0
2013-11-21,33.53,33.95,33.38,33.85,5842236.0
2013-11-22,33.62,34.16,33.58,33.89,7131724.0
2013-11-25,34.09,34.14,33.54,33.61,6454130.0
2013-11-26,33.68,34.2,33.6,33.89,7248184.0
2013-11-27,33.8,34.04,33.5,33.98,5732820.0
2013-11-29,33.73,33.97,33.14,33.53,4302865.0
2013-12-02,33.6,33.66,33.22,33.44,5648516.0
2013-12-03,34.0,34.39,33.69,33.9,10370637.0
2013-12-04,33.57,34.31,33.42,34.27,9203770.0
2013-12-05,34.09,34.44,33.85,34.4,8710304.0
2013-12-06,34.86,35.13,34.63,35.09,10179239.0
2013-12-09,35.08,35.2,34.62,34.69,10205601.0
2013-12-10,34.6,34.67,34.0,34.06,9183501.0
2013-12-11,34.18,34.5,34.02,34.08,7276233.0
2013-12-12,33.82,34.22,33.69,33.98,11766882.0
2013-12-13,34.22,34.23,33.71,33.85,6484449.0
2013-12-16,33.85,34.13,33.76,33.85,5528994.0
2013-12-17,33.77,34.13,33.71,33.96,7640079.0
2013-12-18,33.96,34.67,33.5,34.64,9594273.0
