date,open,high,low,close,volume
2009-09-16,33.77,34.69,33.63,34.23,541318.0
2009-09-17,33.77,34.69,33.63,34.23,541318.0
2009-09-18,33.77,34.69,33.63,34.23,541318.0
2009-09-21,36.75,37.5,35.95,37.29,449227.0
2009-09-22,37.5,38.18,37.03,37.99,528151.0
2009-09-23,38.0,38.78,37.75,38.21,459822.0
2009-09-24,38.5,38.8,36.12,38.53,1662143.0
2009-09-25,38.46,38.48,37.71,38.08,141821.0
2009-09-28,38.46,38.48,37.71,38.08,141821.0
2009-09-29,38.86,39.88,38.68,38.91,325641.0
2009-09-30,39.14,39.49,37.58,38.46,368920.0
2009-10-01,38.1,38.34,36.94,37.0,871759.0
2009-10-02,36.38,37.67,36.1,36.98,707994.0
2009-10-05,37.66,39.6,37.45,39.5,699690.0
2009-10-06,39.69,40.92,39.63,40.84,736441.0
2009-10-07,40.75,40.99,40.19,40.75,465223.0
2009-10-08,40.93,41.7,40.65,40.7,485663.0
2009-10-09,40.55,41.74,40.55,41.66,452796.0
2009-10-12,42.16,42.42,40.75,41.18,517539.0
2009-10-13,41.44,41.95,40.6,41.83,541614.0
2009-10-14,42.0,42.45,41.75,42.1,723831.0
2009-10-15,41.7,42.23,41.11,41.81,374172.0
2009-10-16,41.61,42.0,41.32,41.76,284604.0
2009-10-19,41.81,42.24,41.34,41.75,394988.0
2009-10-20,41.98,41.98,40.3,40.78,816388.0
2009-10-21,40.52,41.18,39.87,40.07,511364.0
2009-10-22,39.84,40.3,39.23,40.13,468420.0
2009-10-23,40.74,41.43,40.25,40.49,540353.0
2009-10-26,41.0,41.0,39.41,40.62,326505.0
2009-10-27,40.23,40.33,37.13,37.89,920223.0
2009-10-28,37.5,38.08,34.81,35.6,1230852.0
2009-10-29,35.8,37.67,35.8,37.23,410471.0
2009-10-30,37.08,37.17,35.02,35.79,505376.0
2009-11-02,36.33,38.71,36.33,37.56,586214.0
2009-11-03,37.1,38.08,37.02,37.71,248392.0
2009-11-04,38.7,39.48,38.26,38.69,434710.0
2009-11-05,40.69,44.18,40.56,43.3,1763269.0
2009-11-06,43.78,45.2,43.29,44.88,722528.0
2009-11-09,45.42,45.43,43.42,44.56,625828.0
2009-11-10,42.99,44.57,42.73,44.14,1028584.0
2009-11-11,44.99,45.93,44.16,44.77,507007.0
2009-11-12,44.88,45.93,44.68,45.07,542725.0
2009-11-13,45.39,45.81,44.05,44.99,320452.0
2009-11-16,45.5,45.5,44.21,44.8,638076.0
2009-11-17,44.55,45.5,44.55,45.45,299875.0
2009-11-18,45.55,47.75,45.26,46.17,776537.0
2009-11-19,46.92,47.45,45.38,45.79,509015.0
2009-11-20,45.55,45.91,44.74,45.07,474098.0
2009-11-23,45.75,49.45,45.75,48.3,1197279.0
2009-11-24,48.75,48.85,47.51,48.07,385356.0
2009-11-25,48.36,49.21,47.78,49.15,646270.0
2009-11-27,47.17,49.07,46.54,48.59,427129.0
2009-11-30,49.43,50.8,48.63,49.01,1137170.0
2009-12-01,50.25,52.31,49.6,52.08,988129.0
2009-12-02,52.29,54.4,52.15,54.35,999859.0
2009-12-03,54.48,55.62,52.67,52.71,990470.0
2009-12-04,53.28,54.71,49.24,51.61,1472957.0
2009-12-07,50.0,50.44,48.8,49.54,1220941.0
2009-12-08,49.01,49.86,46.65,49.75,1109496.0
2009-12-09,48.61,49.54,47.72,49.05,760712.0
2009-12-10,49.36,51.31,48.5,48.74,834919.0
2009-12-11,48.94,49.62,48.05,48.63,558373.0
2009-12-14,48.87,49.86,48.02,49.45,567215.0
2009-12-15,49.0,51.09,48.64,48.7,764676.0
2009-12-16,48.3,49.72,48.1,48.93,590101.0
2009-12-17,48.64,49.31,48.08,49.11,438708.0
2009-12-18,49.54,49.54,48.08,49.01,413426.0
2009-12-21,49.5,51.81,49.29,51.54,706734.0
2009-12-22,52.05,53.21,52.0,52.81,714503.0
2009-12-23,53.17,54.22,53.01,54.06,365780.0
2009-12-24,54.26,55.05,54.12,54.28,167565.0
2009-12-28,54.76,55.75,53.8,54.06,330115.0
2009-12-29,54.09,54.9,52.05,52.57,483922.0
2009-12-30,52.42,52.69,51.04,52.0,440252.0
2009-12-31,52.07,52.66,51.62,51.83,263971.0
2010-01-04,50.9,50.9,48.73,50.4,875449.0
2010-01-05,50.55,52.04,49.9,51.88,508072.0
2010-01-06,51.88,52.4,51.02,51.22,361983.0
2010-01-07,51.11,51.62,49.28,50.35,449676.0
2010-01-08,50.0,51.0,49.99,50.44,298430.0
2010-01-11,50.0,50.0,44.87,45.79,3239615.0
2010-01-12,43.56,46.7,43.05,45.11,1626471.0
2010-01-13,45.0,45.7,44.25,45.17,799130.0
2010-01-14,44.99,44.99,43.36,43.36,1008279.0
2010-01-15,43.17,43.17,41.51,42.32,1589257.0
2010-01-19,42.06,43.69,42.06,43.19,824163.0
2010-01-20,43.29,43.29,41.55,42.24,639125.0
2010-01-21,42.31,43.47,41.02,41.4,813735.0
2010-01-22,41.3,41.84,39.9,40.56,664193.0
2010-01-25,41.2,41.71,39.06,39.58,621618.0
2010-01-26,39.42,39.88,38.38,38.61,752887.0
2010-01-27,38.56,39.79,38.24,39.64,651705.0
2010-01-28,39.88,40.29,37.73,38.5,584444.0
2010-01-29,38.69,39.5,37.59,38.04,582784.0
2010-02-01,38.51,38.94,37.86,38.45,583905.0
2010-02-04,40.27,40.27,36.44,36.44,1618316.0
2010-02-05,36.68,37.47,35.5,36.42,1088966.0
2010-02-08,36.5,37.61,36.09,36.37,547900.0
2010-02-09,36.84,37.57,36.12,36.92,601729.0
2010-02-10,36.81,37.25,36.03,36.39,366715.0
2010-02-11,36.44,38.13,36.27,38.04,643048.0
2010-02-12,37.58,38.68,37.2,38.68,538405.0
2010-02-16,39.11,39.65,38.82,39.65,515707.0
2010-02-17,39.91,40.3,39.19,40.22,730493.0
2010-02-18,40.18,41.67,39.75,41.59,622133.0
2010-02-19,41.59,42.16,40.76,41.74,689392.0
2010-02-22,42.14,42.4,40.75,40.93,1253975.0
2010-02-23,36.9,39.08,36.75,38.05,2687059.0
2010-02-24,38.32,39.76,38.01,39.7,941790.0
2010-02-25,38.9,40.13,38.5,40.04,572757.0
2010-02-26,40.1,41.57,39.7,41.14,554669.0
2010-03-01,41.55,42.87,41.29,42.74,581902.0
2010-03-02,42.85,43.56,42.16,42.45,646791.0
2010-03-03,42.42,43.79,42.4,43.06,480006.0
2010-03-04,43.06,43.43,42.35,43.39,402918.0
2010-03-05,43.75,44.84,43.52,44.65,553710.0
2010-03-08,44.86,45.85,44.5,45.44,414785.0
2010-03-09,45.41,46.75,45.02,46.44,630620.0
2010-03-10,46.69,47.5,46.63,46.72,444616.0
2010-03-11,46.6,47.27,45.62,47.23,540911.0
2010-03-12,47.65,48.81,47.29,48.65,632660.0
2010-03-15,48.5,48.5,46.04,46.47,676954.0
2010-03-16,46.52,46.94,45.6,46.33,549068.0
2010-03-17,46.37,48.02,46.25,47.33,315882.0
2010-03-18,47.52,47.68,46.8,47.25,181682.0
2010-03-19,47.38,47.64,46.15,46.26,405199.0
2010-03-22,46.01,46.99,44.66,46.87,443628.0
2010-03-23,46.86,47.3,46.51,47.1,227854.0
2010-03-24,47.0,48.13,46.66,46.72,229712.0
2010-03-25,47.28,47.85,46.46,46.51,381779.0
2010-03-26,46.52,47.0,45.84,46.75,428505.0
2010-03-29,46.97,48.45,46.96,47.89,389580.0
2010-03-30,48.1,48.67,47.67,47.93,227694.0
2010-03-31,47.87,48.75,47.5,48.21,319102.0
2010-04-01,48.64,50.0,48.46,49.3,554048.0
2010-04-05,49.74,50.0,48.74,49.38,357961.0
2010-04-06,49.19,50.4,48.56,49.97,269075.0
2010-04-07,49.66,49.78,47.67,48.08,375219.0
2010-04-08,47.3,48.4,46.3,47.94,538195.0
2010-04-09,47.83,48.99,47.32,48.91,529139.0
2010-04-12,49.0,51.75,48.74,51.47,2266178.0
2010-04-13,51.73,51.87,50.75,51.0,802897.0
2010-04-14,51.49,52.08,51.07,51.59,636067.0
2010-04-19,50.77,51.29,48.98,49.25,727926.0
2010-04-20,49.64,50.54,49.39,50.14,344078.0
2010-04-21,51.53,52.35,50.12,51.18,674922.0
2010-04-22,50.76,51.97,49.68,51.87,647840.0
2010-04-23,52.04,53.76,52.04,53.72,616695.0
2010-04-26,53.81,54.88,53.59,53.67,381195.0
2010-04-27,53.58,53.61,51.26,51.45,440808.0
2010-04-28,51.66,52.25,49.88,50.73,512939.0
2010-04-29,51.16,52.0,51.08,51.56,491812.0
2010-04-30,51.72,52.12,50.42,50.42,385789.0
2010-05-03,50.79,51.4,50.25,51.02,589408.0
2010-05-04,50.84,51.29,48.86,49.44,601082.0
2010-05-05,48.27,48.56,46.07,47.37,802969.0
2010-05-06,47.5,48.12,41.0,44.79,1251914.0
2010-05-07,48.2,49.0,44.49,46.01,1290523.0
2010-05-10,48.79,49.95,48.79,49.95,855234.0
2010-05-11,49.67,51.9,48.79,51.03,598798.0
2010-05-12,51.33,53.74,51.02,53.08,601713.0
2010-05-13,53.07,55.7,52.57,53.05,1242690.0
2010-05-14,52.41,52.64,50.57,51.28,562729.0
2010-05-17,51.5,52.0,49.16,49.91,652226.0
2010-05-18,50.73,51.51,48.97,49.35,781219.0
2010-05-19,49.1,50.6,47.31,49.08,769722.0
2010-05-20,47.42,48.02,44.82,46.33,1319834.0
2010-05-21,45.26,49.0,44.73,48.36,906535.0
2010-05-24,47.94,48.99,46.93,46.93,617205.0
2010-05-25,45.0,47.7,44.6,47.46,565510.0
2010-05-26,48.19,50.45,48.0,49.36,852323.0
2010-05-27,50.98,52.25,50.3,51.46,603373.0
2010-05-28,51.15,52.54,51.0,51.87,583511.0
2010-06-01,51.49,52.39,50.53,50.99,767958.0
2010-06-02,51.1,53.3,50.63,53.3,407633.0
2010-06-03,54.39,56.16,54.03,55.9,887965.0
2010-06-04,54.59,55.94,53.46,54.05,813535.0
2010-06-07,53.33,54.0,50.52,51.02,789422.0
2010-06-08,51.15,52.55,50.0,51.65,560248.0
2010-06-09,52.4,54.83,51.92,53.16,751970.0
2010-06-10,54.65,57.35,54.36,57.3,1216497.0
2010-06-11,56.8,58.81,56.55,57.8,1364922.0
2010-06-14,58.01,59.49,57.27,57.84,1018826.0
2010-06-15,58.82,60.97,58.49,60.23,1124461.0
2010-06-16,59.77,62.14,59.27,60.6,789786.0
2010-06-17,61.43,61.7,59.69,60.75,880012.0
2010-06-18,60.99,60.99,58.47,59.23,986218.0
2010-06-21,60.74,62.09,59.82,60.63,1036395.0
2010-06-22,60.93,62.0,57.05,57.52,1504699.0
2010-06-23,57.12,58.41,55.1,57.59,1218014.0
2010-06-24,57.5,57.6,56.26,56.85,798433.0
2010-06-25,56.89,59.0,56.02,58.15,4723708.0
2010-06-28,58.69,59.2,56.49,57.22,829574.0
2010-06-29,55.5,56.01,53.63,54.12,977602.0
2010-06-30,54.21,55.2,52.4,52.55,1580594.0
2010-07-01,52.4,52.96,49.55,52.6,1029102.0
2010-07-02,52.84,53.13,51.18,52.13,575669.0
2010-07-06,55.06,55.08,52.47,53.22,707485.0
2010-07-07,53.52,55.53,53.32,55.42,626553.0
2010-07-08,56.32,58.27,56.27,57.79,1345764.0
2010-07-09,58.28,59.4,57.38,59.12,701901.0
2010-07-12,59.37,59.64,58.05,58.85,930601.0
2010-07-13,60.0,61.0,59.57,60.56,792071.0
2010-07-14,60.45,61.03,59.83,61.0,749557.0
2010-07-15,61.39,62.46,60.4,62.28,676383.0
2010-07-16,60.11,60.85,57.59,58.1,1172067.0
2010-07-19,57.79,60.02,57.62,59.9,843328.0
2010-07-20,58.82,60.19,57.89,60.0,720499.0
2010-07-21,60.3,60.7,58.54,58.92,449321.0
2010-07-22,59.7,60.25,58.6,60.05,588323.0
2010-07-23,59.78,61.55,59.64,61.47,789055.0
2010-07-26,62.77,65.99,62.65,65.15,1418637.0
2010-07-27,65.46,65.84,63.75,64.0,948232.0
2010-07-28,63.74,64.0,62.0,62.41,508090.0
2010-07-29,62.62,63.66,60.49,60.6,705722.0
2010-07-30,59.48,61.26,58.35,60.5,1169514.0
2010-08-02,62.28,62.28,59.8,60.34,937680.0
2010-08-03,61.39,62.57,60.14,62.26,1033512.0
2010-08-04,62.98,63.49,61.58,62.68,881948.0
2010-08-05,59.0,64.6,58.25,63.97,2430228.0
2010-08-06,64.39,67.2,63.14,65.83,2231436.0
2010-08-09,67.76,68.48,67.25,67.84,1399840.0
2010-08-10,67.17,68.67,65.56,67.81,856935.0
2010-08-11,65.22,66.26,63.61,65.62,940871.0
2010-08-12,64.2,67.4,64.17,66.42,683141.0
2010-08-13,66.66,67.01,65.36,65.53,361646.0
2010-08-16,64.91,67.94,64.53,67.0,549974.0
2010-08-17,68.19,70.32,67.85,69.23,1712995.0
2010-08-18,69.83,70.25,68.65,69.89,679891.0
2010-08-19,69.01,69.42,67.64,67.7,782358.0
2010-08-20,67.8,69.81,67.11,69.66,668448.0
2010-08-23,70.33,70.95,67.75,68.09,688163.0
2010-08-24,66.0,67.64,65.61,65.92,674493.0
2010-08-25,65.0,65.63,62.2,63.59,1829147.0
2010-08-26,64.4,65.77,64.07,64.31,884740.0
2010-08-27,65.28,66.54,63.86,66.38,590206.0
2010-08-30,66.4,66.65,64.6,64.74,275182.0
2010-08-31,64.14,66.04,62.84,65.94,575740.0
2010-09-01,67.03,69.09,66.65,68.4,600151.0
2010-09-02,68.4,71.1,68.0,69.89,832999.0
2010-09-03,71.45,72.87,70.01,70.37,752699.0
2010-09-07,70.25,71.34,69.03,70.24,492247.0
2010-09-08,70.71,72.32,70.54,71.41,325416.0
2010-09-09,72.76,73.0,70.5,71.26,325459.0
2010-09-10,71.56,72.68,69.87,72.51,580009.0
2010-09-13,73.01,74.78,72.0,74.58,816497.0
2010-09-14,74.45,74.45,73.13,73.77,633787.0
2010-09-15,73.27,74.77,73.17,74.35,361542.0
2010-09-16,74.62,74.62,73.72,73.74,388233.0
2010-09-17,71.56,72.86,70.65,72.48,821811.0
2010-09-20,71.0,73.26,71.0,72.73,779893.0
2010-09-21,72.6,73.8,71.42,72.18,620224.0
2010-09-22,72.15,72.33,70.52,71.75,439705.0
2010-09-23,71.18,71.97,70.5,70.93,458020.0
2010-09-24,72.05,73.0,71.36,71.9,464194.0
2010-09-27,72.75,76.75,72.12,74.98,1419676.0
2010-09-28,76.81,76.81,72.59,74.9,1127791.0
2010-09-29,74.93,75.5,74.28,75.14,454935.0
2010-09-30,76.08,76.25,71.39,72.18,1087559.0
2010-10-01,73.03,73.53,71.25,71.35,792869.0
2010-10-04,71.35,71.52,65.65,66.79,2275707.0
2010-10-05,67.16,69.21,67.02,68.1,1268842.0
2010-10-06,68.89,68.89,63.65,64.32,1489479.0
2010-10-07,64.32,65.39,63.0,64.45,914449.0
2010-10-08,64.98,66.64,63.67,65.4,809183.0
2010-10-11,65.41,66.0,64.5,64.77,454234.0
2010-10-12,62.31,65.39,60.2,64.77,2490110.0
2010-10-13,62.31,65.39,60.2,64.77,2490110.0
2010-10-14,62.31,65.39,60.2,64.77,2490110.0
2010-10-15,65.32,66.15,64.11,65.26,848988.0
2010-10-18,65.21,65.48,62.43,62.94,885388.0
2010-10-19,61.76,62.16,60.25,60.65,1548612.0
2010-10-20,60.81,62.4,60.45,61.99,614598.0
2010-10-21,61.3,62.11,60.75,61.38,656132.0
2010-10-22,61.01,63.22,61.01,63.02,729340.0
2010-10-25,62.82,65.62,62.7,65.0,1125384.0
2010-10-26,64.99,64.99,63.37,64.17,521676.0
2010-10-27,64.08,66.99,63.91,66.55,1142356.0
2010-10-28,67.0,67.12,64.8,66.01,697656.0
2010-10-29,66.07,66.96,65.84,66.14,464082.0
2010-11-01,66.27,66.85,64.01,64.38,621274.0
2010-11-02,64.26,64.47,62.59,63.46,781699.0
2010-11-03,63.05,65.15,62.67,64.66,1073814.0
2010-11-04,62.76,64.75,60.91,61.68,2897392.0
2010-11-05,61.91,61.98,59.78,61.24,1960643.0
2010-11-08,60.53,65.37,60.5,65.12,1150226.0
2010-11-09,65.46,65.46,61.01,61.18,1527117.0
2010-11-10,61.13,62.21,58.5,58.66,2405229.0
2010-11-11,57.92,59.33,56.6,58.0,1485477.0
2010-11-12,57.56,60.27,57.53,58.33,831849.0
2010-11-15,58.58,60.45,58.3,59.85,1200245.0
2010-11-16,60.93,61.21,60.01,60.56,1524766.0
2010-11-17,60.67,62.0,60.46,61.17,806922.0
2010-11-18,62.43,62.87,62.0,62.12,647402.0
2010-11-19,62.23,63.64,61.83,63.02,667582.0
2010-11-22,63.08,64.97,63.02,64.87,674726.0
2010-11-23,64.42,64.44,63.08,63.96,580449.0
2010-11-24,64.48,64.91,64.23,64.79,461218.0
2010-11-26,64.08,66.0,64.0,65.99,297556.0
2010-11-29,65.82,66.63,64.84,65.69,793799.0
2010-11-30,65.0,65.0,63.34,63.62,578167.0
2010-12-01,64.79,66.82,64.44,66.68,832790.0
2010-12-02,67.0,70.32,67.0,68.67,1233544.0
2010-12-03,68.35,69.97,67.7,69.36,688444.0
2010-12-06,69.02,70.49,68.92,69.8,406133.0
2010-12-07,68.8,69.62,67.85,67.94,91232.0
2010-12-08,68.8,69.62,67.85,68.43,313206.0
2010-12-09,68.76,69.32,66.88,67.45,495666.0
2010-12-10,68.86,68.86,67.65,68.11,444436.0
2010-12-13,68.0,72.73,66.14,72.48,2824884.0
2010-12-14,73.05,73.88,70.61,70.84,1237476.0
2010-12-15,70.5,72.79,69.65,69.68,777327.0
2010-12-16,69.78,70.01,68.3,68.96,593775.0
2010-12-17,69.35,70.18,68.55,70.05,497629.0
2010-12-20,70.25,70.73,67.76,68.0,868480.0
2010-12-21,68.35,69.28,67.78,68.99,549727.0
2010-12-22,68.76,69.53,66.7,69.25,578566.0
2010-12-23,69.27,69.96,69.01,69.86,365327.0
2010-12-27,69.81,69.81,68.41,69.59,547584.0
2010-12-28,69.88,70.4,68.52,68.93,499285.0
2010-12-29,69.21,70.54,68.78,69.82,408673.0
2010-12-30,69.21,70.9,69.21,70.18,311283.0
2010-12-31,70.32,70.6,64.87,66.64,1555106.0
2011-01-03,69.45,70.55,68.75,70.11,973300.0
2011-01-04,70.44,71.33,68.98,70.64,732764.0
2011-01-05,70.53,72.29,69.61,72.11,469966.0
2011-01-06,71.93,75.88,71.86,74.54,1072298.0
2011-01-07,74.76,75.32,72.16,73.85,609175.0
2011-01-10,75.93,75.95,73.69,74.32,336858.0
2011-01-11,75.0,75.95,74.0,74.2,179827.0
2011-01-12,74.89,74.89,72.89,73.29,334466.0
2011-01-13,73.11,73.99,72.57,73.35,315789.0
2011-01-14,73.53,75.57,72.14,75.2,461724.0
2011-01-18,75.25,79.37,75.2,75.22,1430431.0
2011-01-19,75.51,75.53,72.57,73.15,916624.0
2011-01-20,72.58,72.58,69.16,70.94,940060.0
2011-01-21,71.41,72.2,70.35,70.97,480241.0
2011-01-24,70.89,71.66,70.04,71.34,333643.0
2011-01-25,69.49,70.3,68.51,69.92,575615.0
2011-01-26,69.49,70.29,68.51,69.92,557828.0
2011-01-27,70.5,70.89,69.96,70.13,436528.0
2011-01-28,69.52,70.79,67.09,67.14,851402.0
2011-01-31,68.7,68.7,67.05,67.78,560035.0
2011-02-01,68.62,69.98,68.0,68.76,427825.0
2011-02-02,68.59,70.53,68.12,69.68,345446.0
2011-02-03,69.54,69.88,68.18,68.64,204607.0
2011-02-04,68.85,69.65,67.6,69.52,213437.0
2011-02-07,69.45,70.25,69.09,69.96,305154.0
2011-02-08,69.81,69.81,68.55,69.1,267514.0
2011-02-09,68.6,69.75,68.46,68.78,236689.0
2011-02-10,68.17,70.6,67.63,70.42,366560.0
2011-02-11,70.25,72.8,70.25,72.11,409459.0
2011-02-14,72.36,73.76,71.85,72.73,265334.0
2011-02-15,72.35,72.93,71.03,72.08,257758.0
2011-02-16,72.29,73.01,71.86,72.85,187812.0
2011-02-17,72.5,75.14,72.1,73.98,332851.0
2011-02-18,74.15,74.49,72.39,72.8,391895.0
2011-02-22,71.84,71.85,68.56,68.85,633957.0
2011-02-23,68.8,68.85,65.45,67.05,1166019.0
2011-02-24,68.48,68.48,65.9,67.1,1192930.0
2011-02-25,67.98,68.99,66.08,66.25,769815.0
2011-02-28,66.16,67.34,64.5,65.78,1035043.0
2011-03-01,67.0,67.47,64.53,65.47,1139830.0
2011-03-02,65.01,66.88,64.57,65.37,988986.0
2011-03-03,65.9,66.7,65.41,66.39,728645.0
2011-03-04,66.2,67.31,65.46,67.01,577808.0
2011-03-07,67.0,69.12,66.74,68.55,970153.0
2011-03-08,67.04,70.28,67.04,69.51,557893.0
2011-03-09,69.5,70.44,68.71,69.53,582909.0
2011-03-10,68.93,69.31,67.26,68.28,483726.0
2011-03-11,67.6,68.32,67.12,67.76,352123.0
2011-03-14,67.4,68.04,66.84,67.57,336369.0
2011-03-15,65.66,67.99,65.07,67.39,409662.0
2011-03-16,67.21,67.91,64.98,65.99,511974.0
2011-03-17,66.75,66.88,65.78,66.3,302312.0
2011-03-18,67.44,67.44,64.9,64.97,498039.0
2011-03-21,65.49,66.8,64.25,66.42,396043.0
2011-03-22,66.39,67.97,65.68,67.27,436843.0
2011-03-23,67.2,68.32,66.58,68.01,196350.0
2011-03-24,68.52,73.38,67.93,72.98,1023890.0
2011-03-25,73.0,74.23,72.8,73.8,594473.0
2011-03-28,74.0,76.47,73.53,76.02,808900.0
2011-03-29,76.0,79.98,75.16,78.64,1834262.0
2011-03-30,79.0,80.99,77.97,80.65,980381.0
2011-03-31,80.91,82.03,79.41,81.63,795440.0
2011-04-01,81.79,84.3,80.73,82.95,890151.0
2011-04-04,83.92,87.38,83.64,85.34,1484805.0
2011-04-05,84.37,86.08,83.4,85.6,1020802.0
2011-04-06,86.8,86.94,81.3,83.73,841983.0
2011-04-07,84.23,85.24,83.08,84.57,462842.0
2011-04-08,85.29,86.8,84.71,85.39,454926.0
2011-04-11,85.53,86.45,84.53,85.5,362555.0
2011-04-12,84.98,85.5,82.31,82.72,536256.0
2011-04-13,83.18,86.64,83.15,85.34,1124720.0
2011-04-14,84.53,86.55,84.1,85.23,639794.0
2011-04-15,85.48,86.26,84.51,86.16,523971.0
2011-04-18,85.39,89.0,84.51,87.4,796796.0
2011-04-19,87.51,90.72,87.51,90.55,1262600.0
2011-04-20,91.94,92.49,88.57,89.22,875117.0
2011-04-21,89.45,90.33,87.56,89.94,519056.0
2011-04-25,90.02,90.74,88.54,89.93,540445.0
2011-04-26,90.49,91.19,88.95,89.81,332130.0
2011-04-27,89.32,91.48,87.81,90.8,500757.0
