date,open,high,low,close,volume
2000-06-30,55.23,59.0,50.75,57.0,3518000.0
2000-07-03,57.44,57.44,53.62,55.0,778800.0
2000-07-05,54.25,55.0,50.0,51.56,2986000.0
2000-07-06,51.62,52.0,42.25,45.5,3596000.0
2000-07-07,45.62,48.38,43.0,47.88,1938800.0
2000-07-10,47.5,54.56,45.5,49.88,2824400.0
2000-07-11,49.0,54.0,46.38,48.38,2786800.0
2000-07-13,59.75,63.75,54.06,60.38,5894400.0
2000-07-14,60.5,60.5,54.5,55.25,1805200.0
2000-07-17,55.75,60.62,52.0,59.19,1578000.0
2000-07-18,58.0,64.69,56.25,62.75,2166000.0
2000-07-19,63.25,68.0,60.75,66.12,3068800.0
2000-07-21,68.0,69.44,61.5,61.56,1402000.0
2000-07-24,66.06,66.06,55.0,55.0,3320800.0
2000-07-25,56.5,58.12,52.75,56.62,1588400.0
2000-07-26,56.75,56.75,50.75,52.69,1924400.0
2000-07-27,52.25,52.25,46.5,48.31,2432000.0
2000-07-28,49.38,49.5,45.0,49.5,1814000.0
2000-07-31,49.81,50.12,45.5,45.69,1662000.0
2000-08-01,46.5,47.0,43.0,43.19,894400.0
2000-08-02,43.12,46.5,41.62,46.0,1896800.0
2000-08-03,45.0,53.62,44.31,53.62,1499200.0
2000-08-04,52.44,57.75,52.44,57.75,1474800.0
2000-08-07,58.81,59.0,53.31,55.0,492400.0
2000-08-08,55.25,56.88,54.0,54.0,323600.0
2000-08-09,55.06,56.0,52.0,52.62,369200.0
2000-08-10,53.31,53.31,50.0,52.0,300400.0
2000-08-11,52.0,52.75,49.56,51.88,134000.0
2000-08-14,51.25,52.0,49.5,49.88,593200.0
2000-08-15,49.75,51.38,49.0,51.0,204000.0
2000-08-16,51.19,55.12,51.0,54.88,740800.0
2000-08-17,55.0,55.25,51.25,52.88,575200.0
2000-08-18,52.88,54.0,51.0,52.23,198800.0
2000-08-21,52.25,55.5,51.25,55.0,263200.0
2000-08-22,54.0,57.88,54.0,55.88,379600.0
2000-08-23,55.88,56.06,52.75,53.5,454400.0
2000-08-24,53.28,56.0,53.0,55.12,1924000.0
2000-08-25,55.75,57.19,53.12,55.38,1748000.0
2000-08-30,66.06,74.69,66.0,70.25,1767200.0
2000-08-31,70.12,73.94,69.75,71.38,850800.0
2000-09-01,72.62,73.31,70.12,71.75,467600.0
2000-09-05,70.62,77.75,70.25,74.88,1028000.0
2000-09-06,74.5,85.25,74.5,83.0,2685600.0
2000-09-07,83.19,97.25,81.5,95.5,2757200.0
2000-09-08,98.12,101.19,93.0,94.88,3938400.0
2000-09-11,93.0,94.94,86.38,93.88,3260400.0
2000-09-12,93.88,103.31,91.5,98.81,2206000.0
2000-09-13,98.0,105.0,96.94,101.5,1278400.0
2000-09-14,103.38,109.75,98.5,100.0,2366000.0
2000-09-15,101.5,102.0,96.62,97.06,563200.0
2000-09-18,93.88,101.38,89.56,89.88,1785200.0
2000-09-19,89.56,91.56,83.5,90.25,1632800.0
2000-09-20,90.12,97.0,89.5,93.5,1920800.0
2000-09-21,93.0,93.88,86.69,92.0,601200.0
2000-09-22,87.06,91.0,84.12,89.38,883200.0
2000-09-25,91.62,94.5,83.0,86.56,1111600.0
2000-09-26,84.5,86.0,76.0,81.12,1539600.0
2000-09-27,82.25,84.0,74.0,75.75,721200.0
2000-09-28,75.0,80.12,73.5,77.75,1638800.0
2000-09-29,77.5,79.0,74.88,77.12,1117600.0
2000-10-02,77.12,83.25,77.06,79.25,976800.0
2000-10-03,80.5,82.88,77.5,77.62,1291600.0
2000-10-04,76.38,76.69,71.0,74.75,1386400.0
2000-10-05,75.61,78.0,73.62,76.0,606000.0
2000-10-06,77.0,77.0,72.88,72.88,546400.0
2000-10-09,72.88,80.62,72.88,79.75,1023200.0
2000-10-10,79.5,82.62,79.12,79.88,1687200.0
2000-10-11,77.75,87.94,77.62,83.0,1465600.0
2000-10-12,87.11,87.12,81.75,84.56,708400.0
2000-10-13,84.5,92.5,84.5,90.75,640000.0
2000-10-16,91.5,91.52,79.06,81.75,540400.0
2000-10-17,63.56,63.56,55.12,57.06,24374000.0
2000-10-18,53.25,55.0,49.0,50.56,5658400.0
2000-10-19,53.97,56.25,53.0,55.31,4004000.0
2000-10-20,55.5,62.12,55.0,60.5,4702000.0
2000-10-23,60.19,60.25,56.06,59.69,1491200.0
2000-10-24,59.33,60.44,58.69,59.0,977200.0
2000-10-25,57.0,57.0,52.69,54.0,1446800.0
2000-10-26,54.88,54.88,50.5,51.25,2017600.0
2000-10-27,52.11,56.75,52.0,54.12,830000.0
2000-10-30,54.25,54.38,51.5,52.38,1358800.0
2000-10-31,53.02,57.44,52.62,55.75,1287600.0
2000-11-01,55.0,55.12,51.12,52.0,904400.0
2000-11-02,52.25,54.31,52.25,53.12,1970400.0
2000-11-03,54.0,54.0,52.56,53.0,662800.0
2000-11-06,53.25,56.0,53.0,53.88,400400.0
2000-11-07,50.48,50.5,48.25,48.81,1746000.0
2000-11-08,49.02,50.0,48.38,48.38,646000.0
2000-11-09,48.38,48.56,46.56,48.5,928400.0
2000-11-10,48.23,48.23,42.75,45.94,2156400.0
2000-11-13,45.75,47.75,43.12,46.56,403600.0
2000-11-14,47.75,49.5,47.0,48.38,350400.0
2000-11-15,49.56,51.0,47.38,49.75,611600.0
