date,open,high,low,close,volume
1986-03-13,25.5,29.25,25.5,28.0,1031788800.0
1986-03-14,28.0,29.5,28.0,29.0,308160000.0
1986-03-17,29.0,29.75,29.0,29.5,133171200.0
1986-03-18,29.5,29.75,28.5,28.75,67766400.0
1986-03-19,28.75,29.0,28.0,28.25,47894400.0
1986-03-20,28.25,28.25,27.25,27.5,58435200.0
1986-03-21,27.5,28.0,26.25,26.75,59990400.0
1986-03-24,26.75,26.75,25.75,26.0,65289600.0
1986-03-25,26.0,26.5,25.75,26.5,32083200.0
1986-03-26,26.5,27.5,26.25,27.25,22752000.0
1986-03-27,27.25,27.75,27.25,27.75,16848000.0
1986-03-31,27.75,27.75,27.0,27.5,12873600.0
1986-04-01,27.5,27.5,27.25,27.25,11088000.0
1986-04-02,27.25,28.0,27.25,27.5,27014400.0
1986-04-03,27.75,28.5,27.75,27.75,23040000.0
1986-04-04,27.75,28.0,27.75,27.75,26582400.0
1986-04-07,27.75,28.0,26.75,27.25,16560000.0
1986-04-08,27.25,28.0,27.25,27.5,10252800.0
1986-04-09,27.5,28.25,27.5,28.0,12153600.0
1986-04-10,28.0,28.5,27.5,28.25,13881600.0
1986-04-11,28.5,29.25,28.5,28.75,17222400.0
1986-04-14,28.75,29.25,28.75,29.0,12153600.0
1986-04-15,29.0,29.0,28.0,29.0,9302400.0
1986-04-16,29.0,30.25,28.75,30.0,31910400.0
1986-04-17,30.0,30.25,30.0,30.25,22003200.0
1986-04-18,30.25,30.25,29.0,29.25,21628800.0
1986-04-21,29.25,29.5,28.5,29.25,22924800.0
1986-04-22,29.25,29.25,28.75,28.75,15552000.0
1986-04-23,28.75,29.0,28.5,28.87,15609600.0
1986-04-24,28.87,32.25,28.75,31.75,62352000.0
1986-04-25,32.0,35.13,32.0,33.75,85795200.0
1986-04-28,33.75,34.25,33.5,34.0,28886400.0
1986-04-29,34.0,34.0,32.75,33.0,30326400.0
1986-04-30,33.0,33.25,31.5,32.25,30902400.0
1986-05-01,32.25,32.25,31.25,31.75,54345600.0
1986-05-02,31.75,32.25,31.5,31.75,20246400.0
1986-05-05,31.75,31.75,31.5,31.5,3254400.0
1986-05-06,31.75,32.25,31.75,31.75,9734400.0
1986-05-07,31.75,32.0,31.25,31.75,5155200.0
1986-05-08,31.75,32.0,31.5,32.0,3542400.0
1986-05-09,32.0,32.0,31.75,31.75,6076800.0
1986-05-12,31.75,32.75,31.75,32.0,10483200.0
