date,open,high,low,close,volume
1999-01-22,21.0,23.44,18.62,19.69,67867200.0
1999-01-25,21.25,22.0,19.69,21.75,12762000.0
1999-01-26,22.0,22.44,19.75,20.06,8580000.0
1999-01-27,20.12,20.62,19.0,20.0,6109200.0
1999-01-28,20.0,20.12,19.81,19.94,5688000.0
1999-01-29,19.94,20.0,19.0,19.0,6100800.0
1999-02-01,19.0,19.5,19.0,19.37,3867600.0
1999-02-02,19.0,19.5,17.31,17.87,6602400.0
1999-02-03,17.62,18.5,17.5,18.25,1878000.0
1999-02-04,18.5,19.75,18.25,19.25,4548000.0
1999-02-05,19.56,20.0,19.06,19.81,3421200.0
1999-02-08,19.94,20.0,19.12,19.12,3852000.0
1999-02-09,19.5,19.62,18.12,18.37,2174400.0
1999-02-10,18.37,18.87,17.87,18.19,3705600.0
1999-02-11,18.25,20.5,18.25,19.75,3306000.0
1999-02-12,20.0,21.0,20.0,20.87,2743200.0
1999-02-16,21.25,22.12,18.87,21.0,5275200.0
1999-02-17,20.5,20.75,19.5,19.87,1693200.0
1999-02-18,20.5,20.75,19.62,20.19,1767600.0
1999-02-19,20.0,21.25,19.75,20.87,1884000.0
1999-02-22,21.25,21.5,19.87,21.0,5131200.0
1999-02-23,21.5,22.44,20.25,22.0,3452400.0
1999-02-24,25.25,26.25,23.19,23.75,15319200.0
1999-02-25,24.75,25.5,22.62,23.0,3728400.0
1999-02-26,23.25,24.0,21.75,21.94,4315200.0
1999-03-01,22.5,23.0,21.0,22.06,2304000.0
1999-03-02,22.0,22.12,21.5,21.87,1381200.0
1999-03-03,22.0,22.0,20.25,20.37,1534800.0
1999-03-04,21.37,21.5,19.75,19.94,1434000.0
1999-03-05,20.12,21.12,20.12,21.06,1969200.0
1999-03-08,20.5,22.0,20.12,21.37,1897200.0
1999-03-09,21.31,22.37,21.31,22.06,3579600.0
1999-03-10,22.37,22.37,21.37,21.69,5883600.0
1999-03-11,21.31,21.69,20.75,20.75,1357200.0
1999-03-12,20.87,20.87,20.0,20.37,2269200.0
1999-03-15,20.87,21.5,20.75,21.25,2720400.0
1999-03-16,21.37,21.62,20.37,20.56,1978800.0
1999-03-17,20.75,21.12,20.19,20.69,1284000.0
1999-03-18,20.75,21.25,20.25,20.94,1158000.0
1999-03-19,20.87,21.62,20.87,21.0,2632800.0
1999-03-22,21.44,21.5,20.37,20.37,916800.0
1999-03-23,20.5,20.5,18.75,19.12,4099200.0
1999-03-24,19.0,19.12,18.25,19.0,1521600.0
1999-03-25,18.94,20.0,18.87,19.25,1008000.0
1999-03-26,19.5,21.0,19.5,20.94,2206800.0
1999-03-29,21.56,22.06,21.19,21.56,1648800.0
1999-03-30,21.62,21.81,19.62,19.75,1737600.0
1999-03-31,20.37,21.37,19.44,21.12,3840000.0
1999-04-01,21.12,21.25,20.12,20.5,760800.0
1999-04-05,20.25,20.75,19.75,19.87,2466000.0
1999-04-06,20.06,20.12,19.0,19.37,1742400.0
1999-04-07,19.5,21.12,19.37,21.0,2232000.0
1999-04-08,21.12,22.0,20.87,21.37,3253200.0
1999-04-09,21.5,21.5,20.87,21.0,1215600.0
1999-04-12,20.75,20.75,19.75,20.12,832800.0
1999-04-13,20.5,20.5,19.0,19.31,903600.0
1999-04-14,19.25,19.69,18.75,18.75,1207200.0
1999-04-15,19.25,19.25,18.75,19.25,896400.0
1999-04-16,19.12,20.19,19.12,19.87,973200.0
1999-04-19,20.12,20.12,18.75,19.0,782400.0
1999-04-20,19.0,19.75,18.44,18.62,1692000.0
1999-04-21,18.62,19.0,18.5,18.94,937200.0
1999-04-22,19.0,19.0,17.94,18.12,5679600.0
1999-04-23,18.06,18.12,17.12,17.25,3151200.0
1999-04-26,17.25,17.5,16.0,16.37,3087600.0
1999-04-27,16.75,18.25,16.5,18.12,5673600.0
1999-04-28,18.25,18.25,17.44,18.0,3002400.0
1999-04-29,18.06,18.12,17.62,18.0,1203600.0
1999-04-30,18.19,19.0,18.06,18.25,2482800.0
1999-05-03,18.44,18.44,17.87,18.37,846000.0
1999-05-04,18.37,18.37,17.0,17.37,2401200.0
1999-05-05,17.5,17.75,16.5,17.75,3614400.0
1999-05-06,17.62,18.0,16.87,17.41,890400.0
1999-05-07,16.87,17.62,16.87,17.5,625200.0
1999-05-10,17.37,17.87,17.37,17.5,492000.0
1999-05-11,18.25,19.0,17.87,18.44,4293600.0
1999-05-12,18.62,19.06,18.37,19.0,4212000.0
1999-05-13,19.0,19.5,18.94,19.0,1748400.0
1999-05-14,19.0,19.0,17.75,18.0,711600.0
1999-05-17,17.75,18.87,17.69,18.87,894000.0
1999-05-18,19.06,20.0,18.5,19.75,3788400.0
1999-05-19,20.62,21.37,18.56,18.87,11293200.0
1999-05-20,19.0,19.0,16.69,17.37,4454400.0
1999-05-21,17.12,17.12,16.5,17.0,7587600.0
1999-05-24,17.12,17.5,16.69,16.94,4065600.0
1999-05-25,17.0,17.25,16.87,17.06,3252000.0
1999-05-26,17.0,17.87,17.0,17.0,2618400.0
1999-05-27,17.12,17.12,16.87,16.87,2058000.0
1999-05-28,17.12,17.12,16.87,17.06,2216400.0
1999-06-01,17.0,17.12,16.75,17.12,2463600.0
1999-06-02,17.12,17.12,16.5,16.5,3253200.0
1999-06-03,16.94,17.06,16.75,16.94,1039200.0
1999-06-04,17.06,17.12,16.94,17.06,1972800.0
1999-06-07,17.16,17.5,17.12,17.25,3128400.0
1999-06-08,17.31,18.0,17.25,17.69,3832800.0
1999-06-09,17.75,18.37,17.75,18.0,2379600.0
1999-06-10,18.0,18.12,17.87,18.06,902400.0
1999-06-11,18.06,18.12,17.06,17.69,1525200.0
1999-06-14,17.72,17.75,16.87,17.0,1291200.0
1999-06-15,17.0,17.12,16.75,17.0,1232400.0
1999-06-16,17.25,18.0,17.0,17.5,1610400.0
1999-06-17,17.37,17.62,17.0,17.0,1873200.0
1999-06-18,17.12,17.12,16.37,16.37,3968400.0
1999-06-21,16.87,17.25,16.42,17.25,2086800.0
1999-06-22,17.25,17.25,16.56,16.94,4826400.0
1999-06-23,16.75,17.25,16.56,17.25,5272800.0
1999-06-24,17.37,17.37,16.75,16.87,2880000.0
1999-06-25,16.75,17.31,16.75,17.12,1838400.0
1999-06-28,17.69,17.69,17.0,17.37,2728800.0
1999-06-29,17.62,17.81,17.37,17.56,2317200.0
1999-06-30,18.12,19.12,17.75,19.12,6730800.0
1999-07-01,19.12,19.12,17.12,18.12,2224800.0
1999-07-02,18.37,19.44,18.0,19.44,5622000.0
1999-07-06,19.62,19.62,19.25,19.5,4952400.0
1999-07-07,19.62,19.62,19.12,19.12,1578000.0
1999-07-08,19.25,19.87,18.62,19.56,4651200.0
1999-07-09,19.5,21.37,19.5,21.22,5293200.0
1999-07-12,22.5,23.12,21.62,22.19,10026000.0
1999-07-13,22.44,22.56,21.25,22.25,3471600.0
1999-07-14,22.25,22.75,21.25,21.37,3448800.0
1999-07-15,21.56,22.25,21.5,21.5,3426000.0
1999-07-16,21.87,22.12,21.5,21.94,2596800.0
1999-07-19,22.0,22.06,21.25,21.37,1090800.0
1999-07-20,21.37,21.37,20.25,21.0,4468800.0
1999-07-21,20.75,20.75,19.75,20.37,2802000.0
1999-07-22,20.25,20.25,19.25,19.44,5331600.0
1999-07-23,19.37,20.0,19.37,19.44,2006400.0
1999-07-26,19.94,19.94,19.5,19.5,1513200.0
1999-07-27,19.5,19.62,19.25,19.56,2464800.0
1999-07-28,19.5,20.12,19.44,19.87,6105600.0
1999-07-29,19.5,20.12,19.37,20.06,9720000.0
1999-07-30,20.06,20.62,20.0,20.12,11307600.0
1999-08-02,20.12,20.37,20.0,20.31,7833600.0
1999-08-03,20.31,20.31,19.62,19.81,6380400.0
1999-08-04,19.94,20.0,19.75,19.81,2248800.0
1999-08-05,19.81,20.12,19.5,20.12,6014400.0
1999-08-06,20.06,20.19,20.0,20.12,4599600.0
1999-08-09,20.19,20.37,20.0,20.12,776400.0
1999-08-10,20.25,21.37,20.12,20.5,5301600.0
1999-08-11,20.87,22.12,20.62,21.87,4942800.0
1999-08-12,22.0,23.5,21.87,22.94,5990400.0
1999-08-13,22.75,23.19,22.5,22.69,2116800.0
1999-08-16,22.87,22.87,21.06,21.81,5586000.0
1999-08-17,21.87,22.25,21.31,21.87,4838400.0
1999-08-18,21.62,22.62,21.19,22.37,6997200.0
1999-08-19,23.94,28.37,23.12,27.12,49174800.0
1999-08-20,27.19,27.37,25.87,26.87,8827200.0
1999-08-23,26.5,26.5,24.37,25.25,12699600.0
1999-08-24,24.87,25.37,23.62,25.12,9951600.0
1999-08-25,25.19,25.44,24.0,25.0,8758800.0
1999-08-26,25.0,25.37,24.25,24.62,6884400.0
1999-08-27,25.12,27.0,25.0,26.0,13809600.0
1999-08-30,26.44,26.94,24.81,25.91,3966000.0
1999-08-31,26.0,28.25,25.5,28.12,19671600.0
1999-09-01,28.12,28.12,26.37,26.81,14133600.0
1999-09-02,25.94,26.62,25.37,26.5,8527200.0
1999-09-03,27.0,27.37,26.5,26.69,6471600.0
1999-09-07,27.12,27.12,26.44,26.56,3110400.0
1999-09-08,26.62,26.81,26.5,26.5,4251600.0
1999-09-09,26.75,26.94,25.62,26.12,5236800.0
1999-09-10,26.56,26.87,26.37,26.5,4185600.0
1999-09-13,26.62,26.62,25.37,25.62,4360800.0
1999-09-14,25.62,25.62,24.75,24.87,6259200.0
1999-09-15,24.56,25.37,24.37,25.06,5318400.0
1999-09-16,24.75,25.0,24.12,24.44,3952800.0
1999-09-17,24.28,24.5,23.5,24.37,4291200.0
1999-09-20,23.94,24.25,23.5,23.5,5727600.0
1999-09-21,23.0,23.12,20.94,21.25,18433200.0
1999-09-22,21.25,21.87,20.0,21.75,9399600.0
1999-09-23,21.81,21.87,19.75,19.94,9489600.0
1999-09-24,20.0,20.5,16.75,18.12,17122800.0
1999-09-27,19.31,19.62,18.12,19.25,10800000.0
1999-09-28,19.28,21.25,19.25,21.0,10329600.0
1999-09-29,21.44,22.25,19.0,19.31,14851200.0
1999-09-30,20.0,20.62,19.0,19.25,8563200.0
1999-10-01,18.94,19.62,18.12,19.12,8694000.0
1999-10-04,19.75,19.81,19.25,19.5,4440000.0
1999-10-05,19.5,21.5,19.5,21.37,11952000.0
1999-10-06,21.44,25.0,21.25,23.94,37718400.0
1999-10-07,24.94,24.94,22.25,22.37,12182400.0
1999-10-08,22.37,24.19,21.5,23.5,9973200.0
1999-10-11,23.69,23.75,22.25,22.87,13611600.0
1999-10-12,23.0,23.25,22.5,22.56,8074800.0
1999-10-13,22.31,22.31,21.5,21.94,7009200.0
1999-10-14,22.0,22.0,21.25,21.5,4808400.0
1999-10-15,20.44,21.5,20.37,21.37,5268000.0
1999-10-18,21.44,21.44,20.12,20.25,5379600.0
1999-10-19,20.87,20.87,19.06,19.44,7723200.0
1999-10-20,19.75,20.37,19.44,20.12,8718000.0
1999-10-21,20.06,21.06,19.5,21.06,9553200.0
1999-10-22,21.0,22.19,21.0,21.56,7168800.0
1999-10-25,21.44,21.75,20.5,20.5,5346000.0
1999-10-26,21.37,23.25,21.25,22.5,12031200.0
1999-10-27,22.62,22.75,21.12,21.5,5353200.0
1999-10-28,21.62,22.0,20.37,20.5,5569200.0
1999-10-29,20.75,22.5,20.62,22.12,8263200.0
1999-11-01,21.75,24.37,21.75,23.5,19563600.0
1999-11-02,23.94,25.12,23.75,25.0,20937600.0
1999-11-03,26.0,28.12,25.81,27.44,50292000.0
1999-11-04,27.75,29.94,27.75,29.19,31508400.0
1999-11-05,30.0,30.25,26.87,28.25,15409200.0
1999-11-08,27.37,29.87,26.5,29.06,11750400.0
1999-11-09,29.0,29.12,27.5,28.62,6808800.0
1999-11-10,28.72,28.75,27.81,28.37,3601200.0
1999-11-11,28.37,31.87,27.75,30.37,14067600.0
1999-11-12,31.69,32.0,29.87,32.0,12537600.0
1999-11-15,32.22,33.19,30.87,31.37,9055200.0
1999-11-16,32.13,35.0,32.0,34.38,18094800.0
1999-11-17,35.0,37.5,34.5,35.69,19659600.0
1999-11-18,36.44,36.75,35.5,35.81,5899200.0
1999-11-19,40.13,44.38,40.0,42.88,54129600.0
1999-11-22,43.97,44.0,40.25,42.81,13504800.0
1999-11-23,38.44,40.19,38.0,39.75,13831200.0
1999-11-24,39.56,40.0,35.56,38.5,10171200.0
1999-11-26,38.13,38.5,37.0,38.25,1794000.0
1999-11-29,38.13,38.63,36.0,36.88,7465200.0
1999-11-30,37.0,37.63,34.63,34.63,7867200.0
1999-12-01,34.63,36.88,34.63,36.38,5588400.0
1999-12-02,36.5,39.56,36.5,39.06,7747200.0
1999-12-03,39.44,40.13,37.63,38.13,8569200.0
1999-12-06,38.25,39.38,38.25,39.19,4465200.0
1999-12-07,39.5,39.56,36.38,37.88,4659600.0
1999-12-08,37.75,39.94,37.63,39.56,5042400.0
