date,open,high,low,close,volume
2010-10-08,11.8,12.11,11.72,11.98,251877.0
2010-10-11,11.95,12.15,11.91,12.05,63685.0
2010-10-12,12.01,12.3,11.91,12.3,59597.0
2010-10-13,12.31,12.33,12.02,12.07,222010.0
2010-10-14,12.07,12.23,12.0,12.15,223688.0
2010-10-15,12.35,12.35,11.86,11.94,396195.0
2010-10-18,11.96,12.29,11.65,12.24,53545.0
2010-10-19,12.06,12.25,12.01,12.11,130104.0
2010-10-20,12.17,12.45,11.52,12.2,124758.0
2010-10-21,12.11,12.4,12.11,12.25,58771.0
2010-10-22,12.2,12.61,12.18,12.33,94233.0
2010-10-25,12.2,12.59,12.2,12.37,128276.0
2010-10-26,12.25,12.49,11.91,12.28,186145.0
2010-10-27,12.28,12.8,12.28,12.77,263757.0
2010-10-28,12.82,13.35,12.6,13.19,409914.0
2010-10-29,13.16,13.47,12.88,13.19,434606.0
2010-11-01,13.27,13.5,12.56,12.69,432059.0
2010-11-02,12.9,13.43,12.47,13.27,300886.0
2010-11-03,13.21,13.8,13.11,13.64,359900.0
2010-11-04,13.74,14.0,13.53,13.97,274634.0
2010-11-05,13.9,14.0,13.64,13.97,175556.0
2010-11-08,14.0,14.0,13.61,13.77,179929.0
2010-11-09,13.72,13.95,13.2,13.63,269772.0
2010-11-10,13.6,13.73,13.05,13.32,172291.0
2010-11-11,13.2,13.2,12.58,12.86,317160.0
2010-11-12,12.69,13.08,12.64,12.82,115650.0
2010-11-15,12.9,13.14,12.78,12.98,51776.0
2010-11-16,12.73,13.27,12.63,12.84,206457.0
2010-11-17,12.8,12.9,12.76,12.8,67597.0
2010-11-18,13.0,13.0,12.61,12.9,118709.0
2010-11-19,12.89,12.9,12.7,12.9,74315.0
2010-11-22,12.85,13.32,12.84,12.99,117651.0
2010-11-23,12.8,12.9,12.7,12.8,439995.0
2010-11-24,12.88,12.93,12.5,12.66,250045.0
2010-11-26,12.56,12.93,12.56,12.83,348520.0
2010-11-29,12.81,13.11,12.6,12.73,270138.0
2010-11-30,12.6,12.84,12.31,12.58,288711.0
2010-12-01,12.74,13.46,12.6,13.26,682115.0
2010-12-02,13.35,14.0,13.16,13.98,273543.0
2010-12-03,13.98,17.28,13.78,16.14,948591.0
2010-12-06,16.0,16.39,15.41,15.94,488335.0
2010-12-07,16.8,18.44,16.8,17.5,421064.0
2010-12-08,16.8,18.8,16.8,18.44,1370930.0
2010-12-09,18.78,20.43,18.78,19.13,1187505.0
2010-12-10,19.2,20.2,18.41,19.95,457840.0
2010-12-13,20.0,20.0,18.55,18.86,432761.0
2010-12-14,18.9,19.38,18.28,18.73,689873.0
2010-12-15,18.7,19.0,18.09,18.33,437004.0
2010-12-16,18.42,18.67,18.19,18.44,447755.0
2010-12-17,18.51,18.68,18.0,18.11,371071.0
2010-12-20,18.16,19.3,18.05,18.6,446685.0
2010-12-21,18.86,20.0,18.6,19.25,584076.0
2010-12-22,19.71,21.57,19.71,20.25,1489044.0
2010-12-23,20.2,20.2,19.58,20.09,466005.0
2010-12-27,20.0,20.28,19.7,20.2,98479.0
2010-12-28,20.46,20.81,20.0,20.29,137327.0
2010-12-29,20.62,20.71,20.41,20.71,139005.0
2010-12-30,20.73,20.88,20.62,20.7,76789.0
2010-12-31,20.6,21.1,20.42,20.93,94385.0
2011-01-03,21.2,21.52,20.64,21.43,256125.0
2011-01-04,21.9,22.75,21.17,22.01,952114.0
2011-01-05,21.87,23.6,21.68,23.38,846380.0
2011-01-06,23.73,23.8,22.76,23.24,453075.0
2011-01-07,23.33,23.33,22.68,22.92,300876.0
2011-01-10,22.75,23.61,22.7,23.42,254125.0
2011-01-11,23.82,24.07,23.63,24.0,278234.0
2011-01-12,24.5,24.58,23.28,23.6,303025.0
2011-01-13,23.86,23.86,22.99,23.33,250450.0
2011-01-14,23.33,23.43,22.85,23.39,183214.0
2011-01-18,23.32,23.69,23.28,23.58,290531.0
2011-01-19,23.6,23.79,22.52,22.96,416404.0
2011-01-20,22.75,22.75,21.49,21.67,745924.0
2011-01-21,22.15,22.93,21.64,21.97,678757.0
2011-01-24,22.06,22.76,22.0,22.65,486856.0
2011-01-25,22.65,26.18,22.65,24.28,1725106.0
2011-01-26,24.71,26.46,24.0,25.99,1557628.0
2011-01-27,26.36,26.84,25.5,26.08,719430.0
2011-01-28,26.0,26.05,24.25,24.57,1013834.0
2011-01-31,24.81,25.84,24.61,25.74,668039.0
2011-02-01,26.48,27.37,25.82,27.23,871936.0
2011-02-02,27.48,27.63,26.03,27.19,624692.0
2011-02-03,27.75,28.25,26.99,27.2,487273.0
2011-02-04,27.54,27.57,27.1,27.35,182844.0
2011-02-07,26.93,27.1,26.15,26.31,1619312.0
2011-02-08,26.42,26.64,26.12,26.38,707545.0
2011-02-09,26.3,26.97,25.81,26.54,349552.0
2011-02-10,27.06,27.2,25.9,26.16,585448.0
2011-02-11,26.11,26.62,25.2,25.27,1321794.0
2011-02-14,25.95,25.95,25.0,25.44,1658312.0
2011-02-15,24.72,26.19,24.2,25.01,1813762.0
2011-02-16,25.47,27.8,25.41,26.93,3625200.0
2011-02-17,27.3,27.65,26.7,27.31,1294025.0
2011-02-18,27.62,30.74,27.41,29.29,2765998.0
2011-02-22,28.88,31.78,28.3,29.45,2039450.0
2011-02-23,29.9,30.08,27.81,28.41,1329684.0
2011-02-24,28.37,29.29,28.1,29.12,901804.0
2011-02-25,29.54,30.81,29.35,30.55,1150389.0
2011-02-28,31.45,32.36,30.5,31.95,2339613.0
2011-03-01,32.11,33.87,29.83,29.98,2068958.0
2011-03-02,30.0,30.7,29.01,29.25,1434809.0
2011-03-03,30.54,31.69,29.47,31.17,1790227.0
2011-03-04,31.5,31.77,30.39,30.75,1226749.0
2011-03-07,31.71,31.71,28.16,29.16,2471571.0
2011-03-08,29.01,29.79,28.41,28.71,1274151.0
2011-03-09,29.3,29.65,27.58,27.78,1094977.0
2011-03-10,26.34,27.43,25.32,26.51,1844982.0
2011-03-11,26.18,27.63,26.13,27.46,774294.0
2011-03-14,26.48,26.75,24.87,25.83,1908994.0
2011-03-15,25.0,26.45,24.32,26.28,1323790.0
2011-03-16,26.27,27.12,25.39,25.94,1121413.0
2011-03-17,26.59,27.95,26.12,26.94,1765467.0
2011-03-18,27.74,27.8,27.28,27.55,1113468.0
2011-03-21,27.98,28.33,27.61,27.85,1071327.0
2011-03-22,27.61,27.93,27.02,27.22,812125.0
2011-03-23,27.15,27.46,26.42,27.07,800004.0
2011-03-24,28.2,28.4,27.38,28.3,1300466.0
2011-03-25,28.63,28.69,27.8,27.88,529944.0
2011-03-28,28.25,29.23,27.46,28.69,1903821.0
2011-03-29,28.46,31.68,28.46,31.29,3422177.0
2011-03-30,31.76,32.55,30.61,31.38,2657713.0
2011-03-31,30.67,31.11,29.82,29.96,15016913.0
2011-04-01,30.35,30.74,29.97,30.59,3380446.0
2011-04-04,30.88,31.26,30.07,31.13,1864949.0
2011-04-05,31.37,32.41,30.6,31.99,2589485.0
2011-04-06,32.68,33.75,32.05,33.26,4435093.0
2011-04-07,33.65,33.81,32.25,32.94,1526456.0
2011-04-08,34.41,34.8,32.18,32.62,7956092.0
2011-04-11,33.5,33.84,31.9,32.21,2965219.0
2011-04-12,31.8,32.12,30.8,31.02,1830265.0
2011-04-13,31.71,31.9,31.05,31.54,994024.0
2011-04-14,31.43,32.37,30.86,32.2,941995.0
2011-04-15,32.29,32.89,32.07,32.34,998140.0
2011-04-18,31.6,32.09,30.8,31.74,886230.0
2011-04-19,31.99,32.0,31.1,31.45,551958.0
2011-04-20,32.3,33.59,31.46,33.56,1605871.0
2011-04-21,34.14,34.25,32.91,33.46,961539.0
