date,open,high,low,close,volume
2001-01-02,1.98,2.02,1.98,2.0,9001.0
2001-01-03,2.02,2.04,2.02,2.04,2248.0
2001-01-04,1.95,2.06,1.95,2.06,2248.0
2001-01-05,2.03,2.05,2.02,2.05,50848.0
2001-01-08,2.0,2.03,2.0,2.03,12150.0
2001-01-09,2.04,2.05,2.04,2.05,9001.0
2001-01-10,2.09,2.1,2.02,2.08,81000.0
2001-01-11,2.09,2.09,2.05,2.05,57601.0
2001-01-12,1.83,2.0,1.83,1.95,155849.0
2001-01-16,1.89,1.92,1.88,1.92,12302.0
2001-01-17,1.89,1.93,1.89,1.9,19050.0
2001-01-18,1.88,2.1,1.88,2.1,51450.0
2001-01-19,1.95,2.08,1.93,2.08,3301.0
2001-01-22,2.03,2.03,1.9,1.95,27150.0
2001-01-23,1.92,1.93,1.83,1.88,159150.0
2001-01-24,1.88,1.93,1.88,1.9,64051.0
2001-01-25,1.92,1.97,1.89,1.93,185551.0
2001-01-26,1.9,1.93,1.9,1.92,145952.0
2001-01-29,1.92,1.93,1.88,1.88,81901.0
2001-01-30,1.93,1.98,1.9,1.92,143998.0
2001-01-31,1.95,2.03,1.95,1.95,29251.0
2001-02-01,1.89,1.97,1.89,1.89,14398.0
2001-02-02,1.93,1.93,1.9,1.9,62699.0
2001-02-05,1.93,1.93,1.89,1.89,123748.0
2001-02-06,1.9,1.9,1.9,1.9,1352.0
2001-02-09,1.93,1.95,1.93,1.95,14099.0
2001-02-12,1.97,1.99,1.97,1.98,48752.0
2001-02-13,1.99,1.99,1.95,1.95,3301.0
2001-02-14,2.03,2.03,2.03,2.03,12150.0
2001-02-15,2.03,2.03,1.98,2.03,5999.0
2001-02-16,2.03,2.03,1.95,1.95,2248.0
2001-02-20,2.03,2.03,2.03,2.03,2850.0
2001-02-21,1.99,2.0,1.98,2.0,10950.0
2001-02-22,1.98,1.98,1.97,1.98,28350.0
2001-02-23,1.98,1.98,1.95,1.95,7351.0
2001-02-26,1.93,1.99,1.93,1.99,6298.0
2001-02-27,2.0,2.05,2.0,2.05,5402.0
2001-02-28,2.03,2.08,2.03,2.03,10049.0
2001-03-01,1.99,1.99,1.98,1.98,4202.0
2001-03-02,1.98,1.98,1.94,1.94,6298.0
2001-03-05,1.9,1.92,1.85,1.88,27601.0
2001-03-06,1.92,1.92,1.89,1.89,4202.0
2001-03-07,1.89,1.92,1.88,1.92,17101.0
2001-03-08,1.92,2.13,1.92,2.13,64051.0
2001-03-09,2.05,2.05,1.95,2.03,20402.0
2001-03-12,1.89,2.02,1.88,2.02,17552.0
2001-03-13,1.93,1.93,1.93,1.93,1949.0
2001-03-14,1.9,1.99,1.89,1.99,66152.0
2001-03-15,2.0,2.02,1.98,1.98,13502.0
2001-03-16,1.97,2.02,1.88,2.02,44550.0
2001-03-19,1.98,1.98,1.9,1.9,8252.0
2001-03-20,1.98,1.98,1.9,1.9,4202.0
2001-03-21,1.9,1.95,1.9,1.95,8100.0
2001-03-22,1.9,1.98,1.9,1.98,21151.0
2001-03-23,1.98,1.98,1.98,1.98,6900.0
2001-03-26,2.02,2.03,2.0,2.03,17101.0
2001-03-27,1.98,2.03,1.98,2.02,18149.0
2001-03-28,2.02,2.02,2.02,2.02,1949.0
2001-03-29,2.02,2.02,1.98,1.98,4202.0
2001-03-30,1.95,2.02,1.95,1.98,5999.0
2001-04-04,1.93,1.93,1.93,1.93,152.0
2001-04-05,1.9,1.98,1.9,1.98,11401.0
2001-04-06,1.88,1.95,1.88,1.95,17552.0
2001-04-09,1.93,1.93,1.87,1.92,10950.0
2001-04-10,1.93,1.96,1.78,1.86,65701.0
2001-04-11,1.83,1.85,1.83,1.85,38698.0
2001-04-12,1.87,1.96,1.87,1.96,4050.0
2001-04-16,1.98,1.98,1.98,1.98,10049.0
2001-04-17,1.96,2.02,1.96,2.0,49501.0
2001-04-18,1.9,2.02,1.88,1.98,46798.0
2001-04-19,1.98,2.0,1.96,1.96,15000.0
2001-04-20,1.9,1.9,1.9,1.9,1949.0
2001-04-23,1.98,1.98,1.91,1.93,17101.0
2001-04-24,1.97,1.97,1.88,1.88,7351.0
2001-04-25,1.87,1.87,1.7,1.7,10950.0
2001-04-26,1.73,1.8,1.69,1.78,4951.0
2001-04-27,1.79,1.88,1.79,1.88,25652.0
2001-04-30,1.9,1.96,1.89,1.94,22498.0
2001-05-01,1.85,1.98,1.85,1.97,24300.0
2001-05-02,1.96,2.02,1.96,2.02,61651.0
