date,open,high,low,close,volume
1986-07-09,56.75,57.25,56.5,56.5,318000.0
1986-07-10,56.5,57.0,56.5,57.0,494100.0
1986-07-11,56.5,57.0,56.5,56.5,194400.0
1986-07-14,56.5,56.75,56.25,56.5,656100.0
1986-07-15,56.25,56.75,56.0,56.75,2565600.0
1986-07-16,56.75,56.75,56.25,56.25,451500.0
1986-07-17,56.25,56.5,56.25,56.25,394800.0
1986-07-18,56.25,56.75,56.25,56.5,658200.0
1986-07-21,56.5,56.75,56.5,56.5,208500.0
1986-07-22,56.5,56.75,55.25,55.25,1350600.0
1986-07-23,55.75,55.75,54.25,54.25,1168500.0
1986-07-24,54.25,54.38,51.25,51.25,2189100.0
1986-07-25,51.25,51.75,48.75,49.0,1247400.0
1986-07-28,49.0,49.0,48.5,49.0,399000.0
1986-07-29,48.75,48.75,47.88,48.0,1101600.0
1986-07-30,48.0,48.25,47.0,47.25,868800.0
1986-07-31,47.25,47.25,46.5,47.0,411000.0
1986-08-01,46.5,47.0,46.5,46.5,595400.0
1986-08-04,46.5,46.5,43.75,44.25,2300400.0
1986-08-05,43.75,44.25,42.5,42.5,411000.0
1986-08-06,42.5,42.75,42.5,42.75,172200.0
1986-08-07,42.5,43.0,42.5,43.0,93200.0
1986-08-08,42.5,42.5,42.5,42.5,137700.0
1986-08-11,42.75,42.75,42.5,42.5,91200.0
1986-08-12,42.75,43.0,42.5,43.0,180300.0
1986-08-13,43.0,44.75,43.0,44.5,885000.0
1986-08-14,44.75,45.75,44.75,45.75,887000.0
1986-08-15,46.0,46.0,45.5,46.0,153900.0
1986-08-18,46.0,46.25,46.0,46.25,52600.0
1986-08-19,45.5,46.38,45.5,46.13,694500.0
1986-08-20,46.0,46.5,46.0,46.0,216600.0
1986-08-21,46.5,46.75,46.25,46.75,78900.0
1986-08-22,46.75,47.0,46.25,46.5,344200.0
1986-08-25,47.0,47.0,46.5,46.75,239000.0
1986-08-26,46.75,46.75,46.5,46.75,1859000.0
1986-08-27,46.5,46.75,46.5,46.5,625800.0
1986-08-28,46.75,46.75,46.25,46.75,162000.0
1986-08-29,46.25,46.75,45.5,45.5,463800.0
1986-09-02,46.0,46.0,43.5,43.75,986100.0
1986-09-03,43.5,44.5,43.5,44.0,645900.0
1986-09-04,43.75,44.25,43.75,44.0,921300.0
1986-09-05,44.0,44.25,44.0,44.25,158000.0
1986-09-08,44.0,44.5,44.0,44.5,133600.0
1986-09-09,44.25,44.75,44.25,44.5,212700.0
1986-09-10,44.75,45.0,44.5,45.0,131700.0
1986-09-11,45.0,45.0,44.25,44.25,390900.0
1986-09-12,44.75,44.75,43.5,43.5,463800.0
1986-09-15,43.5,44.0,42.25,42.25,670200.0
1986-09-16,42.25,42.25,41.0,41.5,378600.0
1986-09-17,41.25,41.75,41.25,41.25,471900.0
1986-09-18,41.25,41.75,41.25,41.25,135600.0
1986-09-19,41.25,41.75,41.0,41.75,882900.0
1986-09-22,41.25,41.75,41.25,41.75,299700.0
1986-09-23,41.5,41.75,41.5,41.75,186300.0
1986-09-24,41.75,41.75,41.5,41.5,115500.0
1986-09-25,41.5,41.88,41.5,41.88,336200.0
1986-09-26,42.0,42.0,41.75,41.75,380700.0
1986-09-29,41.75,42.0,41.5,41.5,1142100.0
1986-09-30,41.5,42.0,41.5,41.5,97200.0
1986-10-01,42.0,42.25,41.75,42.25,334200.0
1986-10-02,42.25,42.25,41.75,41.75,176100.0
1986-10-03,42.25,42.5,41.75,42.0,269400.0
1986-10-06,42.5,42.5,42.0,42.0,186300.0
1986-10-07,42.0,42.25,42.0,42.0,281400.0
1986-10-08,42.0,42.25,42.0,42.25,374700.0
1986-10-09,42.25,42.75,42.25,42.25,285600.0
1986-10-10,42.25,42.75,42.25,42.5,119400.0
1986-10-13,43.0,43.0,42.5,42.5,56700.0
1986-10-14,43.0,43.75,43.0,43.75,528600.0
1986-10-15,43.25,44.0,43.25,44.0,441400.0
1986-10-16,43.75,44.5,43.75,44.25,378600.0
1986-10-17,44.0,44.25,44.0,44.0,1022700.0
1986-10-20,44.0,44.25,44.0,44.25,1857000.0
1986-10-21,44.25,44.75,44.0,44.75,700600.0
1986-10-22,44.5,45.0,44.5,45.0,247000.0
1986-10-23,45.0,46.0,44.75,45.5,453600.0
1986-10-24,45.5,46.0,45.5,46.0,330000.0
1986-10-27,46.0,47.0,45.75,46.5,405000.0
1986-10-28,47.0,47.5,47.0,47.25,437400.0
1986-10-29,47.0,47.5,47.0,47.25,548700.0
1986-10-30,47.5,47.75,47.25,47.75,93200.0
1986-10-31,47.75,47.75,47.25,47.5,2065500.0
1986-11-03,47.5,47.5,47.25,47.5,95100.0
1986-11-04,47.25,47.75,47.25,47.5,376600.0
1986-11-05,47.75,49.25,47.75,48.75,1812300.0
1986-11-06,49.5,49.5,48.75,49.25,101200.0
1986-11-07,48.75,49.25,48.75,48.75,249000.0
1986-11-10,48.75,49.0,48.75,49.0,366600.0
1986-11-11,49.0,49.0,48.75,49.0,162000.0
1986-11-12,48.75,49.25,47.5,47.75,2369200.0
1986-11-13,47.5,47.88,47.5,47.5,1575400.0
1986-11-14,47.5,47.88,47.5,47.63,303800.0
1986-11-17,47.5,47.88,47.5,47.88,311800.0
1986-11-18,47.5,48.0,47.5,47.5,862600.0
1986-11-19,48.0,48.0,47.0,47.38,961800.0
1986-11-20,47.5,47.5,46.63,46.75,202500.0
1986-11-21,46.75,47.25,46.75,47.0,427200.0
1986-11-24,47.25,47.25,46.25,46.5,405000.0
1986-11-25,46.25,47.0,46.25,47.0,480000.0
1986-11-26,47.25,48.25,47.25,47.75,463800.0
1986-11-28,48.25,49.0,47.75,48.63,212700.0
1986-12-01,49.0,49.0,48.38,49.0,166000.0
1986-12-02,49.0,49.5,49.0,49.25,1111800.0
1986-12-03,49.0,49.75,49.0,49.75,184200.0
1986-12-04,49.75,49.75,49.25,49.75,115500.0
1986-12-05,49.25,50.0,49.25,49.5,378600.0
1986-12-08,49.5,50.0,49.25,49.5,401000.0
1986-12-09,49.5,50.0,49.25,49.25,239000.0
1986-12-10,49.25,49.75,49.25,49.75,307800.0
1986-12-11,49.25,49.75,49.25,49.5,216600.0
1986-12-12,49.25,49.5,49.25,49.25,271400.0
1986-12-15,49.25,49.5,49.0,49.25,1091400.0
1986-12-16,49.5,49.5,49.25,49.5,237000.0
1986-12-17,49.25,49.5,49.25,49.5,498200.0
1986-12-18,49.25,49.5,48.75,49.0,1279800.0
1986-12-19,49.0,49.25,48.5,48.5,1371000.0
1986-12-22,49.0,49.0,48.5,49.0,1194800.0
1986-12-23,48.5,49.0,47.5,47.5,645900.0
1986-12-24,47.5,48.0,46.75,46.75,1836600.0
1986-12-26,46.75,47.25,46.75,46.75,911200.0
1986-12-29,46.75,47.0,46.75,46.75,911200.0
1986-12-30,46.75,47.25,46.75,46.88,293700.0
1986-12-31,46.75,47.25,46.75,46.75,388800.0
1987-01-02,47.0,47.25,46.75,46.75,125600.0
1987-01-05,47.25,49.25,47.0,49.25,978000.0
1987-01-06,49.0,49.75,49.0,49.25,263200.0
1987-01-07,49.25,49.25,49.0,49.0,1670700.0
1987-01-08,49.0,51.0,49.0,51.0,775500.0
1987-01-09,50.75,52.0,50.75,51.75,775500.0
1987-01-12,53.0,53.0,51.25,53.0,415200.0
1987-01-13,52.75,53.25,52.75,52.75,117400.0
1987-01-14,52.75,55.25,52.75,55.0,887000.0
1987-01-15,55.5,56.5,55.25,56.5,684400.0
1987-01-16,56.0,56.5,55.25,56.0,340200.0
1987-01-19,56.0,56.75,55.25,56.75,311800.0
1987-01-20,57.0,57.25,56.75,56.75,937500.0
1987-01-21,56.75,57.0,56.5,56.5,311800.0
1987-01-22,56.25,56.75,56.25,56.5,427200.0
1987-01-23,56.75,57.0,56.25,56.5,561000.0
1987-01-26,56.5,56.75,56.0,56.25,228900.0
1987-01-27,56.25,56.5,55.75,55.88,1439700.0
1987-01-28,55.75,56.25,55.75,56.25,291600.0
1987-01-29,55.75,56.25,55.5,56.0,321900.0
