date,open,high,low,close,volume
1977-01-03,79.0,80.13,79.0,80.0,1085400.0
1977-01-04,80.0,80.25,78.88,79.0,3018600.0
1977-01-05,78.75,78.75,77.88,78.38,2246400.0
1977-01-06,78.63,79.0,78.63,78.75,1004400.0
1977-01-07,78.75,78.75,78.25,78.5,950400.0
1977-01-10,78.5,79.0,78.5,78.75,1641600.0
1977-01-11,78.75,79.38,77.75,77.75,1263600.0
1977-01-12,77.75,77.88,77.37,77.88,1063800.0
1977-01-13,78.13,78.75,78.13,78.75,766800.0
1977-01-14,78.75,78.75,77.5,78.0,394200.0
1977-01-17,77.88,77.88,77.12,77.12,1015200.0
1977-01-18,77.12,77.25,76.25,76.5,2435400.0
1977-01-19,76.37,76.37,75.75,75.87,1047600.0
1977-01-20,75.87,76.0,74.75,75.0,1927800.0
1977-01-21,75.0,75.5,74.62,75.0,955800.0
1977-01-24,74.62,74.62,74.0,74.25,1150200.0
1977-01-25,74.25,74.75,74.13,74.13,1247400.0
1977-01-26,74.13,74.25,71.75,72.38,2889000.0
1977-01-27,72.0,72.0,70.75,71.25,1366200.0
1977-01-28,71.38,71.88,71.38,71.63,961200.0
1977-01-31,71.63,71.75,71.25,71.75,1053000.0
1977-02-01,71.75,72.5,71.5,72.38,1641600.0
1977-02-02,72.38,73.25,72.25,72.38,745200.0
1977-02-03,72.38,72.5,72.13,72.38,1198800.0
1977-02-04,72.38,72.75,72.25,72.25,1533600.0
1977-02-07,72.25,73.0,72.13,73.0,626400.0
1977-02-08,73.0,73.38,72.63,72.63,442800.0
1977-02-09,72.63,72.75,71.88,72.5,1965600.0
1977-02-10,72.5,72.75,72.0,72.75,1420200.0
1977-02-11,72.75,72.75,72.0,72.25,2230200.0
1977-02-14,72.25,72.5,71.63,72.5,664200.0
1977-02-15,72.5,72.88,72.38,72.88,745200.0
1977-02-16,72.88,74.0,72.75,73.5,1755000.0
1977-02-17,73.5,74.13,72.88,73.0,658800.0
1977-02-18,73.0,73.5,72.63,73.5,1668600.0
1977-02-22,73.5,73.5,73.25,73.5,1047600.0
1977-02-23,73.5,73.75,72.88,73.0,621000.0
1977-02-24,72.75,72.75,71.5,71.75,1917000.0
1977-02-25,71.88,74.0,71.88,73.38,2867400.0
1977-02-28,73.38,74.13,73.38,74.13,1371600.0
1977-03-01,74.13,76.0,74.13,75.87,1684800.0
1977-03-02,75.87,77.0,75.5,76.25,1236600.0
1977-03-03,76.62,78.63,76.62,77.75,2327400.0
1977-03-04,77.12,77.12,75.0,75.0,2192400.0
1977-03-07,75.0,75.12,71.5,71.75,5486400.0
1977-03-08,71.75,72.0,70.5,70.62,6075000.0
1977-03-09,70.62,71.0,68.0,68.0,2732400.0
1977-03-10,68.0,70.62,68.0,70.62,7214400.0
1977-03-11,71.0,72.63,71.0,72.63,1873800.0
1977-03-14,72.63,73.75,72.25,73.25,1755000.0
1977-03-15,73.25,73.63,72.75,72.75,1706400.0
1977-03-16,72.75,73.0,72.75,72.88,1101600.0
