date,open,high,low,close,volume
2015-07-20,41.46,42.55,39.8,40.47,52106044.0
2015-07-21,41.08,41.11,39.12,39.35,32390779.0
2015-07-22,39.35,39.71,38.1,38.39,25314408.0
2015-07-23,38.74,38.75,36.93,37.01,19131366.0
2015-07-24,37.71,38.0,36.91,37.02,14247299.0
2015-07-27,36.78,37.38,36.22,36.38,15515410.0
2015-07-28,37.19,38.0,36.83,37.6,18924742.0
2015-07-29,38.03,38.1,37.62,37.95,11754118.0
2015-07-30,38.04,39.01,37.71,38.45,13832335.0
2015-07-31,39.14,39.2,38.22,38.73,12295422.0
2015-08-03,39.25,39.88,38.9,39.39,15065950.0
2015-08-04,39.91,39.91,38.43,38.95,10872150.0
2015-08-05,39.7,39.88,39.17,39.28,9423004.0
2015-08-06,39.63,39.74,38.55,38.86,7293913.0
2015-08-07,39.04,39.23,38.6,39.13,8320886.0
2015-08-10,39.43,39.69,38.77,39.05,7939583.0
2015-08-11,38.93,39.28,38.72,38.85,8153878.0
2015-08-12,38.55,38.58,37.01,38.19,21284278.0
2015-08-13,38.4,38.49,37.44,37.62,7813959.0
2015-08-14,37.49,38.18,37.38,38.14,6239341.0
2015-08-17,38.3,38.75,37.7,38.74,4773007.0
2015-08-18,39.0,39.0,37.87,37.99,4642608.0
2015-08-19,37.87,38.1,37.03,37.19,6863701.0
2015-08-20,36.85,37.34,35.88,35.98,10532913.0
2015-08-21,35.57,36.11,33.83,34.27,15375182.0
2015-08-24,31.17,34.85,30.0,33.77,19517469.0
2015-08-25,35.44,35.46,32.7,32.71,15405768.0
2015-08-26,33.7,33.84,31.71,33.17,25236177.0
2015-08-27,33.87,34.77,33.16,34.6,18771264.0
2015-08-28,34.51,35.26,34.37,35.05,8289942.0
2015-08-31,35.5,35.51,34.77,35.0,11986028.0
2015-09-01,34.15,34.68,33.41,33.77,13235252.0
2015-09-02,34.6,35.08,33.83,35.07,7428789.0
2015-09-03,35.01,35.46,34.77,35.31,6627962.0
2015-09-04,34.71,34.72,33.78,34.29,7395422.0
2015-09-08,34.81,34.89,34.25,34.7,7619500.0
2015-09-09,34.92,34.95,33.88,34.37,10869812.0
2015-09-10,34.23,34.29,32.95,33.46,12070994.0
2015-09-11,33.27,33.59,32.61,33.54,9151327.0
2015-09-14,33.7,33.95,33.2,33.77,7661826.0
2015-09-15,33.72,33.95,32.67,33.8,11852755.0
2015-09-16,33.46,34.06,33.36,33.77,7133101.0
2015-09-17,33.72,33.99,33.08,33.33,7785211.0
2015-09-18,32.9,33.78,32.55,32.92,14636051.0
2015-09-21,33.66,34.62,33.43,34.25,12715416.0
2015-09-22,33.94,34.1,33.19,33.35,8473632.0
2015-09-23,33.49,34.34,33.26,34.16,5374565.0
2015-09-24,34.0,34.07,33.38,33.91,6367861.0
2015-09-25,34.6,34.69,33.5,33.77,6532594.0
2015-09-28,33.68,33.68,32.15,32.25,7209578.0
2015-09-29,32.27,32.67,30.3,30.63,11939549.0
2015-09-30,31.2,31.28,30.64,31.03,13607576.0
2015-10-01,30.82,31.58,30.75,31.48,9586339.0
2015-10-02,30.82,32.86,30.75,32.82,7572956.0
2015-10-05,32.95,33.02,32.38,32.67,6032185.0
2015-10-06,32.91,32.91,31.78,31.87,7409332.0
2015-10-07,32.31,32.47,31.52,32.38,6947373.0
2015-10-08,32.44,32.45,31.09,31.67,9243744.0
2015-10-09,31.69,32.45,31.41,32.06,5867817.0
2015-10-12,32.19,32.67,32.1,32.62,3870352.0
2015-10-13,32.6,33.48,32.34,33.22,8419694.0
2015-10-14,33.4,34.46,33.4,34.05,8174613.0
2015-10-15,34.45,34.72,34.16,34.62,9070219.0
2015-10-16,34.75,35.05,33.95,34.29,5370588.0
2015-10-19,34.43,34.9,33.79,34.84,5829543.0
2015-10-20,34.8,34.99,34.59,34.87,5893927.0
2015-10-21,34.75,34.8,32.88,33.83,9042030.0
2015-10-22,34.43,35.25,34.26,34.8,8673354.0
2015-10-23,35.73,35.75,34.8,34.99,8879321.0
2015-10-26,36.05,36.59,35.51,36.44,11519345.0
2015-10-27,36.39,36.39,35.31,35.96,8463864.0
2015-10-28,36.21,36.65,35.81,36.51,9891302.0
2015-10-29,34.73,36.5,34.5,35.91,25005566.0
2015-10-30,35.64,36.49,35.24,36.03,13330527.0
2015-11-02,35.58,37.41,35.45,36.99,11202961.0
2015-11-03,37.05,38.44,37.0,37.9,12017115.0
2015-11-04,38.45,38.52,37.33,37.6,12218068.0
2015-11-05,37.82,37.98,36.66,36.71,9057013.0
2015-11-06,36.59,36.7,35.8,36.24,10252534.0
2015-11-09,36.1,36.74,35.65,36.6,11545747.0
2015-11-10,36.58,37.2,36.5,37.0,36184662.0
2015-11-11,37.19,37.32,35.75,36.33,12697882.0
2015-11-12,35.94,36.05,34.83,35.57,11727958.0
2015-11-13,35.18,35.5,34.5,34.53,7286373.0
2015-11-16,34.55,35.66,34.53,35.61,6677077.0
2015-11-17,35.89,36.45,35.71,36.21,7282445.0
2015-11-18,36.32,36.95,35.78,36.22,8239194.0
2015-11-19,36.45,36.5,35.91,36.19,5041301.0
2015-11-20,36.45,36.45,35.92,36.36,4533658.0
2015-11-23,35.83,36.65,35.41,35.56,6942858.0
2015-11-24,35.25,35.3,34.88,35.12,8387591.0
2015-11-25,35.2,35.86,35.13,35.36,3881775.0
2015-11-27,35.52,35.7,35.06,35.18,2550193.0
2015-11-30,35.36,35.44,34.69,35.33,8889354.0
2015-12-01,35.41,35.41,33.85,35.17,14889875.0
2015-12-02,35.23,36.17,34.93,35.15,5729762.0
2015-12-03,35.2,35.23,33.85,34.23,7308351.0
2015-12-04,34.38,35.82,34.22,35.62,10598880.0
2015-12-07,35.71,35.8,34.85,35.15,4888798.0
2015-12-08,34.63,35.7,34.52,35.6,7393122.0
2015-12-09,35.39,35.6,34.83,35.07,7322393.0
2015-12-10,35.16,35.91,35.16,35.49,6909455.0
2015-12-11,35.15,35.32,34.42,34.69,8268163.0
2015-12-14,34.61,35.22,34.33,35.01,5795395.0
2015-12-15,35.19,36.51,35.18,36.33,11692054.0
2015-12-16,36.12,36.25,35.19,35.98,7005695.0
2015-12-17,36.0,36.58,35.51,35.55,6446712.0
2015-12-18,35.35,35.76,34.73,34.98,13641386.0
2015-12-21,35.21,36.15,35.11,36.08,5792644.0
2015-12-22,36.12,36.89,35.78,36.8,6020747.0
2015-12-23,36.79,37.68,36.77,37.11,7576327.0
2015-12-24,37.01,37.23,36.82,37.07,2133437.0
2015-12-28,36.7,37.0,36.25,36.61,4928119.0
2015-12-29,36.92,37.45,36.75,37.08,3435850.0
2015-12-30,37.07,37.25,36.46,36.48,4106041.0
2015-12-31,36.3,36.5,36.05,36.2,4458811.0
2016-01-04,35.13,35.56,34.28,34.75,12245597.0
2016-01-05,34.98,34.98,33.86,34.31,11185797.0
2016-01-06,33.7,34.01,33.21,33.98,8439867.0
2016-01-07,33.15,34.16,33.02,33.13,11006023.0
2016-01-08,33.46,33.88,32.63,32.7,7812772.0
2016-01-11,33.02,33.43,32.47,33.04,8936268.0
2016-01-12,33.35,33.57,32.66,33.08,7761922.0
2016-01-13,33.28,33.57,31.97,32.12,8055525.0
2016-01-14,32.15,33.04,31.7,32.87,7704190.0
2016-01-15,31.62,32.54,31.62,32.31,12131910.0
2016-01-19,32.76,33.18,31.93,32.2,6657045.0
2016-01-20,31.43,31.7,30.52,31.2,13121644.0
2016-01-21,31.61,31.74,30.9,31.19,9968935.0
2016-01-22,31.65,31.97,31.54,31.69,9399912.0
2016-01-25,31.98,31.98,31.35,31.47,7590352.0
2016-01-26,31.49,31.98,31.39,31.97,8615027.0
2016-01-27,31.96,32.63,31.38,31.59,12672851.0
2016-01-28,33.63,34.75,33.35,34.24,20361558.0
2016-01-29,34.49,36.26,34.36,36.14,21199405.0
2016-02-01,35.65,37.32,35.59,37.08,17346928.0
2016-02-02,36.53,37.77,36.44,36.83,17310313.0
2016-02-03,36.87,37.55,36.07,37.01,14537503.0
2016-02-04,36.66,37.28,36.54,37.17,10212153.0
2016-02-05,37.16,37.16,34.82,35.07,16245103.0
2016-02-08,34.0,34.29,31.98,33.61,20624868.0
2016-02-09,32.8,33.85,31.64,32.7,16437008.0
2016-02-10,33.62,33.94,32.82,32.9,8636146.0
2016-02-11,32.12,33.64,32.01,33.52,13168501.0
2016-02-12,33.97,34.44,33.81,34.3,9437077.0
2016-02-16,34.65,35.52,34.48,35.46,9152154.0
2016-02-17,35.98,36.91,35.81,36.36,12064137.0
2016-02-18,36.41,36.53,35.66,36.31,9021863.0
2016-02-19,36.0,36.23,35.61,35.76,9652713.0
2016-02-22,36.45,36.5,35.82,36.0,10473891.0
2016-02-23,35.72,35.93,35.02,35.48,8414341.0
2016-02-24,35.22,36.75,34.86,36.47,8090867.0
2016-02-25,36.67,36.83,36.18,36.74,5208567.0
2016-02-26,36.73,37.53,36.37,37.49,8594610.0
2016-02-29,37.47,38.93,37.45,38.14,23928748.0
2016-03-01,38.52,39.54,38.02,39.25,14083970.0
2016-03-02,39.2,39.93,38.7,39.16,12894253.0
2016-03-03,38.96,39.24,38.62,39.02,7655808.0
2016-03-04,38.77,39.7,38.75,39.04,7199637.0
2016-03-07,38.78,39.4,38.72,38.98,5329059.0
2016-03-08,38.69,38.88,38.11,38.16,6003521.0
2016-03-09,38.48,38.62,37.82,38.57,4990315.0
2016-03-10,38.66,39.3,37.48,38.49,7655713.0
2016-03-11,39.0,39.53,38.85,39.49,9539088.0
2016-03-14,39.4,39.8,39.04,39.38,5299585.0
2016-03-15,39.05,39.64,39.05,39.27,5013550.0
2016-03-16,39.09,39.89,38.57,39.84,6361253.0
2016-03-17,39.85,40.12,39.17,39.93,9779035.0
2016-03-18,39.86,39.86,38.69,39.41,15131050.0
2016-03-21,39.41,41.17,39.2,41.14,13426904.0
