date,open,high,low,close,volume
1991-12-16,16.38,18.58,16.38,17.61,143667200.0
1991-12-17,18.09,18.09,17.12,17.36,16176000.0
1991-12-18,17.36,17.85,17.36,17.85,10899200.0
1991-12-19,17.85,17.85,17.12,17.12,7299200.0
1991-12-20,17.12,17.85,17.12,17.61,5235200.0
1991-12-23,17.85,17.85,17.12,17.48,7894400.0
1991-12-24,17.24,18.83,17.12,18.83,7129600.0
1991-12-26,18.34,21.52,18.34,21.52,8672000.0
1991-12-27,21.76,21.76,20.29,20.78,6396800.0
1991-12-30,20.78,21.27,20.29,21.27,6627200.0
1991-12-31,21.27,24.45,21.03,24.21,12572800.0
1992-01-02,24.21,27.14,23.96,27.02,22121600.0
1992-01-03,27.14,27.88,26.41,27.39,6092800.0
1992-01-06,28.12,28.12,23.72,25.67,15987200.0
1992-01-07,25.43,26.16,24.7,24.94,4940800.0
1992-01-08,25.19,25.19,21.27,22.01,36828800.0
1992-01-09,22.74,24.21,22.5,24.21,20809600.0
1992-01-10,24.45,24.7,22.74,23.47,7961600.0
1992-01-13,23.96,26.16,23.23,25.43,8499200.0
1992-01-14,26.16,26.16,25.19,25.67,3628800.0
1992-01-15,26.16,26.65,25.43,25.92,5910400.0
1992-01-16,26.16,26.41,24.21,25.19,3654400.0
1992-01-17,24.7,25.43,24.7,24.7,1574400.0
1992-01-20,24.45,24.94,23.23,24.45,3350400.0
1992-01-21,24.94,24.94,22.98,23.47,3724800.0
1992-01-22,23.47,24.45,22.98,24.45,5132800.0
1992-01-23,24.94,24.94,22.98,22.98,3248000.0
1992-01-24,22.98,23.72,22.98,23.23,355200.0
1992-01-27,23.72,23.72,22.25,22.74,2675200.0
1992-01-28,22.74,22.74,21.52,22.01,3673600.0
1992-01-29,22.25,22.98,21.52,22.5,1702400.0
1992-01-30,22.25,23.96,22.25,23.23,2505600.0
1992-01-31,23.23,23.47,22.98,23.47,1702400.0
1992-02-03,23.47,25.19,23.23,24.09,2611200.0
1992-02-04,24.21,25.19,23.72,24.45,4233600.0
1992-02-05,24.21,24.7,24.21,24.21,3280000.0
1992-02-06,24.94,24.94,23.72,23.72,7232000.0
1992-02-07,24.45,24.45,21.27,22.98,8979200.0
1992-02-10,22.25,22.98,21.52,22.01,4940800.0
1992-02-11,22.25,22.98,21.76,22.25,1667200.0
1992-02-12,22.25,24.21,21.76,23.47,3603200.0
1992-02-13,23.96,23.96,22.25,22.25,1398400.0
1992-02-14,22.74,22.74,22.01,22.74,2825600.0
1992-02-18,22.74,22.74,21.76,22.25,1078400.0
1992-02-19,21.52,22.25,21.27,21.52,1408000.0
1992-02-20,21.52,22.74,21.52,22.74,5705600.0
1992-02-21,22.01,22.74,20.54,20.54,3836800.0
1992-02-24,20.54,21.27,18.09,19.19,12384000.0
1992-02-25,19.81,20.29,18.83,19.56,3513600.0
1992-02-26,20.54,20.54,19.56,20.29,3200000.0
1992-02-27,20.29,20.29,19.07,19.81,1209600.0
1992-02-28,20.05,20.29,19.32,20.05,3011200.0
1992-03-02,20.05,20.29,19.32,20.05,1257600.0
1992-03-03,20.29,20.78,19.32,19.32,4022400.0
1992-03-04,19.56,19.56,19.07,19.07,5580800.0
1992-03-05,19.32,19.32,18.34,18.58,1920000.0
1992-03-06,19.07,19.07,17.12,18.09,6329600.0
1992-03-09,18.34,18.34,17.12,18.09,2809600.0
1992-03-10,18.34,19.32,18.09,19.32,1900800.0
1992-03-11,19.32,19.56,17.85,18.09,5577600.0
1992-03-12,18.34,19.32,17.85,18.83,1644800.0
1992-03-13,18.58,19.56,18.34,18.83,4976000.0
1992-03-16,18.83,18.83,18.09,18.09,739200.0
1992-03-17,18.34,19.07,18.34,18.34,1865600.0
1992-03-18,19.32,20.29,19.07,19.93,3753600.0
1992-03-19,20.05,21.27,19.56,21.27,6108800.0
1992-03-20,21.52,22.74,21.52,21.76,5392000.0
1992-03-23,22.25,22.5,20.78,21.03,5219200.0
1992-03-24,21.76,22.01,20.78,21.03,5760000.0
1992-03-25,21.52,21.76,21.03,21.52,3718400.0
1992-03-26,22.01,22.01,21.27,21.76,2089600.0
1992-03-27,21.27,21.76,21.03,21.03,1456000.0
1992-03-30,21.03,21.76,20.29,21.03,2339200.0
1992-03-31,20.29,22.74,19.32,22.5,5353600.0
1992-04-01,21.03,22.5,21.03,21.4,3868800.0
1992-04-02,21.76,21.76,19.07,20.29,2947200.0
1992-04-03,19.81,21.52,19.81,20.29,3414400.0
1992-04-06,20.54,20.78,19.81,20.66,2742400.0
1992-04-07,21.27,21.52,20.54,20.78,2579200.0
1992-04-08,20.29,21.52,20.29,20.78,3123200.0
1992-04-09,20.78,21.03,20.17,20.54,4313600.0
1992-04-10,21.03,21.03,20.54,21.03,592000.0
1992-04-13,21.03,21.76,20.54,21.52,2115200.0
1992-04-14,21.76,22.74,21.52,22.01,1955200.0
1992-04-15,22.98,23.23,21.76,22.74,6112000.0
1992-04-16,23.23,23.47,22.37,22.37,2646400.0
1992-04-20,22.01,23.96,22.01,22.5,3318400.0
1992-04-21,23.47,23.47,22.5,22.74,1952000.0
1992-04-22,23.23,23.47,22.5,23.47,2198400.0
1992-04-23,22.98,23.47,22.01,22.74,1555200.0
1992-04-24,22.37,22.74,22.25,22.25,2112000.0
1992-04-27,22.74,22.74,22.01,22.01,1984000.0
1992-04-28,22.74,22.74,20.78,20.78,1923200.0
1992-04-29,21.27,21.27,20.78,21.27,563200.0
1992-04-30,21.27,21.27,20.05,20.54,3433600.0
1992-05-01,20.78,20.78,20.29,20.78,1120000.0
1992-05-04,20.78,21.27,20.29,20.78,3014400.0
1992-05-05,21.27,21.52,20.78,21.03,300800.0
1992-05-06,21.4,21.52,20.78,21.03,1779200.0
1992-05-07,21.52,21.52,20.78,20.78,412800.0
1992-05-08,20.78,21.52,20.78,20.78,179200.0
1992-05-11,21.52,21.52,20.29,20.78,1318400.0
1992-05-12,20.78,20.78,19.56,19.56,1654400.0
1992-05-13,20.05,20.05,18.58,18.83,3331200.0
1992-05-14,19.32,19.32,18.34,18.83,6102400.0
1992-05-15,18.58,18.83,18.09,18.34,1612800.0
1992-05-18,18.83,18.83,18.09,18.22,2275200.0
