date,open,high,low,close,volume
2001-01-02,36.44,37.5,35.12,35.56,251900.0
2001-01-03,35.25,35.92,32.0,34.06,429600.0
2001-01-04,34.25,34.44,32.0,32.44,359900.0
2001-01-05,32.19,32.19,30.38,31.12,280400.0
2001-01-08,31.06,31.06,30.0,30.25,168600.0
2001-01-09,30.25,31.38,30.25,31.0,150800.0
2001-01-10,31.0,34.38,30.69,32.25,201400.0
2001-01-11,32.5,33.69,32.5,33.62,119800.0
2001-01-12,33.44,36.81,33.44,34.75,265900.0
2001-01-16,35.06,39.12,35.0,39.0,254600.0
2001-01-17,39.0,40.25,36.5,36.75,290500.0
2001-01-18,36.73,37.31,34.25,35.06,129600.0
2001-01-19,35.44,36.06,33.38,33.88,139000.0
2001-01-22,34.25,35.12,33.83,34.56,107500.0
2001-01-23,34.5,36.88,34.38,36.75,131300.0
2001-01-24,36.38,38.75,36.12,37.12,311800.0
2001-01-25,37.0,38.0,36.12,36.69,96000.0
2001-01-26,35.94,35.94,31.5,33.12,446000.0
2001-01-29,32.88,33.38,31.0,31.75,256400.0
2001-01-30,31.77,32.25,29.88,30.75,306700.0
2001-01-31,30.75,34.88,30.31,32.75,166900.0
2001-02-01,33.0,33.0,31.88,32.88,86900.0
2001-02-02,32.45,33.12,32.12,32.31,97100.0
2001-02-05,32.19,32.25,31.75,32.19,111100.0
2001-02-06,32.25,34.81,32.12,34.81,126700.0
2001-02-07,34.31,34.31,32.94,33.81,54400.0
2001-02-08,33.56,34.62,33.31,33.38,66000.0
2001-02-09,33.31,33.31,31.94,32.12,116200.0
2001-02-12,32.06,35.94,32.06,34.94,125200.0
2001-02-13,34.88,36.94,33.31,33.5,112500.0
2001-02-14,33.56,35.0,32.38,34.69,84100.0
2001-02-15,34.62,35.06,33.06,34.0,51800.0
2001-02-16,33.62,34.0,32.38,33.81,65300.0
2001-02-20,33.88,33.88,31.44,31.94,40700.0
2001-02-21,30.94,32.5,30.94,32.19,84800.0
2001-02-22,31.98,32.0,30.69,30.94,103000.0
2001-02-23,30.64,32.31,30.0,32.0,110600.0
2001-02-26,31.94,32.94,31.5,32.94,78700.0
2001-02-27,32.98,33.38,32.19,32.56,65200.0
2001-02-28,33.0,33.25,31.19,31.38,55000.0
2001-03-01,31.0,32.12,28.5,29.5,180500.0
2001-03-02,29.5,30.31,29.38,30.0,208000.0
2001-03-05,29.75,30.0,29.06,29.19,116900.0
2001-03-06,29.31,29.38,27.69,27.92,127500.0
2001-03-07,27.55,28.62,27.5,27.62,90300.0
2001-03-08,28.25,28.25,26.5,26.5,169000.0
2001-03-09,27.0,27.0,25.75,26.02,212200.0
2001-03-12,25.75,25.8,22.25,22.5,332900.0
2001-03-13,22.06,23.69,21.12,23.69,295300.0
2001-03-14,23.25,23.56,22.56,23.38,66700.0
2001-03-15,23.62,24.5,23.61,24.0,124900.0
2001-03-16,23.92,23.94,22.75,22.94,276800.0
2001-03-19,22.81,26.19,22.81,25.12,438600.0
2001-03-20,25.38,25.5,24.12,24.25,1488400.0
2001-03-21,24.38,24.69,22.5,22.88,606500.0
2001-03-22,22.56,25.31,21.25,23.5,1596800.0
2001-03-23,23.75,24.88,23.75,23.88,182500.0
2001-03-26,24.31,25.62,24.31,24.62,152300.0
2001-03-27,24.5,24.62,23.94,24.38,101100.0
2001-03-28,24.0,24.62,23.88,24.5,60900.0
2001-03-29,24.31,24.62,23.0,23.94,306800.0
2001-03-30,24.25,24.25,22.19,22.19,340200.0
2001-04-02,22.5,22.88,22.19,22.38,175300.0
2001-04-03,22.27,22.75,20.88,21.12,245600.0
2001-04-04,21.06,21.75,20.88,21.44,286500.0
2001-04-05,21.69,22.88,21.62,22.88,178800.0
2001-04-06,22.5,22.81,21.5,22.31,112100.0
2001-04-09,22.49,23.29,21.99,23.01,100200.0
2001-04-10,23.25,25.5,23.25,25.15,159400.0
