date,open,high,low,close,volume
1986-07-09,11.31,12.25,11.19,12.25,2025600.0
1986-07-10,12.25,12.37,11.9,12.14,2555200.0
1986-07-11,12.14,12.14,11.31,11.43,1360000.0
1986-07-14,11.43,11.43,11.08,11.31,672000.0
1986-07-15,11.43,11.43,11.19,11.31,1115200.0
1986-07-16,11.19,11.31,11.19,11.31,387200.0
1986-07-17,11.31,11.31,11.08,11.19,1166400.0
1986-07-18,11.19,11.31,11.19,11.19,366400.0
1986-07-21,11.31,11.31,10.96,11.08,478400.0
1986-07-22,11.08,11.08,10.96,10.96,344000.0
1986-07-23,10.96,10.96,10.13,10.13,881600.0
1986-07-24,10.13,10.49,9.66,9.9,785600.0
1986-07-25,9.9,9.9,9.43,9.54,704000.0
1986-07-28,9.78,9.78,9.54,9.78,392000.0
1986-07-29,9.78,9.78,9.54,9.66,1193600.0
1986-07-30,9.54,9.66,9.43,9.66,1300800.0
1986-07-31,9.54,9.78,9.54,9.66,1206400.0
1986-08-01,9.78,9.78,9.54,9.78,601600.0
1986-08-04,9.78,9.78,9.66,9.78,283200.0
1986-08-05,9.78,10.25,9.66,10.13,806400.0
1986-08-06,10.13,10.13,9.9,10.02,894400.0
1986-08-07,10.13,10.25,10.02,10.13,1619200.0
1986-08-08,10.02,10.25,10.02,10.02,374400.0
1986-08-11,9.9,10.02,9.9,10.02,417600.0
1986-08-12,9.9,10.13,9.9,10.02,905600.0
1986-08-13,9.9,10.13,9.9,10.13,705600.0
1986-08-14,10.13,10.13,9.78,10.02,1140800.0
1986-08-15,10.02,10.02,9.9,9.9,206400.0
1986-08-18,9.9,10.02,9.9,10.02,105600.0
1986-08-19,10.02,10.13,9.9,10.13,2139200.0
1986-08-20,10.13,10.13,9.9,10.13,65600.0
1986-08-21,10.02,10.25,9.9,9.9,1078400.0
1986-08-22,10.13,10.13,9.9,10.13,825600.0
1986-08-25,10.13,10.25,9.9,10.02,2011200.0
1986-08-26,9.9,10.02,9.43,9.66,1036800.0
1986-08-27,9.54,9.66,9.43,9.54,384000.0
1986-08-28,9.66,9.66,9.43,9.43,851200.0
1986-08-29,9.43,9.54,9.07,9.19,932800.0
1986-09-02,9.31,9.31,8.13,8.13,1160000.0
1986-09-03,8.25,8.37,7.54,8.37,2208000.0
1986-09-04,8.25,8.48,7.66,8.25,1984000.0
1986-09-05,8.37,8.48,8.13,8.13,840000.0
1986-09-08,8.37,8.37,7.89,8.13,486400.0
1986-09-09,8.13,8.13,7.89,7.89,1782400.0
1986-09-10,8.01,8.01,7.78,8.01,996800.0
1986-09-11,7.89,7.89,7.19,7.3,1600000.0
1986-09-12,7.42,7.54,7.07,7.42,651200.0
1986-09-15,7.42,7.54,7.42,7.54,219200.0
1986-09-16,7.42,7.54,7.3,7.42,342400.0
1986-09-17,7.54,7.54,7.3,7.42,273600.0
1986-09-18,7.42,7.42,7.3,7.3,761600.0
1986-09-19,7.3,7.42,7.07,7.07,198400.0
1986-09-22,7.3,7.3,7.07,7.07,473600.0
1986-09-23,7.3,7.3,7.07,7.19,5489600.0
1986-09-24,7.19,7.19,7.07,7.07,5177600.0
1986-09-25,7.07,7.19,6.95,7.07,8851200.0
1986-09-26,7.19,7.3,7.07,7.3,2305600.0
1986-09-29,7.3,7.54,7.19,7.54,2217600.0
1986-09-30,7.54,9.07,7.54,8.37,3777600.0
1986-10-01,8.48,8.6,8.13,8.13,1788800.0
1986-10-02,8.37,8.37,7.78,8.01,560000.0
1986-10-03,8.13,8.13,7.89,8.13,278400.0
1986-10-06,8.01,8.13,7.89,7.89,144000.0
1986-10-07,8.01,8.01,7.89,7.89,123200.0
1986-10-08,8.01,8.01,7.89,7.89,502400.0
1986-10-09,7.89,8.01,7.54,7.66,1550400.0
1986-10-10,7.54,7.78,7.54,7.66,1246400.0
1986-10-13,7.66,7.78,7.66,7.78,1190400.0
1986-10-14,7.66,7.78,7.19,7.66,13147200.0
1986-10-15,7.54,7.66,7.3,7.54,1252800.0
1986-10-16,7.42,7.54,7.3,7.42,356800.0
1986-10-17,7.3,7.54,7.3,7.54,1508800.0
1986-10-20,7.54,7.54,7.42,7.42,257600.0
1986-10-21,7.42,7.42,7.3,7.42,408000.0
1986-10-22,7.3,7.42,7.3,7.42,726400.0
1986-10-23,7.42,7.42,7.3,7.42,72000.0
1986-10-24,7.42,7.42,7.3,7.42,225600.0
1986-10-27,7.3,7.42,7.3,7.3,120000.0
1986-10-28,7.3,7.42,7.3,7.3,185600.0
1986-10-29,7.42,7.66,7.19,7.66,2497600.0
1986-10-30,7.66,7.78,7.54,7.66,756800.0
1986-10-31,7.54,7.66,7.3,7.3,771200.0
1986-11-03,7.42,7.42,7.07,7.07,1664000.0
1986-11-04,7.07,7.19,7.07,7.07,1624000.0
1986-11-05,7.19,7.19,6.95,7.07,1115200.0
1986-11-06,7.07,7.19,6.95,7.07,1032000.0
1986-11-07,7.19,7.19,6.72,7.07,4049600.0
1986-11-10,6.95,7.07,6.72,6.83,3792000.0
1986-11-11,6.95,6.95,6.83,6.83,513600.0
1986-11-12,6.83,6.95,6.72,6.83,1145600.0
1986-11-13,6.72,6.83,6.6,6.6,646400.0
1986-11-14,6.72,6.72,5.66,6.13,11952000.0
1986-11-17,6.24,6.24,5.54,5.54,1851200.0
1986-11-18,5.54,5.66,5.18,5.3,3214400.0
1986-11-19,5.3,5.66,5.3,5.54,1510400.0
1986-11-20,5.54,5.89,5.42,5.77,2342400.0
1986-11-21,5.77,5.77,5.54,5.66,2412800.0
1986-11-24,5.54,5.66,5.3,5.42,1211200.0
1986-11-25,5.42,5.42,4.71,4.83,2891200.0
1986-11-26,4.83,4.95,4.48,4.48,1936000.0
1986-11-28,4.6,5.18,4.01,5.18,66080000.0
1986-12-01,5.3,5.3,4.95,5.18,2512000.0
1986-12-02,5.3,5.3,4.71,4.95,2129600.0
