date,open,high,low,close,volume
1992-06-26,21.0,22.25,20.5,21.5,112281600.0
1992-06-29,21.75,23.5,21.25,23.0,29504000.0
1992-06-30,23.5,23.75,22.0,22.25,17449600.0
1992-07-01,22.5,23.0,21.75,22.75,9270400.0
1992-07-02,23.0,23.0,22.25,22.75,7155200.0
1992-07-06,22.5,22.75,22.25,22.75,3056000.0
1992-07-07,22.75,22.75,22.25,22.75,5449600.0
1992-07-08,22.75,22.75,22.0,22.25,7788800.0
1992-07-09,22.5,23.0,22.25,23.0,1984000.0
1992-07-10,23.0,23.5,22.5,23.25,5564800.0
1992-07-13,23.25,23.75,23.0,23.75,3065600.0
1992-07-14,23.75,24.5,23.5,23.75,8649600.0
1992-07-15,24.0,24.5,23.75,24.5,2640000.0
1992-07-16,24.5,26.5,24.25,26.12,8649600.0
1992-07-17,26.25,28.0,25.5,27.5,7920000.0
1992-07-20,27.37,28.0,26.75,27.75,10025600.0
1992-07-21,28.0,28.5,27.5,28.0,3920000.0
1992-07-22,27.75,28.0,27.0,27.75,5449600.0
1992-07-23,27.75,28.25,27.25,28.25,5235200.0
1992-07-24,27.75,28.75,27.5,28.5,3529600.0
1992-07-27,28.75,29.75,28.5,29.12,5868800.0
1992-07-28,29.5,29.75,27.5,28.0,9030400.0
1992-07-29,28.0,28.0,26.0,26.62,15459200.0
1992-07-30,26.25,26.75,25.75,26.5,5929600.0
1992-07-31,26.5,26.75,26.0,26.62,3580800.0
1992-08-03,26.25,27.25,26.25,26.87,2515200.0
1992-08-04,27.0,27.5,26.37,27.37,3529600.0
1992-08-05,27.25,27.25,25.75,26.25,4915200.0
1992-08-06,26.0,26.25,25.5,26.25,1971200.0
1992-08-07,26.25,27.25,25.5,27.25,4553600.0
1992-08-10,26.75,27.75,26.5,27.25,2979200.0
1992-08-11,27.75,27.75,27.0,27.5,2160000.0
1992-08-12,27.0,27.25,25.75,26.25,6531200.0
1992-08-13,26.25,26.62,25.75,26.25,24249600.0
1992-08-14,26.0,26.5,24.5,24.75,9084800.0
1992-08-17,25.0,25.25,24.5,25.25,1376000.0
1992-08-18,24.5,25.0,24.5,25.0,1513600.0
1992-08-19,24.5,25.0,24.5,25.0,1321600.0
1992-08-20,25.0,25.62,24.25,24.75,1404800.0
1992-08-21,24.75,24.75,24.25,24.25,1059200.0
1992-08-24,24.5,24.75,24.0,24.5,3593600.0
1992-08-25,24.0,24.5,24.0,24.25,2144000.0
1992-08-26,24.0,24.5,23.0,24.0,9744000.0
1992-08-27,24.25,24.75,24.0,24.5,3200000.0
1992-08-28,24.5,25.0,24.25,25.0,1769600.0
1992-08-31,25.0,25.25,24.5,24.87,2390400.0
1992-09-01,25.0,25.75,24.75,25.25,1324800.0
1992-09-02,25.75,27.75,25.25,27.62,5894400.0
1992-09-03,27.5,29.0,27.5,28.5,8374400.0
1992-09-04,28.5,29.0,28.25,28.75,2240000.0
1992-09-08,29.0,31.75,28.5,31.12,8710400.0
1992-09-09,29.75,31.25,29.0,30.75,12745600.0
1992-09-10,30.25,30.75,29.75,30.5,4604800.0
1992-09-11,30.25,32.0,30.25,31.25,6585600.0
1992-09-14,31.75,33.0,31.5,32.75,6611200.0
1992-09-15,32.25,32.88,30.75,30.75,9100800.0
1992-09-16,29.5,30.5,29.25,29.75,7548800.0
1992-09-17,30.0,30.25,28.0,28.5,6736000.0
1992-09-18,28.0,28.5,26.75,27.25,8806400.0
1992-09-21,27.5,30.0,26.75,29.5,12099200.0
1992-09-22,29.5,31.0,29.0,30.75,9606400.0
1992-09-23,30.75,30.75,29.25,30.5,13465600.0
1992-09-24,30.75,31.0,30.0,30.75,2825600.0
1992-09-25,30.5,31.25,30.25,30.5,6214400.0
1992-09-28,30.75,32.25,30.5,32.13,3904000.0
1992-09-29,31.75,32.25,30.75,30.87,4976000.0
1992-09-30,30.75,31.25,30.25,30.25,5628800.0
1992-10-01,30.75,30.75,29.25,29.5,2300800.0
1992-10-02,29.25,29.5,28.0,28.75,3011200.0
1992-10-05,27.25,29.0,27.0,29.0,6544000.0
1992-10-06,29.5,29.5,28.5,29.25,3084800.0
1992-10-07,29.25,29.25,28.5,28.5,1984000.0
1992-10-08,28.75,29.25,28.5,29.25,1388800.0
1992-10-09,29.25,29.25,28.5,28.62,1360000.0
1992-10-12,28.5,29.75,28.5,29.75,2150400.0
1992-10-13,29.75,30.25,29.25,30.25,2348800.0
1992-10-14,30.25,30.5,29.5,29.75,2444800.0
1992-10-15,29.5,30.25,29.0,30.0,1584000.0
1992-10-16,30.0,31.25,29.5,31.0,4515200.0
1992-10-19,31.25,32.5,30.75,32.5,7379200.0
1992-10-20,32.75,33.0,32.0,32.0,4115200.0
1992-10-21,32.25,32.25,31.5,31.5,1731200.0
1992-10-22,32.0,32.25,31.5,32.25,2889600.0
1992-10-23,32.25,32.5,31.75,32.0,2899200.0
1992-10-26,32.5,32.5,31.5,31.75,3830400.0
1992-10-27,31.75,31.75,29.0,29.5,9804800.0
1992-10-28,29.25,29.75,28.0,28.25,11254400.0
1992-10-29,29.0,30.0,28.5,30.0,10684800.0
1992-10-30,30.0,30.0,29.25,29.5,2560000.0
1992-11-02,29.75,30.0,28.5,28.5,9315200.0
1992-11-03,28.75,29.25,28.25,29.25,3030400.0
1992-11-04,29.25,29.5,28.75,29.12,1990400.0
1992-11-05,28.75,29.75,28.75,29.75,8816000.0
1992-11-06,30.0,32.0,29.5,31.75,12553600.0
1992-11-09,32.0,32.5,31.25,32.0,6576000.0
1992-11-10,32.25,32.25,31.0,31.25,2544000.0
1992-11-11,31.5,32.0,31.0,31.75,2224000.0
1992-11-12,32.0,32.25,30.75,30.75,6364800.0
1992-11-13,31.25,32.25,30.75,32.0,5760000.0
1992-11-16,32.25,32.5,31.75,32.25,6409600.0
1992-11-17,32.5,32.5,32.0,32.5,4291200.0
1992-11-18,32.0,34.25,32.0,34.0,12729600.0
1992-11-19,34.0,36.0,34.0,36.0,9660800.0
1992-11-20,36.0,37.5,35.5,35.63,23078400.0
1992-11-23,36.0,36.25,34.5,35.75,8486400.0
1992-11-24,36.0,36.75,35.5,36.0,3120000.0
1992-11-25,36.25,37.25,35.75,36.88,4131200.0
1992-11-27,37.25,37.25,36.5,36.63,1385600.0
1992-11-30,37.25,38.0,36.25,37.75,4873600.0
1992-12-01,38.0,38.0,36.5,37.0,4646400.0
1992-12-02,36.75,36.75,33.75,35.75,22566400.0
1992-12-03,35.75,35.75,33.75,35.25,14140800.0
1992-12-04,34.63,35.5,33.75,35.25,12195200.0
1992-12-07,35.5,35.5,34.25,34.38,17424000.0
