date,open,high,low,close,volume
2001-03-07,7.66,9.41,7.5,8.25,6685000.0
2001-03-08,8.56,9.0,8.12,8.75,1144600.0
2001-03-09,8.88,8.88,8.25,8.5,389000.0
2001-03-12,8.61,8.62,7.5,7.75,425200.0
2001-03-13,7.83,7.88,7.38,7.69,290100.0
2001-03-14,7.25,7.5,7.12,7.25,223100.0
2001-03-15,7.31,7.38,6.38,6.62,572300.0
2001-03-16,6.64,7.06,6.62,7.06,114500.0
2001-03-19,7.12,7.62,7.0,7.12,172900.0
2001-03-20,7.11,7.12,7.0,7.06,153600.0
2001-03-21,7.06,7.06,6.94,7.0,197200.0
2001-03-22,7.0,7.06,7.0,7.0,217900.0
2001-03-23,7.03,7.06,6.5,6.69,298300.0
2001-03-26,6.62,7.06,6.62,6.91,90100.0
2001-03-27,7.06,7.06,6.25,6.56,209200.0
2001-03-28,6.75,6.88,6.0,6.19,623500.0
2001-03-29,6.05,6.06,5.25,5.44,237500.0
2001-03-30,5.38,5.5,4.38,5.0,279600.0
2001-04-02,5.5,5.88,4.75,5.5,536300.0
2001-04-03,5.38,5.38,5.03,5.19,184800.0
2001-04-04,5.19,5.25,4.75,4.88,190700.0
2001-04-05,5.06,5.78,5.05,5.59,101800.0
2001-04-06,5.75,6.75,5.25,6.5,130500.0
2001-04-09,6.5,7.1,6.5,6.7,153000.0
2001-04-10,6.74,6.8,6.35,6.4,70400.0
2001-04-11,6.4,6.58,6.4,6.52,44800.0
2001-04-12,6.55,6.58,6.4,6.58,29800.0
2001-04-16,6.58,6.7,5.63,6.06,107200.0
2001-04-17,6.01,6.1,5.91,6.1,27100.0
2001-04-18,6.1,7.05,6.05,6.82,91100.0
2001-04-19,6.89,6.92,6.52,6.8,117800.0
2001-04-20,6.7,7.05,6.5,6.95,72500.0
2001-04-23,7.0,7.0,6.41,6.95,30300.0
2001-04-24,6.9,7.0,6.5,6.85,64000.0
2001-04-25,6.69,6.85,6.4,6.75,47300.0
2001-04-26,6.76,6.8,6.65,6.65,18900.0
2001-04-27,6.68,8.45,6.68,8.24,233100.0
2001-04-30,8.21,8.25,8.0,8.05,324700.0
2001-05-01,8.05,8.1,7.8,8.08,344300.0
2001-05-02,8.26,8.83,8.06,8.25,184800.0
2001-05-03,8.16,8.3,7.13,8.1,136900.0
2001-05-04,8.04,9.95,8.04,9.2,225600.0
2001-05-07,9.6,11.49,9.6,10.38,565600.0
2001-05-08,10.98,11.1,9.74,10.35,263800.0
2001-05-09,10.3,10.3,9.6,10.02,68200.0
2001-05-10,10.05,10.7,9.88,9.91,119900.0
2001-05-11,9.9,10.05,9.5,9.93,103300.0
2001-05-14,9.99,9.99,8.3,8.82,122600.0
2001-05-15,8.92,9.0,8.1,8.1,112300.0
2001-05-16,8.08,9.45,7.55,9.39,121500.0
2001-05-17,9.4,9.4,8.54,8.97,100900.0
2001-05-18,8.93,8.93,7.7,8.25,99800.0
2001-05-21,8.15,8.85,8.06,8.43,193800.0
2001-05-22,8.9,9.45,8.5,8.9,141900.0
2001-05-23,8.77,9.55,8.76,9.15,131800.0
2001-05-24,9.2,9.29,8.8,9.18,120200.0
2001-05-25,9.18,9.18,8.66,8.78,98900.0
2001-05-29,8.88,8.96,8.54,8.75,74900.0
2001-05-30,8.66,8.7,8.35,8.69,108900.0
2001-05-31,8.64,9.05,8.61,9.0,170100.0
2001-06-01,8.99,9.05,8.47,8.71,63700.0
2001-06-04,8.74,9.13,8.65,9.0,46400.0
2001-06-05,9.15,9.3,8.75,9.25,199800.0
2001-06-06,9.25,9.25,8.44,8.92,128800.0
2001-06-07,9.0,9.0,8.6,8.75,72300.0
2001-06-08,8.9,9.09,8.49,8.52,117000.0
2001-06-11,8.84,8.84,7.5,7.55,160400.0
2001-06-12,7.74,7.74,6.72,6.94,228000.0
2001-06-13,7.04,7.24,6.95,7.08,118200.0
2001-06-14,7.0,7.05,6.52,6.58,105300.0
2001-06-15,6.52,6.9,6.51,6.8,119900.0
2001-06-18,6.71,7.18,6.5,6.7,45100.0
2001-06-19,6.69,6.83,6.45,6.46,55700.0
2001-06-20,6.45,6.45,6.0,6.26,131600.0
2001-06-21,6.22,6.88,6.2,6.85,40700.0
2001-06-22,6.88,6.94,6.5,6.5,38300.0
2001-06-25,6.84,6.88,6.63,6.7,100300.0
2001-06-26,6.82,6.82,6.51,6.66,42100.0
2001-06-27,6.77,6.8,6.5,6.74,31100.0
2001-06-28,6.75,6.86,6.4,6.55,147100.0
2001-06-29,6.5,6.73,6.1,6.1,145700.0
2001-07-02,6.14,6.61,6.14,6.33,57700.0
2001-07-03,6.39,6.6,6.25,6.44,27500.0
