date,open,high,low,close,volume
2001-01-02,23.52,23.53,21.97,22.09,1134200.0
2001-01-03,22.02,25.16,21.84,25.12,5436800.0
2001-01-04,24.22,24.81,23.69,23.78,2888800.0
2001-01-05,23.81,24.5,23.22,24.0,1056800.0
2001-01-08,24.03,24.12,23.5,24.06,1274600.0
2001-01-09,24.06,25.62,24.06,24.62,5897800.0
2001-01-10,24.56,25.59,24.56,25.03,4511600.0
2001-01-11,25.03,26.03,25.03,25.72,9250800.0
2001-01-12,25.62,26.44,25.25,25.78,4874600.0
2001-01-16,25.5,25.81,24.72,25.12,2469800.0
2001-01-17,25.16,25.94,25.16,25.41,3295200.0
2001-01-18,25.31,26.0,24.88,24.97,2624000.0
2001-01-19,24.97,26.88,24.97,26.59,5459800.0
2001-01-22,26.56,27.56,26.56,27.53,3233000.0
2001-01-23,27.07,28.25,27.03,27.56,2425200.0
2001-01-24,27.56,27.56,26.19,26.87,1673000.0
2001-01-25,26.69,27.0,25.88,26.03,1403800.0
2001-01-26,26.03,26.22,25.72,25.88,1471200.0
2001-01-29,25.91,26.97,25.62,26.72,895000.0
2001-01-30,26.6,27.88,26.59,27.44,2233400.0
2001-01-31,27.34,27.38,25.31,26.0,2754200.0
2001-02-01,27.34,27.94,26.84,27.69,5239800.0
2001-02-02,27.56,27.69,26.69,26.98,1563000.0
2001-02-05,27.0,27.16,25.88,26.12,1547400.0
2001-02-06,26.17,26.97,26.0,26.69,1986400.0
2001-02-07,26.66,26.69,24.81,25.66,2364800.0
2001-02-08,25.72,25.78,24.69,25.34,1477000.0
2001-02-09,25.0,25.06,24.06,24.75,1461200.0
2001-02-12,24.56,25.59,24.47,24.94,1630200.0
2001-02-13,25.16,26.0,25.12,25.38,1774800.0
2001-02-14,25.72,25.88,24.94,25.17,945400.0
2001-02-15,25.53,27.0,25.5,25.94,1750600.0
2001-02-16,25.58,26.56,24.81,26.26,574400.0
2001-02-20,26.28,26.47,25.06,25.28,941800.0
2001-02-21,25.09,25.09,24.19,24.5,1794200.0
2001-02-22,25.69,27.06,25.69,26.44,6242000.0
2001-02-23,26.06,26.81,24.69,26.44,2555000.0
2001-02-26,26.19,28.88,26.12,28.81,3741000.0
2001-02-27,28.22,29.22,27.94,28.06,3098400.0
2001-02-28,27.84,28.0,26.78,27.16,1530600.0
2001-03-01,26.44,27.03,25.56,26.91,3408000.0
2001-03-02,26.38,27.44,25.62,26.98,3805400.0
2001-03-05,27.06,27.97,26.75,27.88,2478000.0
2001-03-06,28.0,29.66,27.97,29.53,5770400.0
2001-03-07,29.53,31.06,29.5,30.94,7226400.0
2001-03-08,30.44,30.5,29.81,30.09,2466000.0
2001-03-09,29.62,29.78,28.62,29.0,1965200.0
2001-03-12,28.12,28.75,26.88,27.5,5555800.0
2001-03-13,27.69,28.06,25.78,26.31,4042600.0
2001-03-14,25.41,26.97,25.03,25.88,2758800.0
2001-03-15,26.03,26.44,25.31,25.38,1111400.0
2001-03-16,25.18,25.75,23.59,24.62,2589200.0
2001-03-19,24.56,24.81,23.12,24.09,5532800.0
2001-03-20,24.12,25.5,23.75,24.19,4421800.0
2001-03-21,24.47,24.81,22.53,22.78,3547200.0
2001-03-22,22.81,23.22,20.92,22.41,6513200.0
2001-03-23,22.84,23.53,21.84,23.16,3697600.0
2001-03-26,23.0,23.62,22.3,22.5,2278200.0
2001-03-27,22.47,23.81,22.22,23.62,2773400.0
2001-03-28,23.06,23.62,21.44,21.56,3506600.0
2001-03-29,21.59,23.75,21.25,23.25,5085600.0
2001-03-30,23.25,24.91,22.03,23.47,4114600.0
2001-04-02,23.5,24.47,22.94,23.0,4665800.0
2001-04-03,22.41,23.59,22.09,22.16,4529800.0
2001-04-04,22.25,23.5,21.62,22.81,4703000.0
2001-04-05,23.66,24.28,23.06,23.97,3781800.0
2001-04-06,23.88,24.12,23.19,23.84,1681800.0
