date,open,high,low,close,volume
2015-10-27,41.11,41.73,38.06,39.02,11727710.0
2015-10-28,39.78,40.05,38.73,39.31,7287461.0
2015-10-29,39.0,39.59,36.54,37.48,8366963.0
2015-10-30,37.38,37.99,36.94,37.89,6082834.0
2015-11-02,37.66,38.56,37.53,38.29,5538363.0
2015-11-03,38.29,38.72,38.0,38.66,4007897.0
2015-11-04,38.78,39.15,38.0,38.86,4423849.0
2015-11-05,38.96,41.19,38.29,39.44,6633914.0
2015-11-06,39.02,39.34,38.58,39.11,3332883.0
2015-11-09,39.62,39.62,38.08,38.56,4809357.0
2015-11-10,38.16,38.24,36.75,37.03,7500972.0
2015-11-11,37.39,37.78,37.29,37.4,4900782.0
2015-11-12,37.36,38.2,36.96,37.97,4425070.0
2015-11-13,37.6,39.06,37.6,38.72,5966327.0
2015-11-16,38.23,38.25,37.37,37.87,3986656.0
2015-11-17,37.94,38.45,37.8,38.15,2786273.0
2015-11-18,37.61,37.78,36.46,37.32,5950213.0
2015-11-19,37.47,37.92,37.25,37.73,3223685.0
2015-11-20,37.99,38.6,37.7,38.44,3396849.0
2015-11-23,38.27,38.5,37.91,38.03,6175364.0
2015-11-24,38.01,38.69,37.77,38.39,10153419.0
2015-11-25,38.1,38.43,36.91,36.97,5883616.0
2015-11-27,37.1,37.11,36.52,36.89,1474576.0
2015-11-30,36.71,36.8,35.48,35.5,7241854.0
2015-12-01,35.86,36.41,35.03,36.18,5516399.0
2015-12-02,36.29,36.4,35.7,35.72,2817108.0
2015-12-03,35.53,35.86,34.24,34.55,5214360.0
2015-12-04,34.5,35.53,34.47,35.45,4572221.0
2015-12-07,35.22,37.5,35.22,36.61,5172142.0
2015-12-08,36.66,37.22,36.31,36.89,5038082.0
2015-12-09,36.43,36.89,35.73,36.07,7115915.0
2015-12-10,36.25,36.69,36.05,36.34,2494307.0
2015-12-11,35.96,36.47,35.79,36.0,5009786.0
2015-12-14,36.0,36.68,35.84,36.53,4802775.0
2015-12-15,36.58,38.35,36.56,38.16,5487758.0
2015-12-16,38.32,39.25,38.12,39.13,4701300.0
2015-12-17,39.18,39.76,39.0,39.21,4869398.0
2015-12-18,39.0,39.28,37.63,37.89,26509262.0
2015-12-21,38.04,38.98,37.8,38.98,3843525.0
2015-12-22,38.99,39.41,38.36,39.26,2642776.0
2015-12-23,39.49,40.35,39.31,40.13,2689307.0
2015-12-24,40.2,40.25,39.65,39.67,882270.0
2015-12-28,39.56,39.83,39.35,39.78,1310890.0
2015-12-29,39.9,40.22,39.6,40.12,1664039.0
2015-12-30,40.05,40.05,39.53,39.74,2650006.0
2015-12-31,39.53,39.69,38.73,39.12,3620652.0
2016-01-04,38.86,39.02,38.46,38.94,4592365.0
2016-01-05,38.9,40.5,38.76,40.21,5553570.0
2016-01-06,39.56,40.38,39.33,40.05,7242405.0
2016-01-07,39.38,40.68,39.27,40.5,8091120.0
2016-01-08,40.86,41.23,39.78,39.87,3506148.0
2016-01-11,39.96,39.98,39.17,39.67,3891859.0
2016-01-12,39.83,40.12,39.38,40.07,3846760.0
2016-01-13,40.16,40.45,38.83,38.85,3621485.0
2016-01-14,38.74,39.71,37.99,39.39,3411104.0
2016-01-15,37.99,38.9,36.79,37.78,5125424.0
2016-01-19,38.13,38.23,37.44,37.65,3046062.0
2016-01-20,37.15,37.66,35.49,37.36,4814243.0
2016-01-21,37.4,37.96,36.77,37.09,3827351.0
2016-01-22,37.86,38.06,37.49,37.85,3955755.0
2016-01-25,37.97,38.97,37.5,37.89,3012091.0
2016-01-26,38.17,39.68,37.96,39.43,2718228.0
2016-01-27,39.42,39.49,38.35,38.5,2304103.0
2016-01-28,38.64,38.9,38.16,38.67,1418550.0
2016-01-29,39.44,40.17,38.85,40.15,3566343.0
2016-02-01,40.04,40.65,39.46,40.59,3645989.0
2016-02-02,40.03,40.25,38.99,39.27,2974748.0
2016-02-03,39.55,39.99,37.23,38.34,5139654.0
2016-02-04,38.82,38.99,37.75,38.7,3778786.0
2016-02-05,39.05,39.08,35.39,35.66,7554588.0
2016-02-08,35.42,35.53,33.53,33.96,6731717.0
2016-02-09,33.75,34.39,33.23,33.89,8213983.0
2016-02-10,34.31,35.19,33.72,34.57,3776156.0
2016-02-11,33.78,34.42,33.6,34.03,3960539.0
2016-02-12,34.59,35.27,34.01,35.11,3200574.0
2016-02-16,35.78,36.53,35.05,36.45,4422525.0
2016-02-17,38.31,38.31,35.86,36.85,9705447.0
2016-02-18,37.11,37.45,36.45,36.63,4004346.0
2016-02-19,36.33,36.64,34.86,34.95,5286107.0
2016-02-22,35.56,35.98,35.28,35.83,4944571.0
2016-02-23,35.8,36.4,35.52,36.2,2826742.0
2016-02-24,36.16,37.0,35.81,36.78,7954498.0
2016-02-25,37.0,38.44,36.9,38.36,4312747.0
2016-02-26,37.36,37.78,36.57,37.47,4714902.0
2016-02-29,37.48,38.01,37.09,37.1,4386147.0
2016-03-01,37.03,38.69,37.0,38.65,4224342.0
2016-03-02,38.54,38.81,37.69,38.77,2544095.0
2016-03-03,39.5,39.79,38.77,38.97,6974775.0
2016-03-04,39.12,39.51,38.38,38.48,3446762.0
2016-03-07,38.24,39.2,38.24,38.64,4463352.0
2016-03-08,38.62,39.1,38.33,38.95,4869282.0
2016-03-09,39.0,39.03,38.16,38.2,6058677.0
2016-03-10,38.48,38.75,37.47,37.57,5178938.0
2016-03-11,37.84,38.15,37.47,37.75,6587086.0
2016-03-14,37.5,37.57,36.69,37.09,4344079.0
2016-03-15,36.76,36.93,36.26,36.77,3537235.0
2016-03-16,36.8,37.24,36.48,37.18,4939850.0
2016-03-17,37.18,37.52,36.96,37.16,4757038.0
2016-03-18,37.34,37.62,36.75,36.93,5395121.0
2016-03-21,37.43,37.49,36.91,37.35,2737929.0
2016-03-22,36.9,37.41,36.85,37.28,3132060.0
2016-03-23,37.17,37.26,36.27,37.07,3287677.0
2016-03-24,36.85,37.1,36.44,37.0,6775085.0
2016-03-28,36.98,37.19,36.75,37.04,2608088.0
2016-03-29,37.14,38.61,36.82,38.43,4809637.0
2016-03-30,38.54,38.99,38.18,38.44,2693615.0
2016-03-31,38.52,38.64,38.01,38.3,3830488.0
2016-04-01,38.06,39.5,37.93,39.36,6229218.0
2016-04-04,39.24,39.96,39.06,39.66,4075431.0
2016-04-05,39.34,39.74,38.82,39.14,3926208.0
2016-04-06,39.31,39.48,38.95,39.1,2772060.0
2016-04-07,38.75,39.04,38.42,38.82,4579519.0
2016-04-08,38.98,39.11,38.45,38.7,1873153.0
2016-04-11,38.77,39.0,38.52,38.64,1819210.0
2016-04-12,38.6,39.18,38.45,38.89,3305729.0
2016-04-13,39.12,39.35,38.66,38.85,2653282.0
2016-04-14,38.81,38.99,38.44,38.81,2068330.0
2016-04-15,38.99,39.51,38.88,39.29,6091532.0
2016-04-18,39.12,39.61,38.99,39.25,8172074.0
2016-04-19,39.36,39.86,39.01,39.84,8717664.0
2016-04-20,39.96,40.82,39.67,40.15,6149979.0
2016-04-21,40.1,40.59,38.31,40.25,4132898.0
2016-04-22,40.22,40.85,40.11,40.22,3651997.0
2016-04-25,40.3,41.26,40.01,41.18,6977180.0
2016-04-26,41.84,42.2,39.17,39.33,14904919.0
2016-04-27,39.45,40.12,39.41,39.7,7511581.0
2016-04-28,39.62,40.1,39.4,39.76,4344433.0
2016-04-29,39.4,39.73,38.47,39.28,5389105.0
2016-05-02,39.36,40.1,39.29,39.99,3703592.0
2016-05-03,39.83,39.88,39.43,39.66,3310492.0
2016-05-04,39.51,39.91,39.08,39.1,3750410.0
2016-05-05,39.1,39.67,38.87,39.25,3883762.0
2016-05-06,39.0,39.62,38.67,39.49,2565999.0
2016-05-09,39.58,40.0,39.43,39.9,2118834.0
2016-05-10,39.97,40.9,39.89,40.81,6717344.0
2016-05-11,40.66,41.11,40.53,40.82,3992943.0
2016-05-12,40.83,41.06,40.49,40.72,3839533.0
2016-05-13,40.56,41.04,40.56,40.64,3433979.0
2016-05-16,40.55,40.89,40.3,40.62,3007437.0
2016-05-17,40.42,41.46,40.41,40.72,7527063.0
2016-05-18,40.72,41.12,40.28,40.68,5051795.0
2016-05-19,40.42,40.89,40.09,40.81,3001343.0
2016-05-20,40.98,42.11,40.89,41.7,6966921.0
2016-05-23,41.56,41.88,41.35,41.64,4266307.0
2016-05-24,41.69,41.93,41.18,41.87,4371536.0
2016-05-25,41.93,42.18,41.6,42.12,2311671.0
