date,open,high,low,close,volume
2011-01-26,24.71,24.88,24.1,24.75,1078933.0
2011-01-27,24.74,25.08,24.53,24.92,895155.0
2011-01-28,24.88,24.88,23.75,24.01,1043121.0
2011-01-31,24.05,24.12,23.5,24.1,829812.0
2011-02-01,24.31,24.73,23.54,23.91,707791.0
2011-02-02,24.16,24.18,23.66,23.94,569472.0
2011-02-03,23.82,23.9,23.15,23.63,509017.0
2011-02-04,23.44,23.67,23.22,23.46,543617.0
2011-02-07,23.26,23.26,22.88,23.07,895011.0
2011-02-08,23.78,25.25,23.0,24.49,3504583.0
2011-02-09,24.13,24.18,22.79,23.21,2633662.0
2011-02-10,23.26,23.64,22.81,23.21,818220.0
2011-02-11,23.25,23.75,22.94,23.25,634472.0
2011-02-14,23.64,24.14,23.05,23.08,1280993.0
2011-03-25,22.43,23.0,22.4,22.75,567922.0
2011-03-28,22.7,23.53,22.55,23.25,1057268.0
2011-03-29,23.3,24.0,23.21,23.92,753291.0
2011-03-30,24.11,24.49,23.01,23.71,1218561.0
2011-03-31,26.55,28.71,26.5,27.75,11283081.0
2011-04-01,27.45,28.18,26.57,26.66,2864205.0
2011-04-04,26.83,27.0,25.23,25.83,2607605.0
2011-04-05,25.9,27.0,25.69,26.7,3149476.0
2011-04-06,26.99,27.01,25.8,26.49,1278747.0
2011-04-07,26.85,27.94,26.45,27.24,2807716.0
2011-04-08,27.58,27.6,26.36,26.49,1943572.0
2011-04-11,26.47,26.53,25.02,25.27,1368850.0
2011-04-12,25.08,25.21,24.3,24.65,1356601.0
2011-04-13,25.13,25.69,24.81,24.93,1209894.0
2011-04-14,24.87,25.28,24.2,25.14,983382.0
2011-04-15,25.65,26.18,25.41,25.58,942901.0
2011-04-18,25.13,25.62,24.36,25.03,1032371.0
2011-04-19,25.26,25.26,24.65,25.16,548393.0
2011-04-20,25.7,26.09,25.3,25.75,835169.0
2011-04-21,25.85,26.98,25.59,26.74,1382239.0
2011-04-25,26.7,26.73,25.97,26.39,797739.0
2011-04-26,26.66,27.25,26.31,26.93,1366232.0
2011-04-27,26.93,27.36,26.63,27.08,993101.0
2011-04-28,27.07,27.69,26.72,27.66,1641685.0
2011-04-29,27.69,27.87,27.42,27.6,721954.0
2011-05-02,27.6,27.8,27.06,27.45,780524.0
2011-05-03,27.38,27.39,26.5,26.87,911765.0
2011-05-04,26.78,27.0,25.75,26.69,937843.0
2011-05-05,27.2,27.44,26.17,26.44,1218349.0
2011-05-06,26.9,27.7,26.62,27.12,977232.0
2011-05-09,27.0,28.0,26.85,27.91,910153.0
2011-05-10,28.24,28.95,27.91,28.33,1530818.0
2011-05-11,28.2,28.29,26.92,27.07,960078.0
2011-05-12,27.07,27.74,26.65,27.67,626140.0
2011-05-13,28.0,28.18,27.3,27.55,661367.0
2011-05-16,27.99,27.99,26.55,26.6,753122.0
2011-05-17,27.0,27.0,25.72,25.96,1233156.0
2011-05-18,26.1,26.47,25.52,26.35,729407.0
2011-05-19,27.03,28.44,26.6,28.2,2653467.0
2011-05-20,28.26,28.28,27.35,27.97,840634.0
2011-05-23,27.62,27.62,26.62,26.82,863448.0
2011-05-24,27.02,27.5,26.6,26.72,613553.0
2011-05-25,26.9,29.01,26.17,28.98,4687059.0
2011-05-26,28.82,29.76,28.1,29.48,3335626.0
2011-05-27,29.54,29.67,28.82,29.55,1676519.0
2011-05-31,29.69,30.28,29.55,30.14,3278846.0
2011-06-01,30.0,30.1,28.38,28.51,1527755.0
2011-06-02,28.7,29.31,28.58,28.7,1589715.0
2011-06-03,29.95,31.5,29.5,30.13,6206484.0
2011-06-06,30.1,30.13,28.26,28.7,2328182.0
