date,open,high,low,close,volume
2012-07-25,26.52,27.13,26.38,26.63,7572918.0
2012-07-26,27.12,27.74,26.83,27.05,7960383.0
2012-07-27,27.18,27.49,26.79,27.34,11686216.0
2012-07-30,27.45,27.6,27.01,27.21,7941521.0
2012-07-31,27.22,27.45,27.11,27.24,10428343.0
2012-08-01,27.48,27.8,27.32,27.63,9343718.0
2012-08-02,27.38,27.83,27.0,27.25,9400340.0
2012-08-03,27.61,28.38,27.61,28.27,8558098.0
2012-08-06,28.27,28.68,28.18,28.24,9734502.0
2012-08-07,28.32,29.36,28.3,29.23,14511719.0
2012-08-08,29.11,29.4,29.06,29.36,7839846.0
2012-08-09,29.31,29.79,29.23,29.54,7839775.0
2012-08-10,29.52,29.75,29.33,29.75,6582605.0
2012-08-13,29.72,29.75,29.15,29.54,7786839.0
2012-08-14,29.74,29.85,29.35,29.48,5787571.0
2012-08-15,29.54,29.93,29.43,29.9,7831579.0
2012-08-16,30.0,30.38,29.82,30.27,9128188.0
2012-08-17,30.38,30.38,29.96,30.09,2902283.0
2012-08-20,30.38,30.38,29.96,30.09,2902283.0
2012-08-21,30.38,30.38,29.96,30.09,2902283.0
2012-08-22,29.58,29.74,29.17,29.38,6650103.0
2012-08-23,29.22,29.5,29.01,29.32,5703422.0
2012-08-24,29.21,29.68,29.12,29.56,5731139.0
2012-08-27,29.6,29.65,29.26,29.32,5945531.0
2012-08-28,29.21,29.56,29.16,29.24,6310386.0
2012-08-29,29.31,29.56,29.15,29.4,4149499.0
2012-08-30,29.17,29.38,28.93,29.01,5936661.0
2012-08-31,29.31,29.38,28.88,29.04,8561247.0
2012-09-04,28.92,29.01,28.5,28.78,5782196.0
2012-09-05,28.7,28.89,28.47,28.52,5816676.0
2012-09-06,28.69,29.57,28.64,29.56,8563665.0
2012-09-07,29.3,29.34,29.03,29.18,7937151.0
2012-09-10,29.17,29.29,28.64,28.67,7805890.0
2012-09-11,28.61,28.85,28.52,28.58,7856217.0
2012-09-12,28.47,28.81,28.24,28.59,10391744.0
2012-09-13,28.51,29.15,28.33,28.9,12965629.0
2012-09-14,29.05,29.7,29.02,29.56,10266395.0
2012-09-17,29.63,29.71,28.98,29.1,5448985.0
2012-09-18,28.94,28.98,28.58,28.66,9918097.0
2012-09-19,28.68,28.78,28.38,28.69,11309025.0
2012-09-20,28.49,28.91,28.41,28.85,7754111.0
2012-09-21,28.97,29.29,28.96,28.99,10430493.0
2012-09-24,28.64,28.73,28.48,28.68,6418071.0
2012-09-25,28.8,28.95,27.78,27.83,10588761.0
2012-09-26,27.46,27.58,26.94,27.57,16959320.0
2012-09-27,27.71,27.95,27.43,27.87,9112547.0
2012-09-28,27.72,27.82,27.39,27.55,9220913.0
2012-10-01,27.55,27.81,27.47,27.61,9645043.0
2012-10-02,27.75,27.8,27.51,27.61,8403881.0
2012-10-03,27.35,27.69,27.35,27.47,8718747.0
2012-10-04,27.59,27.91,27.43,27.9,5696755.0
2012-10-05,28.06,28.53,27.98,28.16,10435957.0
2012-10-08,27.94,28.23,27.78,27.99,6743207.0
2012-10-09,27.95,27.99,27.27,27.32,9698100.0
2012-10-10,27.39,27.44,27.06,27.17,9033580.0
2012-10-11,27.15,27.53,27.0,27.3,9957549.0
2012-10-12,27.28,27.53,27.06,27.28,7581541.0
2012-10-15,27.79,28.61,27.73,28.22,13663771.0
2012-10-16,28.32,28.78,28.25,28.72,7910820.0
2012-10-17,28.19,28.74,28.12,28.47,8134028.0
2012-10-18,28.46,28.86,28.32,28.76,10471218.0
2012-10-19,28.76,28.77,27.74,27.81,11622518.0
2012-10-22,27.69,28.24,27.62,27.79,8983991.0
2012-10-23,27.34,27.98,27.21,27.84,13093844.0
