date,open,high,low,close,volume
2011-01-26,34.23,34.31,33.99,34.06,566041.0
2011-01-27,33.99,34.3,33.89,34.22,586542.0
2011-01-28,34.18,34.24,33.64,33.75,482520.0
2011-01-31,33.7,34.07,33.52,33.83,322952.0
2011-02-01,34.05,34.42,33.9,34.18,855917.0
2011-02-02,34.07,34.28,33.85,33.88,255957.0
2011-02-03,33.88,34.01,33.8,33.85,388159.0
2011-02-04,33.8,34.01,33.74,33.76,253112.0
2011-02-07,33.89,34.05,33.69,33.9,636964.0
2011-02-08,33.85,34.0,33.74,33.77,296839.0
2011-02-09,33.7,33.99,33.69,33.9,293012.0
2011-02-10,33.87,33.94,33.7,33.76,631987.0
2011-02-11,33.91,34.04,33.56,33.86,710572.0
2011-02-14,33.8,33.9,33.58,33.85,338286.0
2011-03-25,32.39,32.71,32.28,32.4,620173.0
2011-03-28,32.4,32.42,32.17,32.22,341347.0
2011-03-29,32.28,32.71,32.03,32.71,540873.0
2011-03-30,32.75,32.86,32.61,32.77,407312.0
2011-03-31,32.69,32.77,32.47,32.76,579857.0
2011-04-01,32.62,33.3,32.56,33.3,876351.0
2011-04-04,33.22,33.35,33.0,33.13,405999.0
2011-04-05,33.15,33.51,33.1,33.46,340255.0
2011-04-06,33.61,33.7,33.43,33.45,419432.0
2011-04-07,33.35,33.44,32.88,33.0,394321.0
2011-04-08,33.02,33.11,32.42,32.61,273715.0
2011-04-11,32.54,32.6,32.24,32.54,652993.0
2011-04-12,32.46,32.62,32.36,32.62,431768.0
2011-04-13,32.9,33.39,32.65,33.14,958806.0
2011-04-14,32.9,33.42,32.62,33.34,433079.0
2011-04-15,33.5,33.54,32.97,33.08,317014.0
2011-04-18,32.9,33.12,32.53,33.0,451337.0
2011-04-19,33.22,33.51,32.85,32.98,842612.0
2011-04-20,33.14,33.19,32.89,32.97,495793.0
2011-04-21,33.02,33.09,32.8,33.02,685141.0
2011-04-25,33.11,33.22,32.98,33.16,461589.0
2011-04-26,33.41,33.51,33.23,33.45,923697.0
2011-04-27,33.64,33.64,33.0,33.09,1028733.0
2011-04-28,32.93,33.16,32.86,33.0,1006524.0
2011-04-29,32.97,33.18,32.81,32.9,846378.0
2011-05-02,32.91,33.12,32.66,32.85,1198411.0
2011-05-03,32.86,33.55,32.86,33.39,1391625.0
2011-05-04,33.2,33.74,32.87,33.6,1348885.0
2011-05-05,33.54,34.17,33.25,34.16,1235002.0
2011-05-06,34.29,34.49,33.86,33.97,573801.0
2011-05-09,34.0,34.14,33.86,34.01,351477.0
2011-05-10,34.0,34.42,33.93,34.41,406965.0
