date,open,high,low,close,volume
1991-07-24,9.12,9.5,9.0,9.25,200800.0
1991-07-25,9.0,9.25,9.0,9.12,157200.0
1991-07-26,9.25,9.25,9.0,9.0,1000400.0
1991-07-29,9.25,9.25,9.0,9.25,37600.0
1991-07-30,9.25,9.25,9.0,9.0,177200.0
1991-07-31,9.25,9.25,9.0,9.0,186000.0
1991-08-01,9.0,9.12,9.0,9.0,78400.0
1991-08-02,9.25,9.25,9.12,9.12,110400.0
1991-08-05,9.25,9.25,9.0,9.25,52000.0
1991-08-06,9.12,9.25,9.12,9.25,62400.0
1991-08-07,9.25,9.25,9.0,9.0,111200.0
1991-08-08,9.25,9.25,9.0,9.12,48400.0
1991-08-09,9.0,9.25,9.0,9.0,86000.0
1991-08-12,9.0,9.25,9.0,9.0,20800.0
1991-08-13,9.25,9.25,9.0,9.0,31600.0
1991-08-14,9.25,9.25,9.12,9.25,51200.0
1991-08-15,9.0,9.25,9.0,9.0,16000.0
1991-08-16,9.25,9.25,9.0,9.0,34800.0
1991-08-19,8.88,9.0,8.38,8.75,37600.0
1991-08-20,8.75,8.88,8.5,8.75,28800.0
1991-08-21,8.88,8.88,8.62,8.88,7000.0
1991-08-22,8.88,9.0,8.62,8.75,20800.0
1991-08-23,9.0,9.0,8.62,8.62,8400.0
1991-08-26,9.0,9.12,8.62,9.12,38800.0
1991-08-27,9.12,9.38,9.0,9.25,36400.0
1991-08-28,9.25,9.38,9.0,9.38,36800.0
1991-08-29,9.38,9.88,9.12,9.88,89000.0
1991-08-30,9.88,10.38,9.62,10.38,72800.0
1991-09-03,10.38,11.0,10.25,10.25,163200.0
1991-09-04,10.25,10.5,10.0,10.0,69600.0
1991-09-05,10.0,10.38,10.0,10.0,72400.0
1991-09-06,10.25,10.25,10.0,10.0,18000.0
1991-09-09,10.0,10.25,9.75,9.75,16800.0
1991-09-10,10.12,10.12,9.75,10.12,15200.0
1991-09-11,9.75,10.25,9.75,10.0,83600.0
1991-09-12,10.5,10.62,10.12,10.38,364800.0
1991-09-13,10.75,11.12,10.75,11.12,55200.0
1991-09-16,10.75,11.12,10.75,11.12,115400.0
1991-09-17,11.12,11.12,10.88,11.0,45200.0
1991-09-18,11.12,11.38,11.0,11.38,41400.0
1991-09-19,11.12,12.5,11.12,12.38,221600.0
1991-09-20,12.5,13.75,12.38,13.25,145200.0
1991-09-23,13.12,13.38,12.75,13.12,246000.0
1991-09-24,12.75,13.12,12.75,13.12,14200.0
1991-09-25,13.12,14.0,12.75,14.0,53200.0
1991-09-26,14.0,15.25,13.75,15.25,115200.0
1991-09-27,15.25,15.25,14.75,14.75,138400.0
1991-09-30,15.0,15.0,14.38,14.75,58800.0
1991-10-01,14.75,15.75,14.5,15.62,44000.0
1991-10-02,15.62,15.62,15.38,15.62,72200.0
1991-10-03,15.62,15.62,14.75,14.75,266000.0
1991-10-04,15.0,15.0,14.5,15.0,43200.0
1991-10-07,15.0,15.0,13.25,13.25,118800.0
1991-10-08,13.25,13.75,13.25,13.62,78400.0
1991-10-09,13.38,13.75,13.38,13.75,20600.0
1991-10-10,13.75,13.75,13.38,13.75,17600.0
1991-10-11,13.75,13.75,13.5,13.62,6400.0
1991-10-14,13.75,13.75,13.5,13.75,5600.0
1991-10-15,13.75,14.75,13.75,14.5,48800.0
1991-10-16,14.88,16.0,14.88,15.62,82400.0
1991-10-17,15.0,15.25,14.88,15.0,60000.0
1991-10-18,14.88,15.25,14.88,15.25,22000.0
1991-10-21,15.25,15.25,14.0,14.5,28400.0
1991-10-22,14.5,14.5,13.5,13.5,32400.0
1991-10-23,13.88,15.0,13.62,15.0,251600.0
1991-10-24,15.25,15.75,14.5,15.12,70000.0
1991-10-25,15.12,15.12,14.5,14.5,63800.0
1991-10-28,14.5,15.0,14.5,14.5,12800.0
1991-10-29,14.88,14.88,14.5,14.5,4800.0
1991-10-30,14.5,14.88,14.5,14.88,26600.0
1991-10-31,14.88,14.88,14.5,14.5,17200.0
1991-11-01,14.75,15.12,14.62,15.12,83600.0
1991-11-04,15.38,15.38,14.88,15.38,40400.0
1991-11-05,15.38,15.38,14.88,15.38,124200.0
1991-11-06,15.38,15.5,14.88,15.5,25600.0
1991-11-07,15.5,15.62,15.12,15.25,20200.0
1991-11-08,15.62,15.62,15.12,15.5,43000.0
1991-11-11,15.5,15.5,15.12,15.12,4000.0
1991-11-12,15.0,15.38,14.12,14.5,109000.0
1991-11-13,14.38,14.38,14.0,14.38,48400.0
1991-11-14,14.38,14.38,14.0,14.38,41200.0
1991-11-15,13.88,14.12,12.88,12.88,46800.0
1991-11-18,12.75,12.88,11.5,12.0,62200.0
1991-11-19,12.0,12.0,11.25,11.5,75200.0
1991-11-20,11.25,11.62,11.25,11.5,63400.0
1991-11-21,11.25,11.5,11.25,11.38,22000.0
1991-11-22,11.5,11.5,11.25,11.25,10000.0
1991-11-25,11.5,11.5,11.12,11.12,17800.0
1991-11-26,11.5,11.5,11.25,11.5,77600.0
1991-11-27,11.25,11.75,11.25,11.62,49400.0
1991-11-29,11.62,11.62,11.25,11.38,7800.0
1991-12-02,11.5,11.5,11.12,11.5,4800.0
1991-12-03,11.5,11.62,11.25,11.5,119600.0
1991-12-04,11.62,12.5,11.5,12.5,127600.0
1991-12-05,12.5,13.62,12.5,13.25,69800.0
1991-12-06,13.5,14.75,13.0,14.0,134600.0
1991-12-09,14.25,14.5,13.75,13.75,243600.0
1991-12-10,14.25,14.25,13.75,13.88,60200.0
1991-12-11,13.75,14.0,13.75,14.0,800400.0
1991-12-12,14.0,14.0,13.5,13.75,186400.0
1991-12-13,14.0,14.0,13.5,13.5,18200.0
1991-12-16,13.5,14.0,13.25,13.38,45200.0
1991-12-17,14.0,14.0,13.38,13.62,75000.0
1991-12-18,13.75,14.0,13.5,14.0,114400.0
1991-12-19,13.5,14.0,13.5,14.0,54000.0
1991-12-20,14.0,14.0,13.5,13.5,14800.0
1991-12-23,13.5,13.5,12.75,13.12,31400.0
1991-12-24,13.25,13.5,13.0,13.5,17600.0
1991-12-26,13.5,13.75,13.25,13.5,21600.0
1991-12-27,13.25,15.0,13.25,15.0,89600.0
1991-12-30,15.25,16.0,14.75,15.0,134000.0
1991-12-31,15.0,15.5,14.5,14.75,38200.0
1992-01-02,14.5,15.0,14.5,15.0,9200.0
1992-01-03,14.75,16.75,14.5,16.25,166000.0
1992-01-06,16.5,17.5,16.0,17.25,118400.0
1992-01-07,17.25,17.25,16.0,16.75,26000.0
1992-01-08,16.25,16.5,15.75,16.0,130400.0
1992-01-09,16.5,16.75,16.0,16.25,38600.0
1992-01-10,16.75,16.75,16.0,16.5,112000.0
1992-01-13,16.75,16.75,16.25,16.5,22400.0
1992-01-14,16.25,16.75,16.0,16.0,43200.0
1992-01-15,16.75,16.75,16.0,16.25,24000.0
1992-01-16,16.0,16.0,15.0,15.5,41400.0
1992-01-17,15.0,15.5,15.0,15.5,15200.0
1992-01-20,15.0,15.5,14.5,14.5,36000.0
1992-01-21,14.5,15.0,14.5,14.75,23600.0
1992-01-22,14.25,15.0,14.25,14.75,37200.0
1992-01-23,14.75,15.0,14.0,14.75,127800.0
1992-01-24,14.75,14.75,14.0,14.0,51200.0
1992-01-27,14.75,14.75,14.0,14.75,15200.0
1992-01-28,14.0,14.75,14.0,14.25,14200.0
1992-01-29,14.0,14.5,13.25,13.25,48000.0
1992-01-30,13.75,13.75,12.75,13.0,84800.0
1992-01-31,13.0,13.5,12.75,13.5,323000.0
1992-02-03,12.75,13.5,12.75,13.5,104400.0
