date,open,high,low,close,volume
2015-01-02,76.11,77.19,75.09,76.0,3923352.0
2015-01-05,75.08,75.9,74.27,74.5,4739458.0
2015-01-06,75.97,76.0,73.94,74.69,4853350.0
2015-01-07,75.05,76.69,74.96,76.6,5610036.0
2015-01-08,77.3,77.94,76.86,77.58,3997111.0
2015-01-09,77.31,77.54,75.61,75.67,3692882.0
2015-01-12,75.8,76.19,74.84,75.7,2858267.0
2015-01-13,75.2,76.29,74.11,75.26,5154916.0
2015-01-14,74.94,75.42,74.26,74.99,3256617.0
2015-01-15,75.92,76.1,74.61,74.78,3561254.0
2015-01-16,74.47,76.12,74.4,76.01,4861851.0
2015-01-20,76.08,76.49,75.31,76.05,2648008.0
2015-01-21,75.52,76.45,75.06,76.04,741220.0
2015-01-22,75.97,76.21,75.13,76.01,3532526.0
2015-01-23,75.95,75.95,75.2,75.59,3264025.0
2015-01-26,75.76,76.1,75.38,75.84,2624031.0
2015-01-27,75.11,75.82,74.79,74.93,2783931.0
2015-01-28,75.55,75.55,73.59,73.77,3924353.0
2015-01-29,74.4,74.57,73.16,74.57,3913291.0
2015-01-30,73.52,74.48,73.43,73.75,5935226.0
2015-02-02,73.06,74.98,73.0,74.89,4206325.0
2015-02-03,75.12,75.24,74.31,74.79,2876477.0
2015-02-04,75.25,75.54,74.21,74.67,3360454.0
2015-02-05,74.94,75.09,74.48,74.79,4072128.0
2015-02-06,74.81,76.75,74.43,76.15,4453328.0
2015-02-09,75.64,76.47,75.62,76.4,3101120.0
2015-02-10,76.31,76.73,75.63,76.69,4173115.0
2015-02-11,76.8,79.94,76.71,79.53,7639444.0
2015-02-12,79.17,80.62,78.94,79.96,5909353.0
2015-02-13,79.65,79.89,78.57,78.73,3290375.0
2015-02-17,78.38,78.5,77.87,78.0,3082257.0
2015-02-18,77.59,77.93,77.04,77.79,3128086.0
2015-02-19,77.79,78.33,77.01,77.1,2447416.0
2015-02-20,77.09,77.22,76.36,77.13,3390337.0
2015-02-23,77.37,78.87,77.28,78.59,6040509.0
2015-02-24,78.33,80.79,78.24,80.39,6340025.0
2015-02-25,80.25,80.41,79.64,80.01,3037162.0
2015-02-26,79.9,81.83,79.64,81.65,6433562.0
2015-02-27,81.28,83.77,81.07,83.08,8781628.0
2015-03-02,83.24,84.05,82.6,83.62,6598216.0
2015-03-03,83.43,83.43,82.58,83.21,5684105.0
2015-03-04,82.79,83.26,82.3,83.02,3857356.0
2015-03-05,83.45,83.6,82.89,83.2,3210808.0
2015-03-06,82.58,83.55,82.06,82.35,4645778.0
2015-03-09,82.19,83.55,82.12,83.5,3252241.0
2015-03-10,82.7,83.28,82.32,82.72,5475538.0
2015-03-11,82.39,83.09,81.01,82.51,3275524.0
2015-03-12,83.13,84.4,82.78,84.25,4948816.0
2015-03-13,84.25,84.33,83.29,83.72,3635074.0
2015-03-16,85.01,86.89,85.0,86.77,9451798.0
2015-03-17,86.51,86.63,85.83,86.26,5432306.0
2015-03-18,86.14,87.49,85.48,87.18,5806367.0
2015-03-19,86.98,87.98,86.77,87.36,5771584.0
2015-03-20,87.48,88.81,87.42,87.94,24007519.0
2015-03-23,88.22,88.64,87.65,87.92,8136680.0
2015-03-24,88.0,88.58,87.38,88.0,3633213.0
2015-03-25,87.81,88.2,85.47,85.88,4475522.0
2015-03-26,84.51,85.88,84.36,84.44,5386073.0
2015-03-27,84.47,85.74,84.0,85.3,3472352.0
2015-03-30,85.47,86.22,84.52,85.99,4203064.0
2015-03-31,85.69,86.06,84.67,84.68,3505838.0
2015-04-01,84.72,84.9,83.66,84.25,4914698.0
2015-04-02,84.41,86.11,84.12,85.97,2747958.0
2015-04-06,85.26,88.1,85.24,88.01,6055191.0
2015-04-07,87.6,88.25,87.11,87.28,3894241.0
2015-04-08,87.04,88.43,86.89,87.68,5447838.0
2015-04-09,89.5,93.42,89.4,92.62,11350679.0
2015-04-10,92.14,92.5,90.25,92.02,5965572.0
2015-04-13,91.72,92.74,91.3,91.71,4468087.0
2015-04-14,91.4,92.57,91.09,91.98,2787366.0
2015-04-15,92.0,92.66,91.25,91.54,3622295.0
2015-04-16,90.94,91.29,89.07,89.52,7515315.0
2015-04-17,88.46,89.59,85.86,86.96,15299939.0
2015-04-20,87.51,88.22,86.87,87.12,6889252.0
2015-04-21,87.28,88.25,86.91,87.09,5153702.0
2015-04-22,87.04,87.21,86.6,87.02,3483830.0
2015-04-23,86.89,87.27,86.24,86.68,2896374.0
2015-04-24,87.16,87.2,85.83,85.98,3985943.0
2015-04-27,86.69,86.69,85.63,86.12,4103117.0
2015-04-28,85.84,86.16,85.42,86.08,2355326.0
2015-04-29,85.34,85.84,84.24,84.57,3202932.0
2015-04-30,84.0,84.5,82.64,82.93,4672988.0
2015-05-01,82.53,83.7,82.53,83.42,2279541.0
2015-05-04,83.88,84.7,83.45,84.13,2408313.0
2015-05-05,84.01,84.27,82.87,83.14,3042999.0
2015-05-06,83.22,83.74,82.7,83.1,2388652.0
2015-05-07,83.09,85.23,82.8,84.23,4362652.0
2015-05-08,84.93,85.55,84.58,85.03,2205150.0
2015-05-11,85.13,85.46,84.2,84.25,2542274.0
2015-05-12,83.78,84.91,83.29,84.18,2427403.0
2015-05-13,84.24,84.99,83.69,84.07,1934329.0
2015-05-14,84.85,85.41,84.36,85.35,2383932.0
2015-05-15,85.77,86.56,85.5,86.47,3557947.0
2015-05-18,86.1,86.67,85.66,86.36,2440978.0
2015-05-19,86.07,86.38,85.53,85.84,2276189.0
2015-05-20,85.95,85.95,84.66,84.89,2119588.0
2015-05-21,84.75,87.18,84.51,87.14,3420526.0
2015-05-22,86.71,86.99,86.06,86.45,2287765.0
2015-05-26,86.56,86.71,84.85,85.55,3746485.0
2015-05-27,85.62,86.82,85.48,86.18,2152587.0
2015-05-28,86.34,86.74,85.53,86.05,1646398.0
2015-05-29,85.85,86.9,85.53,85.83,2818925.0
2015-06-01,86.17,86.33,84.7,85.98,1947668.0
2015-06-02,86.31,86.94,85.77,86.33,2774879.0
2015-06-03,86.37,87.11,85.67,85.82,3591717.0
2015-06-04,86.11,86.37,84.72,85.25,3855904.0
2015-06-05,85.04,85.61,83.81,83.89,2905612.0
2015-06-08,83.73,84.11,82.92,83.26,2569250.0
2015-06-09,83.6,84.62,83.3,84.17,2970208.0
2015-06-10,84.53,85.81,84.37,85.49,3189705.0
2015-06-11,85.67,86.2,85.5,85.83,2980257.0
2015-06-12,85.51,85.7,84.92,85.06,3013769.0
2015-06-15,84.68,84.95,83.89,84.42,2602280.0
2015-06-16,84.44,85.94,84.25,85.88,2601812.0
2015-06-17,85.99,86.06,85.15,85.62,2864788.0
2015-06-18,85.91,88.21,85.89,87.8,3471371.0
2015-06-19,87.82,89.38,87.64,88.52,6086034.0
2015-06-22,88.88,89.24,87.62,87.75,2860167.0
2015-06-23,87.94,87.96,86.83,87.09,2453218.0
2015-06-24,86.86,86.95,85.81,86.15,2421101.0
2015-06-25,86.12,86.97,85.95,86.36,2592295.0
2015-06-26,86.8,87.09,86.07,86.75,6578345.0
2015-06-29,86.01,86.16,84.26,84.3,2785281.0
2015-06-30,85.19,85.44,84.35,84.44,3542998.0
2015-07-01,85.08,85.86,84.85,85.78,2779156.0
2015-07-02,86.09,86.28,85.64,85.81,2798905.0
2015-07-06,84.93,85.85,84.73,85.39,3232941.0
2015-07-07,85.61,87.61,85.45,87.25,4774787.0
2015-07-08,86.71,86.99,85.41,85.93,4104383.0
2015-07-09,90.0,90.24,88.0,89.55,10141812.0
2015-07-10,91.76,93.79,91.3,93.11,7633350.0
2015-07-13,93.81,94.9,93.01,94.5,5743873.0
2015-07-14,94.76,94.8,94.03,94.33,2946200.0
2015-07-15,94.33,94.68,93.47,93.95,3202353.0
2015-07-16,94.95,96.22,94.39,96.1,6637719.0
2015-07-17,95.66,96.02,95.12,95.75,2438898.0
2015-07-20,95.23,95.91,94.68,95.65,1833006.0
2015-07-21,95.56,95.85,94.96,95.66,2104306.0
2015-07-22,96.73,97.02,96.09,96.64,3608537.0
2015-07-23,96.86,96.87,95.2,95.48,2061911.0
2015-07-24,95.61,95.93,94.87,95.14,2280286.0
