date,open,high,low,close,volume
2018-03-16,27.6,33.47,26.06,33.0,16931889.0
2018-03-19,31.45,31.5,26.75,27.9,5892131.0
2018-03-20,28.41,30.9,28.07,30.38,3262038.0
2018-03-21,30.79,34.83,29.29,31.08,4460935.0
2018-03-22,30.0,31.88,28.56,29.83,3239508.0
2018-03-23,30.31,30.45,28.6,29.43,1247139.0
2018-03-26,30.63,30.94,27.3,27.83,1916674.0
2018-03-27,28.0,28.6,26.6,27.75,1719509.0
2018-03-28,27.35,28.19,27.0,27.53,825073.0
2018-03-29,27.75,28.45,26.8,28.07,1137560.0
2018-04-02,27.9,28.66,26.81,27.06,785524.0
2018-04-03,27.13,27.19,26.5,26.8,787493.0
2018-04-04,26.35,28.95,26.32,27.97,1023806.0
2018-04-05,28.61,29.15,27.97,28.53,1210399.0
2018-04-06,28.32,29.66,28.05,28.22,737506.0
2018-04-09,28.47,28.7,26.5,26.54,934909.0
2018-04-10,27.06,28.5,26.84,28.07,1068731.0
2018-04-11,28.03,29.46,27.4,27.71,795273.0
2018-04-12,27.81,28.59,27.77,27.96,258901.0
2018-04-13,28.7,28.7,27.03,27.48,418341.0
2018-04-16,27.89,29.0,27.57,28.99,401086.0
2018-04-17,29.31,29.97,28.63,28.75,951462.0
2018-04-18,28.96,29.0,28.0,28.65,377663.0
2018-04-19,28.65,28.95,27.75,28.03,265498.0
2018-04-20,28.05,28.23,27.03,27.22,522660.0
2018-04-23,27.2,27.58,26.5,26.86,626825.0
2018-04-24,27.0,27.97,27.0,27.14,393167.0
2018-04-25,27.09,28.45,26.85,28.11,415697.0
2018-04-26,28.4,28.81,28.17,28.65,396100.0
2018-04-27,28.86,28.93,28.41,28.71,197167.0
2018-04-30,28.7,30.06,28.7,29.89,399091.0
2018-05-01,29.8,30.03,29.0,29.13,418632.0
2018-05-02,29.32,30.06,29.01,29.95,265313.0
2018-05-03,28.75,28.75,26.75,27.57,1937351.0
2018-05-04,27.58,27.96,27.58,27.86,651340.0
